date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,49.95,48.92,48.88,50.75,296787
2014-01-02,50.03,50.49,49.74,50.8399,169027
2014-01-05,50.43,50.21,49,51.66,445399
2014-01-06,47.01,48.02,46.44,48.29,314875
2014-01-07,44.87,45.83,44.121,46.1499,603507
2014-01-08,45.37,45.88,44.8,46.92,226507
2014-01-09,49.45,49.98,49,50.77,372158
2014-01-12,49.31,52.29,49.3,52.4099,272398
2014-01-13,51.31,50.32,50,53.49,402847
2014-01-14,48.82,50.08,48.73,50.55,126891
2014-01-15,50.14,49.58,49.23,50.2671,161059
2014-01-16,50.92,51.02,50.73,52,217051
2014-01-20,47.07,48.02,47,48.35,340523
2014-01-21,47.86,47.12,47.12,48.1599,317672
2014-01-22,49.95,48.82,48.69,51,315675
2014-01-23,49.75,48.04,46.78,50.2582,400901
2014-01-26,47.5,45.97,45.635,47.97,211661
2014-01-27,46.64,45.64,44.97,46.8,301959
2014-01-28,47.71,47.065,45,48,364306
2014-01-29,42.56,42.82,42.3,43.41,858496
2014-01-30,43.9,42.79,42.4,44.2301,282604
2014-02-02,44.02,43.84,43.66,45.88,363855
2014-02-03,43.6302,44.75,43.6302,45.0799,138775
2014-02-04,47.99,47.27,46.631,48.089,396551
2014-02-05,48.41,47.89,47.42,48.78,213391
2014-02-06,47.18,48.575,47.09,48.65,309657
2014-02-09,49.92,48.85,48.6901,50.2996,260279
2014-02-10,48.5,49.88,48.44,50.71,272491
2014-02-11,50.44,49.84,49.7733,51.43,365963
2014-02-12,50.22,52.3401,50.137,52.35,318599
2014-02-13,57.18,59.46,57.12,59.46,604559
2014-02-17,61.42,63.651,60.671,63.7899,618397
2014-02-18,62.49,59.49,58.562,63.02,767171
2014-02-19,61.14,62.6,60.7417,63,351599
2014-02-20,61.96,62.37,61.041,63.6,262607
2014-02-23,64.17,63.98,63.74,65.19,290237
2014-02-24,61.9,62.65,61.75,63.974,272589
2014-02-25,60.13,57.25,56.02,60.33,521172
2014-02-26,57.65,57.46,56.82,58.779,183539
2014-02-27,58.1,56.5,55.84,58.1,198169
2014-03-02,59.15,58.73,58.36,60.5,342131
2014-03-03,56.01,56.65,55.34,57.4399,180067
2014-03-04,56.92,56.5,56.31,57.63,142572
2014-03-05,58.22,58.87,57.7,60.3199,193766
2014-03-06,53.36,54.14,53.04,55.28,372516
2014-03-09,53.89,53.49,53.3,54.69,135296
2014-03-10,56.2,53.54,52.35,56.44,221872
2014-03-11,55.54,57.01,54.9331,58.18,274587
2014-03-12,56.14,56.1,56.05,57.5,222759
2014-03-13,60.71,58.07,57.2045,60.81,406569
2014-03-16,57.46,55.7,55.68,58.17,309526
2014-03-17,52.83,53.28,52.62,54.11,262815
2014-03-18,52.52,51.36,50.86,54,386296
2014-03-19,49.79,49.28,49.16,50.47,345027
2014-03-20,50.58,49.29,49.15,50.62,159302
2014-03-23,48.27,46.93,46.64,48.6499,347804
2014-03-24,47.6,47.12,46.8877,48.23,188999
2014-03-25,47.1,45.4,44.9801,47.3146,262604
2014-03-26,45.14,45.31,44.51,45.532,240760
2014-03-27,45.92,45.73,45.27,46.38,601572
2014-03-30,45.94,45.6,45.22,46.3647,204547
2014-03-31,45.54,45.75,44.94,45.95,148043
2014-04-01,47.36,46.69,46.69,47.73,159434
2014-04-02,45.77,45.77,45.41,46.23,114317
2014-04-03,47.95,46.47,45.89,48.4493,214288
2014-04-06,45.84,46.11,45.77,46.94,111024
2014-04-07,47.8,47.04,46.81,47.8391,122711
2014-04-08,45.12,46.11,44.9,46.52,263934
2014-04-09,48,47.13,47.13,48.54,210562
2014-04-10,46.89,46.51,46.4,47.2502,124051
2014-04-13,46.97,46.73,46.6,47.46,117047
2014-04-14,43.1,44.07,42.5886,44.2621,501602
2014-04-15,44.19,44.32,43.69,44.44,154944
2014-04-16,44.17,44.15,43.8,44.43,125753
2014-04-20,42.6,42.74,42.32,42.8,277969
2014-04-21,42.77,42.77,42,43,277775
2014-04-22,42.9,42.79,42.67,43.09,126383
2014-04-23,41.97,44.32,41.97,45.9382,309367
2014-04-24,44.86,44.64,44.0404,45.28,152036
2014-04-27,44.09,43.91,43.21,44.09,122726
2014-04-28,42.82,43.16,42.7101,43.52,191189
2014-04-29,40.87,41.06,40.26,41.72,688234
2014-04-30,39.33,40.26,39.01,40.6996,428400
2014-05-01,40.86,42.6499,40.33,44.101,464363
2014-05-04,43.95,43.84,43.25,44,150982
2014-05-05,43.96,43.3,43.181,44.0599,92613
2014-05-06,43.05,41.6,41.5401,43.07,159110
2014-05-07,41.27,40.69,40.4,41.5,165333
2014-05-08,41.12,40.7,40.01,41.12,385244
2014-05-11,43.57,43.26,42.96,43.77,348053
2014-05-12,42.9,43.02,42.851,43.521,83833
2014-05-13,44.82,44.62,44.14,45.2,220371
2014-05-14,43.31,42.63,42.44,43.62,235166
2014-05-15,41.75,41.82,41.31,42.1,146558
2014-05-18,42.95,41.96,41.66,43.09,246816
2014-05-19,41.35,42.18,41.25,42.46,156592
2014-05-20,41.92,42.1,41.3,42.5,144617
2014-05-21,43.69,42.74,42.531,43.75,209196
2014-05-22,42.33,41.88,41.88,42.5,101894
2014-05-26,40.49,39.91,39.6001,40.54,574990
2014-05-27,39.55,39.59,39.3,40.03,274042
2014-05-28,38.92,39.71,38.8503,40.03,254586
2014-05-29,39.5,38.09,37.12,39.5,605273
2014-06-01,38,37.89,37.52,38.52,197712
2014-06-02,38.12,38.3,37.69,38.42,88183
2014-06-03,38.59,38.04,37.938,38.612,72037
2014-06-04,39.22,39.43,39.14,39.92,413039
2014-06-05,39.44,39.41,38.5801,39.639,320116
2014-06-08,39.87,39.77,39.631,40.069,45493
2014-06-09,40.27,40.69,40.27,40.731,211998
2014-06-10,41.02,40.61,40.3201,41.02,93668
2014-06-11,41.17,42.75,41.061,42.83,369175
2014-06-12,42.78,43.76,42.61,43.93,251704
2014-06-15,43.33,43.22,42.91,43.9,209847
2014-06-16,43.2,43.78,42.96,43.97,207146
2014-06-17,44.07,44.66,43.808,44.8,262370
2014-06-18,46.85,50.85,46.84,52.13,832822
2014-06-19,51.22,51.65,51.041,52.55,429014
2014-06-22,51.91,51.92,51.18,52.26,327631
2014-06-23,52.77,52.07,51.85,53.34,253663
2014-06-24,52.56,52.86,52.41,54,210118
2014-06-25,52.56,53.34,52.56,53.699,159290
2014-06-26,53.56,52.7,52.7,53.87,256739
2014-06-29,51.22,53.45,50.839,53.559,482715
2014-06-30,53.78,52.97,52.8,54.37,213064
2014-07-01,53.55,53.87,53.52,54.811,202788
2014-07-02,53.09,53.5535,52.78,53.91,73933
2014-07-06,52.31,52.71,51.25,52.71,756164
2014-07-07,53.43,52.99,51.96,53.832,238910
2014-07-08,53.65,53.59,52.601,54.35,209249
2014-07-09,56.28,55.57,55.52,56.46,370625
2014-07-10,55.38,56.05,55.38,56.25,147451
2014-07-13,51.78,51.96,51.39,52.3,365833
2014-07-14,52.02,50.2,50.01,53.1,445614
2014-07-15,50.49,50.57,50.109,51.279,158531
2014-07-16,51.15,53.59,50.8,54.19,437523
2014-07-17,51.55,51.39,50.4484,51.82,211466
2014-07-20,52.32,51.96,51.5108,52.32,79141
2014-07-21,52.15,51.95,51.25,52.93,128199
2014-07-22,51.9,51.83,51.73,52.431,88445
2014-07-23,51.08,47.64,47.25,51.08,393168
2014-07-24,48,50.09,47.72,50.22,181695
2014-07-27,49.24,49.48,48.694,49.94,585844
2014-07-28,49.81,49.33,48.36,49.98,302634
2014-07-29,49.3,49.22,48.48,49.65,178083
2014-07-30,48.92,47.68,47.3701,48.92,272964
2014-07-31,48.49,47.14,46.72,48.78,168998
2014-08-03,47.51,46.19,45.9244,47.67,204606
2014-08-04,44.9,43.6,43.3676,45.11,630165
2014-08-05,44.95,45.01,44.82,45.63,242546
2014-08-06,44.4,44.68,44.231,45.04,198255
2014-08-07,44.59,44.73,44.073,45.11,188892
2014-08-10,44.59,45.1,44.3734,45.48,165778
2014-08-11,45.05,44.45,43.85,45.42,183332
2014-08-12,44.76,43.52,42.781,44.82,269221
2014-08-13,44,43.97,43.669,44.5199,154146
2014-08-14,42,42.1,41.441,43.11,403454
2014-08-17,41.83,42.37,41.72,42.5,155637
2014-08-18,41.85,41.07,40.5,41.85,319498
2014-08-19,41.7,41.2,40.75,41.9,161762
2014-08-20,40.55,40.96,40.38,41.19,180738
2014-08-21,40.94,41.01,40.09,41.3999,157235
2014-08-24,40.63,40.32,40.11,40.751,202197
2014-08-25,41.52,40.51,40.42,41.75,186467
2014-08-26,40.87,40.8,40.07,40.9899,108302
2014-08-27,42.06,41.4,41.31,42.204,243533
2014-08-28,41.53,41.02,40.858,41.98,200063
2014-09-01,39.47,38.94,38.51,39.73,530545
2014-09-02,38.95,39.23,38.75,39.23,141824
2014-09-03,39.71,38.42,38.13,40.06,268331
2014-09-04,38.37,39.08,38.229,39.14,187440
2014-09-07,38.64,37.98,37.3701,38.72,358017
2014-09-08,37.59,38.34,37.12,38.441,216838
2014-09-09,37.89,37.8,37.22,38.1236,242454
2014-09-10,36,36.02,35.4,36.2,668045
2014-09-11,35.24,35.6,34.95,35.799,314167
2014-09-14,35.5,35.84,35.16,35.9,107617
2014-09-15,36.12,35.97,35.43,37,219523
2014-09-16,35.75,34.76,34.75,36.26,253352
2014-09-17,34.21,34.82,34.05,35.48,207856
2014-09-18,34.06,31.2,30.83,34.16,731725
2014-09-21,30.02,30.73,29.81,31.14,395354
2014-09-22,30.92,30.74,30.35,31.07,246255
2014-09-23,29.64,30.2,29.34,30.75,361077
2014-09-24,28.76,29.36,28.31,29.91,364201
2014-09-25,29.29,29.82,29.063,29.82,144099
2014-09-28,29.49,29.2,28.92,29.7199,259901
