date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,55.54,51.76,51.07,55.54,7692
2014-01-02,52.73,53.99,52.31,54.8,8534
2014-01-05,54.12,53.51,53.51,54.81,4653
2014-01-06,53.48,55.28,53.48,55.47,5185
2014-01-07,55.07,54.29,53.51,55.07,7806
2014-01-08,54.71,53.61,53.55,54.71,4716
2014-01-09,54,53.39,53.26,54,3582
2014-01-12,53.4061,52.96,52.67,54.74,5014
2014-01-13,53.85,56,53.85,56.4643,9932
2014-01-14,55.44,55.73,54.8501,56.9097,6013
2014-01-15,54.62,55.13,53.5,55.13,6376
2014-01-16,55.2,54.1,54.1,55.2,1604
2014-01-20,54.49,55.31,50,56,4975
2014-01-21,54.5,55.62,53.8,56.49,3979
2014-01-22,55.19,55.21,54.25,55.486,5121
2014-01-23,54.65,54.64,53.446,56.45,4954
2014-01-26,53.01,52,48.72,53.01,26625
2014-01-27,51.81,51,50.76,53.98,9609
2014-01-28,50.5,49.41,49.07,50.5,23126
2014-01-29,51.49,53.39,50.42,53.49,9897
2014-01-30,52.46,53.2,49.51,53.3816,11932
2014-02-02,53.3,51.35,51.35,54.4,9483
2014-02-03,52.2,50.94,50.2,52.2,4695
2014-02-04,50.81,50.08,49.57,51.38,6744
2014-02-05,51.412,50.16,49.67,52.12,11377
2014-02-06,50.44,50.17,49.81,53.1325,10593
2014-02-09,50.51,52.69,50.3,52.85,15983
2014-02-10,52.1,53.1,52,53.22,5909
2014-02-11,53.06,53.7,53.05,54,3995
2014-02-12,53.83,54.17,53.63,54.58,5141
2014-02-13,54.33,54.48,53.89,55.18,6492
2014-02-17,54.83,55.36,53.5,55.95,10390
2014-02-18,55.2,55.73,54.28,56.29,11083
2014-02-19,55.97,58.73,53.41,59.42,8200
2014-02-20,59.03,57.38,57.24,59.03,5394
2014-02-23,56.813,57.56,56.813,58.39,7170
2014-02-24,58.47,56.75,56.7,58.47,7348
2014-02-25,57.03,55.66,55.1,57.03,3061
2014-02-26,55.01,54.82,54.16,55.17,3514
2014-02-27,54.77,54.99,54.65,55.52,5907
2014-03-02,54.36,53.35,52.78,55.342,6858
2014-03-03,53.83,55.73,53.37,56.7,13483
2014-03-04,55.94,55.28,54.8259,55.94,12577
2014-03-05,55.28,55.51,54.5801,56.4,11146
2014-03-06,55.94,55.5,54.63,55.94,3952
2014-03-09,55.07,55.31,54.41,55.89,7452
2014-03-10,55.2,54.64,54.31,55.58,4938
2014-03-11,54.89,55.57,54.45,55.69,6152
2014-03-12,55.6,55.42,55.1,56.83,7992
2014-03-13,56.274,55.77,55.14,56.274,6838
2014-03-16,55.95,55.81,55.07,56.05,7498
2014-03-17,55.99,57,55.8,57.57,10543
2014-03-18,54.5732,55.9,54.5732,57.43,15174
2014-03-19,55.902,57.26,55.24,57.44,5032
2014-03-20,57.26,57.05,55,57.26,10295
2014-03-23,55.61,56.48,55.61,56.92,6030
2014-03-24,56.98,56.18,55.48,57.14,4417
2014-03-25,56.18,55.3,55.04,56.66,7214
2014-03-26,55.5,54.9,54.42,56.077,5319
2014-03-27,55.25,55.32,54.9,55.6,3876
2014-03-30,55.8625,57.83,55.041,58,18337
2014-03-31,57.65,56.71,56.7,58.87,6806
2014-04-01,56.68,56.11,55.64,57.609,4436
2014-04-02,56.11,55.74,55.58,56.4682,3711
2014-04-03,56.5,51.64,50.75,56.5,15780
2014-04-06,51.35,51.8,51.29,52.08,5624
2014-04-07,51.83,51.95,51.73,52.52,4212
2014-04-08,52.679,52.68,52.6,53.96,4355
2014-04-09,53.88,52.05,51.59,53.88,12742
2014-04-10,51.84,52.3,51.01,52.6,4274
2014-04-13,53.02,52.22,51.3,53.02,9886
