date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,83.24,83.21,83.15,83.59,61875
2014-01-02,83.21,83.54,83.12,83.589,25872
2014-01-05,83.69,83.55,83.55,83.87,21770
2014-01-06,83.63,83.84,83.6,83.91,58247
2014-01-07,83.66,83.4699,83.13,83.66,51361
2014-01-08,83.85,83.9,83.51,83.9,10496
2014-01-09,84,84.5,84,84.6,139884
2014-01-12,84.59,84.86,84.48,84.96,96259
2014-01-13,84.54,84.4,84.3601,84.7299,25857
2014-01-14,84.09,84.12,83.99,84.3146,96512
2014-01-15,84.31,84.51,84.3,84.719,98211
2014-01-16,84.41,84.97,84.41,84.97,59038
2014-01-20,85,84.91,84.8,85.02,60755
2014-01-21,84.87,84.78,84.71,84.94,190320
2014-01-22,85.07,85.33,84.96,85.51,87870
2014-01-23,85.61,85.32,85.121,85.61,42382
2014-01-26,85.12,84.66,84.66,85.3599,39847
2014-01-27,85.05,85.29,84.7814,85.29,57224
2014-01-28,85.68,85.7199,85.1,85.94,53861
2014-01-29,85.41,85.62,85.23,85.75,85674
2014-01-30,86,86.02,85.6401,86.0299,54009
2014-02-02,85.61,86.65,85.4637,86.65,196714
2014-02-03,86.26,85.95,85.86,86.26,160827
2014-02-04,85.89,85.55,85.3501,85.9399,774252
2014-02-05,85.26,85.17,85.11,85.56,213372
2014-02-06,85.46,85.483,85.25,85.65,53079
2014-02-09,85.37,85.59,85.27,85.59,106289
2014-02-10,85.52,85.56,85.25,85.6,275899
2014-02-11,85.4,85.1,85.1,85.56,1296128.0
2014-02-12,85.26,85.229,85.03,85.37,696834
2014-02-13,85.17,85.18,85.15,85.584,234172
2014-02-17,85.38,85.6,85.2801,85.773,58156
2014-02-18,85.86,85.18,85.18,85.9199,128688
2014-02-19,85.35,85.2,85,85.402,70373
2014-02-20,85.33,85.62,85.2,85.64,68160
2014-02-23,85.66,85.42,85.3701,85.8,62094
2014-02-24,85.88,86.07,85.8328,86.17,36815
2014-02-25,86.05,86.34,86.05,86.49,266429
2014-02-26,86.76,86.73,86.5424,86.82,62788
2014-02-27,86.71,86.86,86.49,86.91,80227
2014-03-02,86.87,86.96,86.5801,86.98,88971
2014-03-03,86.95,86.15,86.12,86.95,38262
2014-03-04,86.13,86.01,85.85,86.25,83617
2014-03-05,85.65,85.35,85.35,85.89,73725
2014-03-06,85.1,85.1,84.7901,85.21,46353
2014-03-09,85.03,84.95,84.8,85.0699,46319
2014-03-10,85.04,85.15,84.8701,85.18,40994
2014-03-11,85.25,85.35,85.19,85.4199,35683
2014-03-12,85.2,86.05,85.041,86.05,21627
2014-03-13,86.25,86.19,86.11,86.446,110643
2014-03-16,86.02,85.77,85.75,86.0699,49895
2014-03-17,85.7,85.98,85.6004,86.16,21397
2014-03-18,86.2,85.861,85.6001,86.2,58312
2014-03-19,85.83,85.66,85.6142,85.9635,27500
2014-03-20,86.02,86.31,85.89,86.34,82018
2014-03-23,86.37,86.88,86.35,86.9297,47759
2014-03-24,86.61,86.71,86.52,86.8792,40210
2014-03-25,86.84,87.24,86.77,87.35,42206
2014-03-26,87.33,87.39,87.2312,87.9799,52845
2014-03-27,87.53,87.11,87.0501,87.5796,115113
2014-03-30,87.06,87.26,86.67,87.3,59052
2014-03-31,86.64,86.36,86.36,86.75,186797
2014-04-01,86.47,86.33,86.07,86.47,67447
2014-04-02,86.37,86.52,86.33,86.5705,29540
2014-04-03,86.99,87.18,86.53,87.239,101736
2014-04-06,87.18,87.289,87.15,87.4771,163110
2014-04-07,87.56,87.6272,87.1901,87.74,277185
2014-04-08,87.5,87.45,87.34,87.75,97554
2014-04-09,87.73,88.04,87.53,88.2,55309
2014-04-10,88.24,88.37,88.04,88.39,63727
2014-04-13,88.47,88.69,88.37,88.69,72717
2014-04-14,88.71,88.85,88.51,89,148489
2014-04-15,88.65,88.98,88.6,89.149,124181
2014-04-16,89.05,88.34,88.18,89.21,94301
2014-04-20,88.48,88.38,88.18,88.7,97898
2014-04-21,88.32,88.62,88.13,88.68,107128
2014-04-22,88.81,88.93,88.641,88.97,44725
2014-04-23,88.72,89.13,88.72,89.14,60570
2014-04-24,89.25,89.28,89.1,89.53,59029
2014-04-27,89.07,88.91,88.7001,89.12,67656
2014-04-28,88.64,88.77,88.493,88.9,134528
2014-04-29,88.82,89.17,88.77,89.1857,72993
2014-04-30,88.84,89.44,88.71,89.52,74952
2014-05-01,89.44,89.99,89.11,90.14,123699
2014-05-04,89.97,89.45,89.4,89.97,80503
2014-05-05,89.65,89.8486,89.561,89.93,59766
2014-05-06,89.88,89.72,89.55,89.88,115168
2014-05-07,89.72,89.45,89.25,90,131589
2014-05-08,89.2,89.19,89.01,89.4,90542
2014-05-11,89.08,88.81,88.7,89.08,233226
2014-05-12,89.12,89.21,89,89.51,79273
2014-05-13,89.65,90.2,89.63,90.2,82624
2014-05-14,90.57,90.33,90.1857,90.8399,46376
2014-05-15,90.32,90.4,90.18,90.559,70350
2014-05-18,90.72,89.9,89.9,90.77,104629
2014-05-19,89.84,89.86,89.73,90.134,79700
2014-05-20,89.6,89.45,89.25,89.62,164272
2014-05-21,89.64,89.2,89.1,89.64,191683
2014-05-22,89.48,89.36,89.31,89.56,94236
2014-05-26,89.61,89.87,89.36,89.94,197186
2014-05-27,90.41,90.83,90.3201,90.87,96863
2014-05-28,90.9,90.51,90.45,91.12,74554
2014-05-29,90.35,90.5,90.23,90.562,55536
2014-06-01,89.77,89.73,89.338,90,101593
2014-06-02,89.41,88.92,88.8301,89.41,349904
2014-06-03,89.05,88.87,88.74,89.05,62150
2014-06-04,88.58,89.07,88.561,89.09,80997
2014-06-05,89.23,89.12,89,89.443,74720
2014-06-08,89.06,89.05,88.7401,89.1,62819
2014-06-09,88.77,88.79,88.66,89.08,48835
2014-06-10,88.83,88.63,88.59,88.99,196517
2014-06-11,88.82,89.28,88.7208,89.28,124508
2014-06-12,88.92,89.23,88.8001,89.45,43311
2014-06-15,89.33,89.33,89.1601,89.449,52296
2014-06-16,89.46,88.94,88.829,89.46,37616
2014-06-17,89.16,89.45,89.01,89.61,25222
2014-06-18,89.45,88.95,88.75,89.7065,50435
2014-06-19,88.84,89.17,88.7,89.34,43458
2014-06-22,89.67,89.19,89.16,89.6899,27112
2014-06-23,89.75,89.79,89.341,89.8899,49516
2014-06-24,90.17,90.1,89.98,90.36,87924
2014-06-25,90.22,90.25,90.08,90.4,33680
2014-06-26,90.4,90.19,90.1,90.54,46315
2014-06-29,90.22,90.25,90.02,90.3599,68470
2014-06-30,89.6,89.53,89.41,89.8,36289
2014-07-01,89.24,88.71,88.51,89.24,205016
2014-07-02,88.32,88.59,88.14,88.7499,68941
2014-07-06,88.75,89.05,88.75,89.16,65847
2014-07-07,89.56,89.58,89.3983,89.6499,92941
2014-07-08,89.53,89.84,89.498,90.02,25514
2014-07-09,89.97,89.68,89.578,90,116415
2014-07-10,89.92,90.09,89.734,90.09,93040
2014-07-13,89.91,89.81,89.6801,89.98,42343
2014-07-14,89.58,89.83,89.3927,90.02,44171
