date,open_price,close_price,lowest_price,highest_price,volume
2017-05-09,0.6,1.2,0.6,1.3,67100
2017-05-10,1.2422,1.25,1.24,1.25,10280
2017-05-11,1.2062,1.2062,1.2062,1.2062,180
2017-05-14,1.29,1.19,1.19,1.29,11300
2017-05-16,1.15,1.15,1.15,1.15,5000
2017-05-17,1.1,1,1,1.11,25800
2017-05-18,1.29,1.29,1.29,1.29,100
2017-05-21,1.1,1.2,1.1,1.29,9400
2017-05-22,1.2,1.13,1.13,1.2,37754
2017-05-23,1.14,1.13,1.13,1.14,6760
2017-05-24,1.2,1.1,1.1,1.2,78000
2017-05-25,1.11,1.1,1.1,1.11,28300
2017-05-31,1.1,1.1,1.08,1.1,10000
2017-06-01,1.1,1.17,1.09,1.17,150688
2017-06-05,1.1,1.1,1.1,1.11,115967
2017-06-06,1.1,1.1,1.1,1.15,187666
2017-06-07,1.1,1.1,1.1,1.1,50700
2017-06-12,1.1,1.1,1.1,1.1,10667
2017-06-14,1.1,1.125,1.1,1.125,51733
2017-06-18,1.167,1.167,1.167,1.167,2000
2017-06-22,1.17,1.17,1.17,1.2,14519
2017-06-25,1.17,1.17,1.17,1.17,2000
2017-06-28,1.17,1.35,1.15,1.35,22914
2017-06-29,1.25,1.25,1.25,1.3,9587
2017-07-02,1.2972,1.2972,1.2972,1.2972,400
2017-07-04,1.284,1.2842,1.275,1.2842,6500
2017-07-06,1.284,1.3,1.284,1.3,2700
2017-07-09,1.16,1.16,1.16,1.16,100
2017-07-11,1.23,1.25,1.23,1.25,3180
2017-07-12,1.25,1.25,1.2265,1.25,13700
2017-07-13,1.25,1.25,1.2052,1.25,15300
2017-07-16,1.25,1.25,1.25,1.25,4200
2017-07-17,1.25,1.25,1.25,1.25,100
2017-07-18,1.25,1.25,1.25,1.25,100
2017-07-19,1.25,1.25,1.25,1.25,100
2017-07-20,1.2499,1.25,1.24,1.6199,4853
2017-07-23,1.6,1.2,1.2,1.6,7239
2017-07-25,1.3,1.3,1.3,1.3,5702
2017-07-31,1.3,1.3,1.3,1.3,6100
2017-08-06,1.22,1.22,1.22,1.22,16100
2017-08-08,1.2061,1.2061,1.2061,1.2061,286
2017-08-10,1.25,1.25,1.25,1.25,250000
2017-08-14,1.2,1.2,1.2,1.2,28125
2017-08-16,1.27,1.2,1.19,1.27,63300
2017-08-21,1.22,1.22,1.22,1.22,45000
2017-08-24,1.31,1.3,1.3,1.31,260
2017-08-27,1.28,1.28,1.28,1.28,5049
2017-08-28,1.27,1.28,1.26,1.28,20600
2017-08-29,1.2952,1.2895,1.2895,1.2952,1000
2017-08-30,1.27,1.271,1.27,1.274,17000
2017-09-04,1.21,1.21,1.11,1.21,19900
2017-09-05,1.2,1.2,1.05,1.2,37703
2017-09-06,1.2,1.2,1.2,1.2,50000
2017-09-10,1.22,1.3,1.22,1.3,8004
2017-09-14,1.25,1.25,1.25,1.25,81699
2017-09-17,1.25,1.25,1.25,1.25,12096
2017-09-18,1.25,1.25,1.2,1.25,194166
2017-09-27,1.2,1.2,1.2,1.2,68000
2017-09-28,1.3,1.2608,1.2578,1.3,475
2017-10-02,1.2,1.2,1.2,1.2,4075
2017-10-04,1.45,1.45,1.45,1.45,375
2017-10-08,1.45,1.45,1.45,1.45,3700
2017-10-16,1.3,1.2931,1.2931,1.31,237351
2017-10-18,1.29,1.29,1.29,1.29,22500
2017-10-22,1.275,1.275,1.275,1.275,66666
2017-10-23,1.25,1.25,1.25,1.25,400
2017-11-05,1.2,1.19,1.19,1.2,20100
2017-11-06,1.15,1.16,1.15,1.16,25200
2017-11-07,1.13,1.13,1.09,1.13,37421
2017-11-12,1.15,1.15,1.15,1.15,10500
2017-11-13,1.14,1.15,1.14,1.15,930
2017-11-15,1.12,1.15,1.12,1.15,67099
2017-11-20,1.15,1.15,1.12,1.15,500
2017-11-27,1.2,1.2,1.2,1.2,350
2017-11-29,1.12,1.16,1.12,1.16,200
2017-12-05,1.08,1.2,1.08,1.2,611836
2017-12-06,1.18,1.18,1.18,1.18,6200
2017-12-17,1.15,1.2,1.15,1.2,5100
2017-12-27,1.2,1.2,1.2,1.2,3000
2018-01-02,1.2,1.17,1.17,1.2,17100
2018-01-03,1.19,1.2,1.19,1.2,20500
2018-01-04,1.2,1.2,1.2,1.2,30000
2018-01-07,1.2,1.2,1.1962,1.38,49100
2018-01-10,1.2,1.24,1.14,1.24,13154
2018-01-15,1.18,1.19,1.18,1.2,7700
2018-01-17,1.19,1.19,1.19,1.19,7000
2018-01-21,1.2,1.2,1.2,1.2,100
2018-01-24,1.19,1.19,1.19,1.19,100
2018-02-01,1.1745,1.2,1.1745,1.2,5000
2018-02-04,1.08,1.2,1.08,1.2,10100
2018-02-06,1.21,1.2,1.2,1.25,8648
2018-02-08,1.08,1.3,1.08,1.3,5933
2018-02-21,1.25,1.25,1.25,1.25,1054449.0
2018-03-01,1.49,1.49,1.49,1.49,400
2018-03-12,1.25,1.5,1.25,1.5,98115
2018-03-15,1.3,1.49,1.3,1.49,16766
2018-03-18,1.3,1.39,1.3,1.39,47669
2018-03-27,1.45,1.45,1.45,1.45,716
2018-04-04,1.3,1.5,1.3,1.5,5666
2018-04-05,1.3,1.5,1.3,1.5,58925
2018-04-08,1.459,1.48,1.4535,1.48,5700
2018-04-12,1.46,1.5,1.46,1.5,306
2018-04-17,1.4,1.4,1.4,1.4,1000
2018-04-24,1.3,1.5,1.3,1.5,6781
2018-05-01,1.4,1.45,1.4,1.45,258482
2018-05-02,1.45,1.45,1.45,1.45,50000
2018-05-03,1.45,1.45,1.45,1.45,560500
2018-05-06,1.45,1.45,1.45,1.45,680250
2018-05-08,1.5,1.5,1.5,1.5,5000
2018-05-10,1.3035,1.3035,1.3035,1.3035,5000
2018-05-13,1.2,1.3,1.2,1.3,9048
2018-05-14,1.31,1.3,1.3,1.32,1600
2018-05-16,1.2,1.2,1.2,1.2,100
2018-05-22,1.25,1.3,1.25,1.31,114400
2018-07-08,1.35,1.35,1.35,1.35,44400
2018-07-16,1.35,1.37,1.35,1.37,3334
2018-08-02,1.5,1.5,1.48,1.5,271500
2018-08-06,1.54,1.5499,1.54,1.5499,1000
2018-08-08,1.54,1.65,1.54,1.65,26380
2018-08-09,1.5,1.5875,1.5,1.65,14280
2018-08-12,1.5,1.5,1.5,1.5,2620
2018-08-13,1.5,1.5,1.5,1.5012,4980
2018-08-23,1.5,1.5,1.5,1.5,1000
2018-09-16,1.35,1.35,1.35,1.35,10000
2018-09-17,1.35,1.35,1.35,1.35,156686
2018-09-26,1.35,1.35,1.35,1.35,62120
2018-09-30,1.3,1.3,1.3,1.3,10000
2018-10-01,1.451,1.45,1.45,1.451,37900
2018-10-09,1.43,1.33,1.26,1.43,1367
2018-10-10,1.4,1.35,1.35,1.4,300
2018-10-15,1.6,1.3,1.26,1.6,16067
2018-10-22,1.3779,1.3779,1.3779,1.3779,3000
2018-10-30,1.35,1.35,1.3493,1.3569,17100
2018-11-01,1.3,1.3,1.3,1.3,5100
2018-11-05,1.35,1.4,1.35,1.4,10100
2018-11-06,1.44,1.27,1.25,1.45,934779
2018-11-07,1.27,1.34,1.27,1.34,2900
2018-11-08,1.15,1.1849,1.15,1.19,10400
2018-11-11,1.18,1.18,1.18,1.18,25000
2018-11-12,1.15,1.03,0.96,1.15,44020
2018-11-13,0.98,0.94,0.92,1.04,33253
2018-11-14,0.94,0.94,0.9,0.94,3300
2018-11-15,0.89,0.89,0.89,0.89,100
2018-11-18,0.84,0.84,0.84,0.84,2600
2018-11-19,0.78,0.75,0.75,0.78,35316
2018-11-20,0.74,0.74,0.74,0.74,300
2018-11-22,0.74,0.74,0.74,0.74,100
2018-11-26,0.7,0.65,0.55,0.7,8500
2018-11-27,0.62,0.58,0.55,0.68,341051
2018-11-28,0.57,0.53,0.53,0.57,1339700.0
2018-11-29,0.58,0.6,0.58,0.6,12000
2018-12-03,0.6,0.57,0.53,0.6,521
2018-12-05,0.55,0.55,0.55,0.55,300
2018-12-06,0.565,0.55,0.5436,0.565,54600
2018-12-09,0.54,0.5649,0.528301,0.5649,292859
2018-12-10,0.57,0.57,0.57,0.57,1375
2018-12-11,0.5649,0.5649,0.5649,0.5649,2044
2018-12-12,0.55,0.55,0.55,0.55,1000
2018-12-13,0.5649,0.58,0.5649,0.58,2589
2018-12-16,0.58,0.62,0.58,0.63,249912
2018-12-17,0.61,0.65,0.61,0.65,500
2018-12-19,0.65,0.6499,0.6499,0.65,4000
2018-12-20,0.64,0.63,0.46,0.64,800
2018-12-23,0.54,0.5,0.49,0.55,12000
2018-12-25,0.4,0.49,0.4,0.5,17500
2018-12-26,0.4499,0.5,0.4499,0.5,17799
2018-12-27,0.5,0.5,0.5,0.5,300
2018-12-30,0.49,0.47,0.45,0.49,171666
2019-01-03,0.48,0.5,0.42,0.5,51212
2019-01-06,0.5,0.5,0.46,0.55,142300
2019-01-07,0.5,0.5,0.5,0.5,128300
2019-01-08,0.5,0.5,0.5,0.5,106000
2019-01-09,0.5001,0.5,0.5,0.5001,5500
2019-01-10,0.48,0.45,0.42,0.48,206933
2019-01-13,0.45,0.45,0.45,0.45,5000
2019-01-14,0.36,0.35,0.3,0.4,124034
2019-01-15,0.33,0.33,0.33,0.33,6500
2019-01-21,0.4,0.42,0.35,0.42,52714
2019-01-22,0.35,0.36,0.35,0.37,82300
2019-01-23,0.37,0.35,0.3488,0.37,120700
2019-01-24,0.3518,0.4,0.3518,0.4,10658
2019-01-27,0.46,0.49,0.44,0.5,33032
2019-01-28,0.44,0.43,0.4257,0.44,65148
2019-01-29,0.45,0.43,0.43,0.45,102826
2019-01-30,0.4322,0.48,0.4322,0.5,48433
2019-01-31,0.44,0.44,0.44,0.44,1000
2019-02-03,0.44,0.44,0.43,0.47,41280
2019-02-04,0.4,0.48,0.3999,0.53,255080
2019-02-05,0.485,0.45,0.45,0.485,26400
2019-02-06,0.45,0.45,0.45,0.45,406
2019-02-07,0.45,0.45,0.443,0.45,12201
2019-02-10,0.44,0.44,0.44,0.44,300
2019-02-11,0.4523,0.44,0.44,0.5,14447
2019-02-12,0.4422,0.416,0.29,0.4422,24500
2019-02-13,0.37,0.42,0.3699,0.42,44254
2019-02-14,0.45,0.45,0.45,0.45,100
2019-02-18,0.4496,0.4496,0.4496,0.4496,100
2019-02-19,0.43,0.45,0.28,0.45,94697
2019-02-20,0.25,0.31,0.25,0.32,1730075.0
2019-02-21,0.3,0.33,0.3,0.33,4000
2019-02-24,0.33,0.3,0.3,0.33,6100
2019-02-25,0.3,0.3,0.3,0.3,26117
2019-02-26,0.3015,0.29,0.29,0.3015,600
2019-02-27,0.29,0.28,0.27,0.29,3864
2019-02-28,0.27,0.3,0.26,0.3,1703
2019-03-03,0.26,0.3015,0.25,0.3015,13094
2019-03-04,0.26,0.27,0.2205,0.27,123400
2019-03-05,0.25,0.22,0.2,0.25,404620
2019-03-06,0.22,0.2,0.2,0.22,236332
2019-03-07,0.201,0.18,0.18,0.25,44547
2019-03-10,0.18,0.2,0.14,0.24,408206
2019-03-11,0.151,0.2,0.151,0.2,11000
2019-03-12,0.2,0.2,0.2,0.2,100
2019-03-13,0.14,0.2,0.14,0.2,11111
