date,open_price,close_price,lowest_price,highest_price,volume
2017-02-14,100,101.52,100,101.52,2900
2017-02-15,101,101.5,100.76,101.63,4593
2017-02-16,101.07,101.83,101.07,101.83,1325
2017-02-20,101.3,100,100,101.3,34210
2017-02-21,100,100.8284,100,100.9762,2380
2017-02-22,100,101.7573,100,102.19,2950
2017-02-23,101,100.63,100,101,12093
2017-02-26,104.505,101.88,100.7,104.505,2306
2017-02-27,101.64,100.87,100.63,101.64,2896
2017-02-28,101.89,101.44,101.44,101.89,45714
2017-03-01,101.01,101.93,99.915,102.26,48049
2017-03-02,100.98,101.12,100,101.87,8291
2017-03-05,100.52,100.83,100.3,101.6,3790
2017-03-06,101.26,100.78,100.12,101.77,3715
2017-03-07,99.99,101.09,99.99,101.71,27291
2017-03-08,99.99,99.07,99.07,99.99,1504
2017-03-09,99.81,98.1,98.1,99.81,15400
2017-03-12,98.067,98.0827,97.86,98.13,850
2017-03-13,97.11,97.478,97,97.478,805
2017-03-14,99.09,100,99.09,100.17,80498
2017-03-15,100.5,100.6299,100.5,100.6299,670
2017-03-16,99.8599,99.8,99.56,99.9,1675
2017-03-19,99.71,98.54,98.54,99.71,4770
2017-03-20,96.323,96.24,96.24,97.312,63463
2017-03-21,95.64,95.18,94.76,95.64,7373
2017-03-22,95.26,95.03,94.57,95.6,8999
2017-03-23,95.33,94.43,94.241,95.68,22074
2017-03-26,93.74,95.06,93.74,95.4,1310
2017-03-27,95.64,96.8,95.64,96.94,42096
2017-03-28,96.3993,96.43,96.18,96.9,23444
2017-03-29,97.56,97.52,97.14,97.59,4332
2017-03-30,97.36,97.9634,97.36,98.25,25420
2017-04-02,98.75,97.5,97.25,98.75,15638
2017-04-03,97.49,97.2112,96.61,98.39,5800
2017-04-04,98,95.28,95.28,98,9611
2017-04-05,95.47,97.94,95.47,97.94,15472
2017-04-06,97.65,98.78,97.65,98.78,10226
2017-04-09,99.31,99.95,99.31,100.63,10694
2017-04-10,97.7,98.1475,97.325,99.62,7243
2017-04-11,97.65,98.68,97.65,98.85,43204
2017-04-12,97.94,97.58,97.03,97.94,6525
2017-04-16,98.05,98.65,97.67,98.65,23913
2017-04-17,99.01,99.5614,98.47,99.97,6662
2017-04-18,99.651,100.53,99.57,100.58,28988
2017-04-19,100.68,100.97,100.07,101.31,12931
2017-04-20,101,101,100.15,101.57,221044
2017-04-23,100.75,100.35,100.16,100.91,3829
2017-04-24,100.6908,100.6,100.6,100.86,2119
2017-04-25,101.56,101.77,101.32,101.946,10933
2017-04-26,100.69,100.81,100.69,101.5699,81965
2017-04-27,100,98,97.6257,100.85,10106
2017-04-30,96.51,97.7,96.45,97.7,3786
2017-05-01,95.15,95.39,94.82,95.39,2777
2017-05-02,95.01,98.44,95,98.44,1663
2017-05-03,94.98,94.75,94.35,94.98,4169
2017-05-04,94.53,94.88,94.3716,94.88,2398
2017-05-07,94.7089,95.31,94.06,95.31,2185
2017-05-08,95.17,95.17,94.73,95.22,3449
2017-05-09,95.09,95.1487,95.09,95.72,4938
2017-05-10,94.08,92.98,92.98,94.08,2897
2017-05-11,91.56,91.85,91.56,92.2192,10532
2017-05-14,92.6182,93.69,92.6182,93.83,1998
2017-05-15,93.1196,95.02,93.1196,95.24,2721
2017-05-16,94.32,93.19,92.73,94.32,1956
2017-05-17,93.41,94.04,93.41,94.04,1213
2017-05-18,95.29,97.5849,95.07,98.38,1321
2017-05-21,95.81,96.54,95.73,96.61,944
2017-05-22,95.44,95.65,95.44,96.22,3818
2017-05-23,94.4924,93.56,93.56,94.78,13655
2017-05-24,93.5,95.32,92.86,97.63,6138
2017-05-25,94.9,95.14,93.51,95.14,2238
2017-05-29,94.93,92.75,92.54,94.93,3084
2017-05-30,92.51,93.6,92.51,93.86,3424
2017-05-31,94.6408,95.06,94.6408,95.23,1257
2017-06-01,94.57,93.78,92,94.57,2561
2017-06-04,94.43,94.31,94.31,94.43,1332
2017-06-05,93.51,93.73,93.51,93.73,520
2017-06-06,94.7,95.39,94.5625,95.44,1400
2017-06-07,96.72,97.62,96.72,98,1777
2017-06-08,97.09,99.5599,97.07,99.64,4575
2017-06-11,99.24,100.01,97.81,100.0101,1446
2017-06-12,100.056,99.21,99.21,100.056,975
2017-06-13,99.27,99.83,98.82,99.83,1733
2017-06-14,98.49,99.05,98.49,99.66,1067
2017-06-15,99.64,99.78,99.235,99.78,1173
2017-06-18,99.2997,100.68,99.2997,100.68,1135
2017-06-19,100.8189,100.77,100.77,100.8189,348
2017-06-20,100.8,100.8,100.8,100.8,843
2017-06-21,101,100.43,98.74,101,1471
2017-06-22,104.25,100.06,100.06,104.25,1172
2017-06-25,100.8999,101.18,100.8999,101.18,647
2017-06-26,101.67,100.8901,100.8901,101.67,1485
2017-06-27,100.94,101.11,100.89,101.97,1191
2017-06-28,101.7499,100,100,103.02,2705
2017-06-29,101.9,102.2999,101.9,102.2999,8424
2017-07-02,101.75,101.85,101.75,101.85,760
2017-07-04,101.44,101.3394,101.3394,101.44,640
2017-07-05,100.55,100.75,100.51,100.75,1135
2017-07-06,102.5,102.17,102.17,102.5,570
2017-07-09,102.41,102.167,101.63,102.41,2155
2017-07-10,100.64,100.64,100.64,100.64,201
2017-07-11,100.3,101.39,100.3,101.39,854
2017-07-12,104.36,104.536,104,106.39,12728
2017-07-13,106.99,103.94,103.76,106.99,11234
2017-07-16,102.6,101.34,101.2,102.6,1181
2017-07-18,102.31,102.31,102.31,102.31,435
2017-07-19,103.5126,103.5126,103.5126,103.67,1081
2017-07-20,100.83,102.47,100.51,102.47,1377
2017-07-23,101.86,103.2099,101.86,103.2099,481
2017-07-24,104.69,103.79,103.79,104.69,450
2017-07-25,103.012,103.9,103.012,103.9899,507
2017-07-26,104.46,104.46,104.46,104.46,18626
2017-07-27,102.28,102.06,100.57,102.28,830
2017-07-30,104.97,104.52,104.07,105.64,1766
2017-07-31,104.767,104.75,104.75,104.767,538
2017-08-01,103.28,103.01,103.01,103.28,563
2017-08-02,103,103,103,103,343
2017-08-03,103.74,103.5,103.5,103.74,932
2017-08-06,103,102.86,102.86,103,511
2017-08-07,103.752,101.98,101.98,103.752,500
2017-08-08,102.7199,102.8999,102.7199,102.8999,242
2017-08-09,101.73,100.51,100.51,101.73,804
2017-08-10,100.51,100.25,100.25,100.51,651
2017-08-13,100.461,101.01,100.461,101.2699,1051
2017-08-14,101.19,102,101.19,102.27,13631
2017-08-15,101.62,99.29,99.29,101.62,1630
2017-08-16,99.36,97.76,97.67,100,4827
2017-08-17,97.41,97.27,97.217,97.8999,1678
2017-08-20,97.24,97.2245,97.1746,97.56,1172
2017-08-21,97.8125,97.8,97.8,97.96,1100
2017-08-22,97.09,96.771,96.771,97.09,2199
2017-08-23,98.805,97.0963,96.9999,98.805,3496
2017-08-24,98.87,97.158,96.45,98.87,950
2017-08-27,96.6,96.85,96.1801,97.12,1594
2017-08-28,96.79,96.72,96.72,96.79,596
2017-08-29,96.81,96.4,96.13,96.81,6758
2017-08-30,97.041,97.041,97.041,97.041,193
2017-08-31,98.344,97.93,97.84,98.344,1285
2017-09-04,96.63,96.15,96.15,96.67,3050
2017-09-05,96.61,96.9199,96.3377,96.9199,2918
2017-09-06,96.85,96.85,96.85,96.85,366
2017-09-07,96.77,96.77,96.77,96.77,214
2017-09-11,99.26,99.0106,99.0106,99.26,505
2017-09-13,100.5,100.0884,100.0884,100.5,1156
2017-09-14,101.14,101.06,101.06,101.14,374
2017-09-17,102.1728,101.9878,101.9878,102.53,2360
2017-09-18,102.44,101.69,101.69,102.44,302
2017-09-19,101.4,101.4,101.4,101.4,169
2017-09-20,101,101,101,101,270
2017-09-21,101.86,103,101.86,103,358
2017-09-25,103.51,103.6098,103.51,104,2053
2017-09-27,103.8105,103.52,103.4401,103.8105,1946
2017-09-28,103.5101,103.47,103.4,103.9345,1952
2017-10-02,103.76,103.76,103.76,103.76,398
2017-10-03,105.3069,106.2558,105.3069,106.2558,711
2017-10-04,106.79,106.342,105.81,107.1137,3812
2017-10-05,107.2989,106.46,106.4,107.2989,6287
2017-10-08,107,107.686,107,108.035,8703
2017-10-09,107.48,107.98,107.48,108.5,5676
2017-10-10,108.11,107.09,107.09,108.11,3359
2017-10-11,105.97,105.75,105.75,105.97,3873
2017-10-15,105.15,105.9094,105.15,106.12,842
2017-10-16,106.77,106.0264,106,107.16,1846
2017-10-17,106.43,106.2434,105.63,106.43,2215
2017-10-18,105.02,106.0517,105.01,106.0517,2650
2017-10-19,106.3,107.65,106.3,107.65,3631
2017-10-22,109.21,104.98,104.98,109.21,1240
2017-10-23,105.3,105.1,105.1,105.31,460
2017-10-25,105.18,104.5807,104.36,105.18,5677
2017-10-26,105.08,104.8734,104.8734,105.08,211
2017-10-29,102.5425,102.9958,102.5425,103.24,956
2017-10-30,102.37,102.1691,102.1691,102.37,712
2017-10-31,104.08,102,101.8741,104.08,3467
2017-11-01,103.44,103.44,103.44,103.44,415
2017-11-05,102,101.9578,101.9578,102,1475
2017-11-06,102,99.0229,99.0229,102,8400
