date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,51.83,51.46,51.2411,51.88,637005
2014-01-02,51.65,51.44,51.32,51.66,731001
2014-01-05,51.59,51.29,51.25,51.59,230925
2014-01-06,51.37,51.54,51.34,51.5997,409115
2014-01-07,51.54,51.51,51.4,51.608,551446
2014-01-08,51.37,51.36,51.11,51.59,289509
2014-01-09,51.73,51.89,51.56,51.95,180643
2014-01-12,51.99,51.49,51.39,51.99,334228
2014-01-13,51.83,51.9,51.5301,51.9399,256923
2014-01-14,51.94,52.01,51.87,52.06,224213
2014-01-15,52.06,52.02,51.796,52.075,190805
2014-01-16,52.06,51.83,51.75,52.06,214005
2014-01-20,52.28,52.02,51.8126,52.28,323441
2014-01-21,52.23,52.18,51.92,52.26,257363
2014-01-22,51.96,51.63,51.38,52.08,206009
2014-01-23,51,50.29,50.28,51.11,355371
2014-01-26,50.47,49.98,49.7,50.47,444714
2014-01-27,50.3,50.49,50.21,50.49,151516
2014-01-28,49.93,49.88,49.75,50.1299,180846
2014-01-29,50.29,50.17,49.98,50.29,202462
2014-01-30,49.44,49.55,49.25,49.819,235151
2014-02-02,49.6,48.6353,48.6,49.6,675107
2014-02-03,48.9,49.08,48.8,49.16,306269
2014-02-04,49.13,49.19,48.857,49.23,160048
2014-02-05,49.63,50.08,49.564,50.09,183530
2014-02-06,50.44,50.61,50.161,50.62,242978
2014-02-09,50.54,50.43,50.25,50.54,145920
2014-02-10,50.74,51.1999,50.68,51.3,250481
2014-02-11,51.33,51.24,51.16,51.3999,217765
2014-02-12,50.83,51.37,50.73,51.4,132353
2014-02-13,51.54,51.7,51.38,51.76,210363
2014-02-17,52,51.92,51.79,52.03,285476
2014-02-18,51.94,51.59,51.57,52.0299,230461
2014-02-19,51.67,51.76,51.41,51.8498,210629
2014-02-20,52.06,51.94,51.88,52.14,261890
2014-02-23,52.16,52.29,52.01,52.53,265933
2014-02-24,52.41,52.22,52.01,52.41,214571
2014-02-25,52.16,51.96,51.8,52.16,165290
2014-02-26,52,52.21,51.761,52.24,897803
2014-02-27,52.42,52.32,52.091,52.52,150805
2014-03-02,51.51,51.3,51.15,51.66,410674
2014-03-03,52.07,52.22,52.05,52.34,221190
2014-03-04,52.28,52.22,52.1001,52.28,199206
2014-03-05,52.85,52.8,52.691,52.9199,148244
2014-03-06,52.75,52.39,52.1903,52.75,172489
2014-03-09,52.16,52.02,51.7345,52.16,334020
2014-03-10,52.15,51.75,51.68,52.1999,122794
2014-03-11,51.46,51.62,51.21,51.62,132460
2014-03-12,51.77,50.78,50.67,51.79,228136
2014-03-13,50.68,50.74,50.58,50.9699,180574
2014-03-16,51.18,51.32,50.99,51.38,159090
2014-03-17,51.42,51.68,51.35,51.72,161766
2014-03-18,51.62,51.01,50.7292,51.62,170116
2014-03-19,50.71,50.91,50.52,51.03,175152
2014-03-20,51.25,50.9,50.84,51.37,102755
2014-03-23,51.24,51.06,50.7001,51.24,233747
2014-03-24,51.13,51.18,50.921,51.2796,136078
2014-03-25,51.52,51.19,51.17,51.6063,906980
2014-03-26,51.46,51.56,51.27,51.58,82443
2014-03-27,51.75,51.87,51.74,52.02,116924
