date,open_price,close_price,lowest_price,highest_price,volume
2014-03-27,9.5,10.58,7.76,11.45,1908496.0
2014-03-30,12,14.75,11.58,16,2403859.0
2014-03-31,15.9,12.76,12.25,16.44,1145991.0
2014-04-01,12.18,13.88,11.5,14.25,699790
2014-04-02,15,14.85,14,15,749282
2014-04-03,15,13.74,13.5777,15.2499,483053
2014-04-06,13.81,12.9,12.2701,13.83,277709
2014-04-07,13.19,12.37,11.9,13.19,270257
2014-04-08,12.5,11.89,11.33,12.5,247506
2014-04-09,11.97,12,10.79,12,350412
2014-04-10,11.92,11,11,11.92,86645
2014-04-13,11.2,11.38,11.07,11.5599,56990
2014-04-14,11.75,10.99,10.59,11.75,114027
2014-04-15,11.1,11.16,10.6737,11.42,79406
2014-04-16,11.48,11.3,11.0001,11.73,88272
2014-04-20,11.98,12.33,11.4,12.55,198404
2014-04-21,12.5,11.61,11.35,12.89,168671
2014-04-22,11.99,11.49,11.38,11.99,89481
2014-04-23,11.7,11.39,11.27,11.7,72403
2014-04-24,11.5,11.39,11.01,11.89,55636
2014-04-27,11.22,10.7,10.36,11.22,150784
2014-04-28,10.6,10.685,10.5,11.14,65587
2014-04-29,10.5,10.53,10.35,10.7099,93782
2014-04-30,10.3,13,10.3,13.15,715476
2014-05-01,13.27,12.25,11.2601,13.33,561364
2014-05-04,12.4,12.19,11.65,12.4,107211
2014-05-05,12,11.59,11.2611,12.37,103146
2014-05-06,11.4,10.75,10.513,11.64,151575
2014-05-07,10.69,10.66,10.65,11.479,69446
2014-05-08,10.6137,10.73,10.5,11.085,58853
2014-05-11,10.9,11.27,10.9,11.48,58656
2014-05-12,11.3,11.75,11.0201,11.9,90636
2014-05-13,11.9,11.25,11,11.9,144506
2014-05-14,11.17,11.3988,11.17,11.7499,12085
2014-05-15,11.63,11.26,11.2,11.63,24883
2014-05-18,11.2,10.85,10.75,11.3999,47719
2014-05-19,10.8,10.82,10.8,11.089,14607
2014-05-20,10.8,10.91,10.8,11.099,13198
2014-05-21,10.8665,10.61,10.56,10.9,32942
2014-05-22,10.55,10.65,10.55,10.78,15849
2014-05-26,10.78,10.67,10.5889,10.9,39631
2014-05-27,11,11.77,10.87,12.55,400671
2014-05-28,11.8,12.15,11.3001,12.39,115059
2014-05-29,12.15,11.68,11.5,12.15,123439
2014-06-01,11.85,12.29,11.68,12.5999,147464
2014-06-02,12.23,12.39,11.8,12.4,45084
2014-06-03,12.44,11.2,10.8,12.44,188698
2014-06-04,10.9,11.32,10.8,11.64,84282
2014-06-05,11.53,11.01,10.9,11.53,99008
2014-06-08,11.41,11.72,11.021,11.95,70127
2014-06-09,11.59,12,11.3,12,84209
2014-06-10,12,11.91,11.8,12.09,82747
2014-06-11,11.96,12.14,11.8,13.5,278430
2014-06-12,12,12.05,11.57,12.32,121384
2014-06-15,12.24,12.19,11.68,12.55,93016
2014-06-16,12.5,14,12.22,14.38,338033
2014-06-17,13.75,14,13.5,14.33,164366
2014-06-18,14,13.43,13.1,14.119,61744
2014-06-19,13.5,13.04,13,14.0799,245735
2014-06-22,13.49,13.61,13.23,13.98,87191
2014-06-23,13.64,14.69,13.411,15.4,363719
2014-06-24,14.62,15.45,14.5601,15.85,209450
2014-06-25,15.45,15.57,14.82,15.9999,132866
2014-06-26,15.55,15.5,15.02,15.55,77417
2014-06-29,15.5,15.12,14.76,15.8399,68732
2014-06-30,15.22,14.41,14.25,15.27,135922
2014-07-01,14.5,14.6,14.0188,14.9199,53076
2014-07-02,14.55,14.45,14.17,14.75,29143
2014-07-06,14.45,13.69,13.5,14.596,82438
2014-07-07,13.8,12.48,12.25,13.85,217877
2014-07-08,12.46,12.77,12,12.93,74378
2014-07-09,12.8,13.99,12.8,14.45,252268
2014-07-10,14,13.23,12.93,14.0699,229980
2014-07-13,13.37,13.33,13.13,13.8,68501
2014-07-14,13.4,12.25,12.08,13.7,221621
2014-07-15,12.27,12,11.83,12.52,137665
2014-07-16,11.94,12.18,11.9,12.49,49388
2014-07-17,12.07,11.86,11.75,12.2,54018
2014-07-20,11.9,12.6,11.9,12.76,70454
2014-07-21,12.61,12.31,12.2201,12.9271,58104
2014-07-22,12.21,12.37,12.12,12.66,61020
2014-07-23,12.37,12.52,12.07,12.646,35426
2014-07-24,12.39,12.66,12.19,12.75,57797
2014-07-27,12.67,12.99,12.6,13.28,56703
2014-07-28,13.01,13.49,13,13.54,89642
2014-07-29,13.548,11.52,10.81,13.69,483694
2014-07-30,11.07,12.02,11.07,12.2399,211047
2014-07-31,11.8,11.35,11.3,12,106257
2014-08-03,11.65,11.88,11.25,12,81301
