date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,71.93,71.73,71.03,72.19,2074542.0
2018-05-29,72.08,71.87,71.33,72.37,3023691.0
2018-05-30,71.67,70.84,70.78,72.24,4969999.0
2018-05-31,71.41,72.7,71.265,72.745,3546604.0
2018-06-03,72.78,74.2,72.66,74.48,5339243.0
2018-06-04,74.14,74.26,73.49,74.34,4334931.0
2018-06-05,74.3,75.28,74.14,75.36,3993353.0
2018-06-06,75.28,74.35,73.93,75.46,2965622.0
2018-06-07,74.33,74.78,74.12,74.84,3039867.0
2018-06-10,74.86,75.19,74.5,75.37,2987775.0
2018-06-11,75.03,75.35,74.77,75.62,3591683.0
2018-06-12,75.42,74.58,74.46,75.6,2770223.0
2018-06-13,75.02,75.41,74.73,75.5,2573670.0
2018-06-14,75.32,75.22,74.66,75.58,3173028.0
2018-06-17,74.58,74.3,73.95,74.8,2410271.0
2018-06-18,73.67,74.17,73.51,74.19,2727005.0
2018-06-19,74.12,73.33,73.28,74.35,2372081.0
2018-06-20,73.56,73.74,73.37,74.53,2830551.0
2018-06-21,74.01,74.32,73.74,74.86,3373385.0
2018-06-24,74.06,73.59,73.015,74.13,3632444.0
2018-06-25,73.61,73.14,73.12,73.91,2148334.0
2018-06-26,73.45,72.55,72.55,73.89,2539934.0
2018-06-27,72.54,73.8,72.331,74.13,2835168.0
2018-06-28,73.82,73.84,73.78,74.69,2603761.0
2018-07-01,73.39,73.75,72.94,73.8,1392072.0
2018-07-02,73.7,73.07,72.92,73.79,1532018.0
2018-07-04,73.59,73.8,73.22,73.96,1596056.0
2018-07-05,73.88,74.37,73.78,74.57,1508955.0
2018-07-08,74.6,74.67,74.33,74.89,1564609.0
2018-07-09,74.96,74.63,74.42,75.12,2229918.0
2018-07-10,74.32,74.32,74.1,74.9,1296482.0
2018-07-11,74.76,74.78,74.23,75.04,1769914.0
2018-07-12,74.8,74.78,74.51,74.94,2089766.0
2018-07-15,74.25,74.01,73.59,74.285,2133333.0
2018-07-16,73.82,74.75,73.73,74.81,2701072.0
2018-07-17,74.8,74.7,74.32,74.85,1746954.0
2018-07-18,74.6,74.74,74.28,74.98,1951301.0
2018-07-19,74.72,75,74.59,75.6,4221220.0
2018-07-22,75,74.94,74.65,75.33,2405748.0
2018-07-23,75.11,75.54,75.02,75.72,3279885.0
2018-07-24,75.35,76.51,75.35,76.51,2553694.0
2018-07-25,71.01,73.71,71.01,75,6802103.0
2018-07-26,73.28,71.71,71.28,73.71,6447908.0
2018-07-29,71.64,71.36,70.95,72.14,4137033.0
2018-07-30,71.78,72.45,71.62,72.705,4379880.0
2018-07-31,72.46,72.75,72.37,73.13,4001446.0
2018-08-01,72.44,72.24,71.52,72.58,2263196.0
2018-08-02,72.27,72.35,71.63,72.39,1749216.0
2018-08-05,72.25,72.52,72.14,72.72,1814378.0
2018-08-06,72.56,72.54,72.1,72.76,2810467.0
2018-08-07,72.43,72.67,72.405,73.09,3330961.0
2018-08-08,72.92,72.07,71.98,73,3638838.0
2018-08-09,71.95,71.5,71.19,71.95,2341699.0
2018-08-12,71.4,70.71,70.67,71.89,1936350.0
2018-08-13,70.68,70.71,70.65,71.28,2133806.0
2018-08-14,70.44,71.25,70.195,71.34,2811608.0
2018-08-15,71.77,71.58,71.21,71.945,2162490.0
2018-08-16,71.35,72.04,71.05,72.14,1898327.0
2018-08-19,72.09,72.2,71.96,72.435,1697545.0
2018-08-20,72.47,71.64,71.55,72.76,5024881.0
2018-08-21,71.45,72.14,71.23,72.27,1784030.0
2018-08-22,72.2,71.98,71.85,72.33,2553944.0
2018-08-23,72.23,72.35,71.86,72.51,2232169.0
2018-08-26,72.6,72.98,72.51,73.19,2133904.0
2018-08-27,73.15,73.06,72.735,73.25,2728104.0
2018-08-28,73.3,73.96,73.04,74.09,2336458.0
2018-08-29,73.76,73.9,73.42,74.195,2982757.0
2018-08-30,73.68,74.37,73.65,74.45,2980412.0
2018-09-03,74.8,74.79,74.38,75.13,5077568.0
2018-09-04,74.59,74.07,73.665,74.75,4174019.0
2018-09-05,73.95,74.52,73.68,74.73,2367272.0
2018-09-06,74.37,74.59,74.01,74.84,2950751.0
2018-09-09,74.84,74.89,74.64,75.14,2404150.0
2018-09-10,74.82,75.87,74.74,76.13,2712967.0
2018-09-11,75.87,76.08,75.5199,76.22,2352075.0
2018-09-12,76.22,77.13,76.19,77.215,2903575.0
2018-09-13,77.17,77.69,77.17,77.85,2305209.0
2018-09-16,77.45,77.04,76.94,77.52,2657369.0
2018-09-17,77.03,77.24,76.93,77.5,2228337.0
2018-09-18,77.4,77.64,77.3,77.81,3124995.0
2018-09-19,77.9,77.69,77.59,78.38,2293631.0
2018-09-20,77.85,77.37,77.32,77.92,4064471.0
2018-09-23,77.39,77.75,77.24,77.84,1575332.0
2018-09-24,77.85,77.46,77.25,77.96,1960475.0
2018-09-25,77.46,76.9,76.79,77.695,2964171.0
2018-09-26,77.1,76.6,76.55,77.1262,2182179.0
2018-09-27,76.58,77.09,76.55,77.535,3484971.0
2018-09-30,77.5,77.8,77.33,78.23,2791738.0
2018-10-01,77.63,77.3,77.18,77.78,1789064.0
2018-10-02,77.39,75.91,75.68,77.5,3537006.0
2018-10-03,75.56,74.25,73.9,75.56,3137318.0
