date,open_price,close_price,lowest_price,highest_price,volume
2021-01-03,36.08,35.27,35.03,36.1,14202931.0
2021-01-04,35.39,36.24,35.13,36.47,14871373.0
2021-01-05,35.97,36.76,35.87,36.93,13361609.0
2021-01-06,36.76,36.56,36.345,36.81,7349161.0
2021-01-07,36.58,36.75,36.52,37.04,7385883.0
2021-01-10,36.38,36.44,36.17,36.54,7348204.0
2021-01-11,36.3,35.33,34.58,36.37,19763058.0
2021-01-12,35.25,36.06,35.2,36.18,10047212.0
2021-01-13,36.1,36.16,35.895,36.46,10347438.0
2021-01-14,36.16,36.33,35.875,36.57,15702269.0
2021-01-18,36.89,36.27,35.935,36.89,8271888.0
2021-01-19,36.28,36.66,36.07,36.815,7740268.0
2021-01-20,36.7,37.52,36.5,37.74,12362577.0
2021-01-21,37.53,37.03,37,37.5933,7523395.0
2021-01-24,36.89,36.78,36.435,37.135,6293652.0
2021-01-25,36.75,36.64,36.49,36.89,5996650.0
2021-01-26,36.25,35.82,35.66,36.38,15283269.0
2021-01-27,35.93,36.34,35.6,36.57,16598545.0
2021-01-28,36.12,35.44,35.045,36.69,19023236.0
2021-01-31,35.83,35.95,35.22,36.145,12403132.0
2021-02-01,36.05,36.64,35.97,37.065,12612935.0
2021-02-02,36.45,37.45,36.3,37.58,16867283.0
2021-02-03,37.5,38.76,37.41,39.06,16175128.0
2021-02-04,39,38.96,38.81,39.4,19483708.0
2021-02-07,38.92,39.57,38.92,39.68,10499145.0
2021-02-08,39.51,39.25,38.68,39.6,11721860.0
2021-02-09,39.25,38.85,38.52,39.5,8978336.0
2021-02-10,39.01,38.87,38.6,39.15,5643568.0
2021-02-11,38.75,38.39,38.18,38.82,12511673.0
2021-02-15,38.28,37.93,37.69,38.46,9003414.0
2021-02-16,37.62,37.5,37.37,37.77,6208540.0
2021-02-17,37.28,37.52,36.88,37.745,6506867.0
2021-02-18,37.6,38.03,37.19,38.065,9654781.0
2021-02-21,37.92,39.2,37.85,39.34,11030292.0
2021-02-22,39.2,38.75,38.73,39.6225,10375241.0
2021-02-23,38.75,39.53,38.67,39.86,9396285.0
2021-02-24,39.54,39.67,39.31,39.955,11736336.0
2021-02-25,39.51,38.78,38.73,39.69,13590012.0
2021-02-28,39.12,38.9,38.47,39.1762,7942066.0
2021-03-01,38.9,38.76,38.57,38.99,6147517.0
2021-03-02,38.69,38.82,38.312,39.01,6760516.0
2021-03-03,39.02,37.93,37.53,39.08,8620316.0
2021-03-04,38.36,39.54,38.19,39.7053,12922748.0
2021-03-07,39.53,39.52,39.13,39.985,9694847.0
2021-03-08,39.5,39.55,39.434,40.125,13726767.0
2021-03-09,39.79,39.34,39.24,39.81,7799236.0
2021-03-10,39.29,38.65,38.62,39.34,6564422.0
2021-03-11,38.62,38.85,38.51,39.04,5362590.0
2021-03-14,39,39.4,38.56,39.48,7100091.0
2021-03-15,39.33,38.86,38.605,39.52,6270024.0
2021-03-16,38.95,38.88,38.67,39.235,6733952.0
2021-03-17,38.85,38.19,38.16,38.97,8390894.0
2021-03-18,38.19,38.17,37.61,38.625,13094763.0
2021-03-21,38.17,38.23,37.95,38.625,5974244.0
2021-03-22,38.22,37.24,37.15,38.22,6195430.0
2021-03-23,37.23,37.58,37.2,38.01,7402597.0
2021-03-24,37.68,37.92,37.13,37.98,5781269.0
2021-03-25,37.95,38.22,37.53,38.25,7721574.0
2021-03-28,38.04,38.59,38,38.82,6156906.0
2021-03-29,38.4,38.96,38.26,39.06,5981003.0
2021-03-30,39,38.65,38.535,39.1,5893874.0
2021-03-31,38.61,38.58,38,38.785,5696497.0
2021-04-04,38.87,39.04,38.73,39.13,5011122.0
2021-04-05,39.2,38.95,38.845,39.25,7778344.0
2021-04-06,38.96,38.85,38.74,39.22,4924153.0
2021-04-07,38.93,38.72,38.645,39.12,4044898.0
2021-04-08,38.77,39.32,38.545,39.33,5519917.0
2021-04-11,39.26,39.34,38.88,39.47,4252556.0
2021-04-12,39.22,39.41,39.1,39.48,6668574.0
2021-04-13,39.34,39.67,39.3332,39.98,4168372.0
2021-04-14,39.88,40.86,39.84,41.06,8685420.0
2021-04-15,41.14,40.91,40.59,41.18,7934492.0
2021-04-18,40.79,40.88,40.52,40.97,6602563.0
2021-04-19,40.82,41.13,40.71,41.73,10585434.0
2021-04-20,41.24,42.31,41,42.54,14889700.0
2021-04-21,42.31,42.57,42.03,42.8,12098675.0
2021-04-22,42.6,42.73,42.58,42.94,9966719.0
2021-04-25,42.81,42.27,42.23,42.905,11275624.0
2021-04-26,41.99,42.41,41.59,42.76,8512375.0
2021-04-27,43.86,44.24,43.75,44.63,16406854.0
2021-04-28,44.28,44.1,43.63,44.3,8947995.0
2021-04-29,43.84,43.6,43.36,43.96,12752088.0
2021-05-02,43.6,43.63,43.44,43.79,7717026.0
2021-05-03,43.5,43.33,43.09,43.5,9155889.0
2021-05-04,43.47,43.09,43.05,43.67,6889938.0
2021-05-05,43.03,43.04,42.62,43.105,8326885.0
2021-05-06,43.1,43.13,42.99,43.83,6151806.0
2021-05-09,43.16,43.25,43.08,43.61,6167565.0
2021-05-10,43.15,42.53,42.37,43.38,10945790.0
