date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,103.02,103.28,102.22,103.54,1065233.0
2018-05-29,104.15,104.9,103.69,105.45,1623814.0
2018-05-30,104.49,103.14,102.87,104.799,1889517.0
2018-05-31,103.79,104.32,103.34,104.5,1275008.0
2018-06-03,104.32,104.31,104.26,104.99,1920135.0
2018-06-04,104.29,104.25,104.036,105.1,1396308.0
2018-06-05,104.33,104.65,104.09,105.12,1703620.0
2018-06-06,105.05,105.32,104.7966,105.49,1809206.0
2018-06-07,104.94,105.39,103.66,105.41,1939010.0
2018-06-10,105.5,106.44,105.5,107.11,1875330.0
2018-06-11,106.76,106.31,106.03,106.95,1499540.0
2018-06-12,106.87,105.68,105.56,107.37,1431731.0
2018-06-13,105.71,106.01,105.24,106.615,1505656.0
2018-06-14,105.97,106.51,105.9,106.73,2046918.0
2018-06-17,106.39,105.95,105.85,107.09,954489
2018-06-18,105.4,105.52,105.12,106.27,1062252.0
2018-06-19,105.67,107.79,105.46,107.87,1600847.0
2018-06-20,108.07,107.57,107.38,108.85,1776762.0
2018-06-21,108.22,106.74,106.62,108.295,3407162.0
2018-06-24,106.46,105.22,104.68,106.66,2068847.0
2018-06-25,105.3,105.34,105.09,105.73,1828965.0
2018-06-26,105.49,104.18,104.18,105.49,1248085.0
2018-06-27,103.48,103.09,102.45,103.64,1631661.0
2018-06-28,102.89,102.6,101.71,103.35,1260522.0
2018-07-01,102.29,103.19,101.3,103.24,1403293.0
2018-07-02,103.24,103.87,103.08,104.3,741659
2018-07-04,104.02,103.48,102.77,104.375,2002249.0
2018-07-05,103.68,105.22,103.52,105.48,1237786.0
2018-07-08,105.21,105.72,104.84,106.17,960669
2018-07-09,105.71,105.8,105.09,106.325,1024957.0
2018-07-10,105.64,105.52,105.405,106.25,1018162.0
2018-07-11,105.85,105.37,105.22,106.23,1371108.0
2018-07-12,105.31,106.55,105.28,106.68,1111752.0
2018-07-15,106.5,106.83,106.19,106.92,1167032.0
2018-07-16,106.74,108.41,106.145,108.48,1805385.0
2018-07-17,108.23,106.59,106.46,108.38,1428918.0
2018-07-18,106.22,107.7,105.64,108.01,3016084.0
2018-07-19,107.99,108,107.04,108.31,1218644.0
2018-07-22,109.44,108.36,108.22,110,2038782.0
2018-07-23,108,108.16,107.25,108.46,2428138.0
2018-07-24,111.85,118.13,111.41,119.4,4995376.0
2018-07-25,119.39,124.3,118.82,124.51,3970183.0
2018-07-26,124.47,124.15,122.17,124.47,2260467.0
2018-07-29,124.4,124.05,123.29,126.41,1912933.0
2018-07-30,123.77,124.23,122.37,124.47,1650675.0
2018-07-31,124.68,124.58,124.2,127.25,2156347.0
2018-08-01,124.42,125.28,123.91,125.31,2112770.0
2018-08-02,125.79,130.16,125.7,130.29,2832074.0
2018-08-05,129.71,128.81,128.69,131.1,2199804.0
2018-08-06,128,129.44,127.86,129.63,1051337.0
2018-08-07,130.04,128.31,128.23,130.61,2009295.0
2018-08-08,128.5,128.2,127.151,128.5999,1340616.0
2018-08-09,127.91,128.17,127.17,128.33,1292904.0
2018-08-12,128.23,128.65,128.16,130.04,980838
2018-08-13,129.21,130.01,128.95,130.305,1033274.0
2018-08-14,129.67,129.63,128.91,130.84,1724667.0
2018-08-15,130.45,129.02,128.89,130.57,1511068.0
2018-08-16,129.66,131.57,129.66,131.88,1608519.0
2018-08-19,131.59,131.46,131.06,132.4,1112833.0
2018-08-20,131.44,130.61,130.29,132.21,2208961.0
2018-08-21,130.5,131.11,130.29,131.48,973417
2018-08-22,131.13,131.08,130.25,131.38,1245407.0
2018-08-23,131.22,131.36,130.09,131.64,692526
2018-08-26,131.45,131.26,130.72,131.87,877001
2018-08-27,131.52,130.24,130.14,132.25,1392640.0
2018-08-28,130.98,132.13,130.45,132.57,1296157.0
2018-08-29,131.68,131.79,130.92,132.53,958315
2018-08-30,130.8,134.11,130.78,134.19,1545796.0
2018-09-03,138.07,134.03,133.885,138.18,3378680.0
2018-09-04,133.98,133.79,132.73,134.92,1836149.0
2018-09-05,134.02,132.3,131.55,134.37,1572423.0
2018-09-06,131.8,132.47,131.535,133.18,1403855.0
2018-09-09,132.89,131.5,130.97,132.95,1451190.0
2018-09-10,131.61,131.78,131.2601,132.7,1707511.0
2018-09-11,131.83,131.5,130.18,132.28,2103504.0
2018-09-12,131.78,133.84,131.78,133.9,1547507.0
2018-09-13,134.09,133.63,133.56,134.73,990502
2018-09-16,134.03,132.7,132.35,134.2,866086
2018-09-17,132.89,133.78,132.89,134.51,1927865.0
2018-09-18,133.72,131.92,131.62,133.72,2461330.0
2018-09-19,132.82,132.7,132.38,133.79,1304826.0
2018-09-20,132.93,133.37,132.85,133.79,3714791.0
2018-09-23,133.34,134.31,133.34,134.96,1090997.0
2018-09-24,134.81,134.52,133.39,135.355,1896445.0
2018-09-25,135.02,136.63,134.49,137.2644,1965457.0
2018-09-26,136.68,138.33,136.57,138.96,2427168.0
2018-09-27,138.01,139.12,136.76,139.37,2013226.0
2018-09-30,139.95,140.3,139.16,140.54,1616267.0
2018-10-01,140.3,137.93,137.701,141.05,2151819.0
2018-10-02,138.64,138.65,137.9,139.06,1498981.0
2018-10-03,138.58,139.22,137.94,139.35,1389120.0
2018-10-04,139.23,138.97,138.28,140.9,1513042.0
2018-10-07,138.98,138.88,137.44,139.35,1215302.0
2018-10-08,139.16,139.58,138.6,141.1067,1650048.0
2018-10-09,139.77,135.09,134.99,139.99,1642437.0
2018-10-10,136.41,132.43,132.24,137.6699,1940619.0
2018-10-11,133.99,133.86,132.73,135.705,1605796.0
2018-10-14,133.96,132.76,132.68,134.22,1422759.0
2018-10-15,133.95,135.5,132.34,135.74,1908943.0
2018-10-16,136.35,136.47,134.18,137,1552413.0
2018-10-17,137.18,136.37,135.34,137.88,2227286.0
2018-10-18,136.35,133.71,133.37,136.94,2247352.0
2018-10-21,134.03,132.36,131.57,134.98,2356393.0
2018-10-22,130.28,130.63,127.5,130.87,2294612.0
2018-10-23,130.28,126.5,126.2201,131.76,2084193.0
2018-10-24,127,127.06,126.51,128.74,1595711.0
2018-10-25,125.13,127.86,124.32,128.66,2469727.0
2018-10-28,129.23,129,128.79,132.08,4097609.0
2018-10-29,128,135.21,121.17,136.07,4695890.0
2018-10-30,134.87,133.53,133.03,137.16,2536679.0
2018-10-31,135.13,135.69,133.65,136.7,2013374.0
2018-11-01,136.52,134.44,133.8,138.3099,2084514.0
2018-11-04,135.05,135.36,134.55,136.94,2047214.0
2018-11-05,135.02,135.24,134.27,136.3,1534451.0
2018-11-06,136.6,141.65,136.08,141.89,2345260.0
2018-11-07,141.5,141.63,140.04,143.025,2216710.0
2018-11-08,141.9,143.95,141.64,144.18,1903646.0
2018-11-11,144,141.91,141.66,144.96,1426809.0
2018-11-12,142.12,141.54,140.54,143.3843,1538581.0
2018-11-13,142.73,139.85,138.65,143.06,1985153.0
2018-11-14,139.11,137.74,135.97,139.605,2628366.0
2018-11-15,138.16,140.29,137.82,140.34,2388894.0
2018-11-18,140.22,135.16,134.57,141.47,2693840.0
2018-11-19,134.25,135.09,133.48,136.2,1653209.0
2018-11-20,136.11,134.81,134.55,136.4604,1906279.0
2018-11-22,133.81,134.93,133.81,136.47,570055
2018-11-25,135.74,135.51,134.99,137.32,2047494.0
2018-11-26,134.99,138.07,134.73,138.47,1962195.0
2018-11-27,139.02,144.38,138.99,144.42,2458662.0
2018-11-28,143.52,144.5,142.86,145.74,1820100.0
2018-11-29,144.23,143.99,142.82,144.955,2214412.0
2018-12-02,145.69,146.29,143.74,146.5,1385202.0
2018-12-03,146.1,142.13,141.58,147.42,3066947.0
2018-12-05,140.91,140.85,136.49,141.97,2122205.0
2018-12-06,140.29,135.86,135.52,141.11,1829994.0
2018-12-09,135.61,134.12,129.93,136.25,1987579.0
2018-12-10,135.42,133.89,132.9,136.39,1169245.0
2018-12-11,135.44,134.96,134.78,137.41,2356747.0
2018-12-12,135.48,136.32,134.444,137.62,2377293.0
2018-12-13,134.37,126.73,125.54,134.37,2450487.0
2018-12-16,120,123.12,119.31,124.605,3510652.0
2018-12-17,124.36,125.31,123.37,127.21,2391094.0
2018-12-18,125.39,122.25,120.53,125.8,2103347.0
2018-12-19,121.85,119.85,118.73,122.67,2185566.0
2018-12-20,119.85,120.08,118.97,123.5,3192915.0
2018-12-23,119.71,116.13,115.72,120.515,971255
2018-12-25,116.73,121.29,116.18,121.29,1275382.0
2018-12-26,119.53,122.38,117.04,122.38,1641786.0
2018-12-27,123.07,122.51,121.61,124.1,1117433.0
2018-12-30,123.48,124.45,123.1,124.86,1206638.0
2019-01-01,122.91,121.76,120.09,123.06,1501563.0
2019-01-02,120.82,119.44,119.12,122.565,1817393.0
2019-01-03,121.19,123.39,121.19,123.98,1487256.0
2019-01-06,123.62,124.44,123.49,125.52,2906669.0
2019-01-07,126.01,126.19,124.32,126.67,1066697.0
2019-01-08,127.1,128.3,126.84,128.899,1857299.0
2019-01-09,127.75,129.75,127.09,129.82,960385
2019-01-10,129.21,129.14,128.255,129.69,1466301.0
2019-01-13,128.33,129.26,127.95,130.47,993000
2019-01-14,129.62,131.49,129.26,132.63,2168983.0
2019-01-15,131.74,132.31,131.23,133.29,1318118.0
2019-01-16,131.81,134.06,131.75,134.9375,961960
2019-01-17,135.11,134.54,133.7449,136.09,2233716.0
2019-01-21,133.76,132.97,131.5,134.41,2039947.0
2019-01-22,133.11,133.79,132.47,135.325,1561705.0
2019-01-23,133.91,132.69,132.66,134.75,1187562.0
2019-01-24,133.85,132.9,132.6,134.46,1909936.0
2019-01-27,132.11,131.73,130.08,132.21,1813235.0
2019-01-28,135,138.03,132.01,138.1,2669892.0
2019-01-29,138.23,139.06,136.9,139.47,2259240.0
2019-01-30,138.89,139.43,138.56,140.54,1880299.0
2019-01-31,139.07,139.71,138.39,140.97,1866855.0
2019-02-03,138.99,138.76,137.62,139.37,1334228.0
2019-02-04,139.07,139.72,139.01,140.47,1037428.0
2019-02-05,139.08,140.03,138.04,140.08,902738
2019-02-06,139.54,140.62,138.97,140.96,1241488.0
2019-02-07,139.91,139.53,138.1,140.43,996954
