date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,100.18,99.18,98.25,100.43,1240666.0
2018-05-29,99.88,100.48,99.7447,100.87,968967
2018-05-30,100.58,98.93,98.57,100.58,1818807.0
2018-05-31,99.46,100.49,98.6,100.58,669693
2018-06-03,100.41,101.24,99.84,101.28,750494
2018-06-04,101.36,101.88,100.44,101.92,756900
2018-06-05,101.8,103.69,101.4896,103.86,722585
2018-06-06,103.8,103.17,102.48,103.95,569858
2018-06-07,103.28,104.6,103.28,104.91,1090991.0
2018-06-10,104.53,104.17,103.83,104.67,636498
2018-06-11,104.16,104.95,104.16,105.23,705708
2018-06-12,103,103.36,102.29,103.62,4309884.0
2018-06-13,103.77,103.16,102.73,103.9,1751858.0
2018-06-14,102.63,103.28,101.81,103.4,2575741.0
2018-06-17,104,104.88,103.49,105.45,3648163.0
2018-06-18,104.5,105.95,104.3062,106,2743143.0
2018-06-19,105.83,105.61,105.54,106.99,1278569.0
2018-06-20,105.95,104.73,104.6,105.95,984743
2018-06-21,105.22,103.84,103.24,105.22,5843931.0
2018-06-24,103.7,100.81,100.72,103.7,1758121.0
2018-06-25,100.96,100.7,99.97,101.24,1264970.0
2018-06-26,100.89,98.7,98.57,101.21,1140067.0
2018-06-27,98.34,99.19,97.645,99.305,1734952.0
2018-06-28,99.76,99.82,99.43,100.59,1833714.0
2018-07-01,99.42,99.3,98.17,99.45,1634723.0
2018-07-02,101,100.61,100,101.4,928131
2018-07-04,101.44,100.4,99.65,101.44,963320
2018-07-05,100.63,101.71,100.4501,101.88,986110
2018-07-08,102.11,102.75,101.94,102.96,1054069.0
2018-07-09,103.23,103.92,103.07,103.99,888203
2018-07-10,103.35,104.21,103.25,104.5479,1243141.0
2018-07-11,105.04,106.9,104.75,106.97,1188735.0
2018-07-12,106.74,107.27,106.04,107.71,1259206.0
2018-07-15,107.73,107.69,107.07,108.05,1482941.0
2018-07-16,107.52,109,107.38,109.24,1029743.0
2018-07-17,108.83,109.68,108.39,109.68,1384434.0
2018-07-18,109.49,110.25,109.18,110.79,1282126.0
2018-07-19,110.08,111.11,110.03,111.17,1364097.0
2018-07-22,111.36,111.37,111.12,112.15,1926033.0
2018-07-23,113.17,118.38,113.17,120.91,3575907.0
2018-07-24,119.55,125.24,118.97,125.35,3040476.0
2018-07-25,124.6,122.03,120.92,124.6,2457911.0
2018-07-26,121.88,120.45,119.64,121.89,812374
2018-07-29,120.73,120.92,120.12,121.82,1109252.0
2018-07-30,121.48,121.94,121.25,123.17,1221248.0
2018-07-31,122.2,122.06,121.78,122.96,861403
2018-08-01,121.93,124.36,121.93,124.675,1321238.0
2018-08-02,124.43,123.14,122.505,124.43,742594
2018-08-05,123.07,122.16,121.74,123.32,1299988.0
2018-08-06,122.6,122.86,121.9598,123.25,650368
2018-08-07,122.82,121.98,121.91,123.52,437546
2018-08-08,122.2,121.7,121.56,122.96,589118
2018-08-09,120.79,121.15,120.42,122.03,485915
2018-08-12,121.62,120.8,120.49,122.445,591507
2018-08-13,120.93,121.2,120.1,121.93,837999
2018-08-14,120.89,120.2,119.5851,120.9,1111466.0
2018-08-15,120.47,121.03,119.87,121.99,491297
2018-08-16,121,120.28,119.74,121.5,833991
2018-08-19,120.9,120.3,119.53,121.3,1405554.0
2018-08-20,120.76,122.52,120.76,124,1900074.0
2018-08-21,122.28,123.86,121.69,124.1,1122212.0
2018-08-22,124.13,124.39,123.81,125.45,885057
2018-08-23,124.5,125.42,124.48,126.3295,1011549.0
2018-08-26,126.44,126.42,125.2,126.9399,852931
2018-08-27,126.25,126.56,126.08,126.95,466240
2018-08-28,126.56,126.19,126.125,126.85,682788
2018-08-29,126.34,125.91,125.31,126.45,459080
2018-08-30,125.89,127.09,125.89,127.28,736835
2018-09-03,126.9,128.04,125.96,128.1,810778
2018-09-04,128.03,125.95,125.5,128.4,1301949.0
2018-09-05,126.06,126.88,125.32,127.045,1066401.0
2018-09-06,126.32,127.02,126.24,127.72,1014747.0
2018-09-09,127.72,127.92,126.75,128.21,529325
2018-09-10,127.6,124.99,123.36,127.6,2236083.0
2018-09-11,124.65,125.15,122.28,125.34,1268315.0
2018-09-12,125.83,126.51,124.485,127.32,1167818.0
2018-09-13,126.31,126.59,125.74,127.98,560281
2018-09-16,126.4,125.07,124.92,126.4,1272932.0
2018-09-17,125.22,125.55,124.64,127.66,1513498.0
2018-09-18,125.66,125.23,124.94,126,747699
2018-09-19,125.76,127.17,125.32,127.35,1254317.0
2018-09-20,127.71,127.58,126.38,128.37,2623657.0
2018-09-23,127.24,128.56,126.9,128.73,807173
2018-09-24,129,129.82,128.59,130.43,1150848.0
2018-09-25,130.47,129.93,129.84,131.42,1387223.0
2018-09-26,130,130.77,129.51,130.87,827073
2018-09-27,130.57,129.74,129.48,131.71,1106593.0
2018-09-30,130.28,130.07,128.81,130.52,1538862.0
2018-10-01,130.24,130.2,129.08,130.86,967980
2018-10-02,130.77,130.35,129.67,132.235,993925
2018-10-03,129.73,127,126.73,130.197,939644
2018-10-04,126.89,127.79,126.57,129.04,1072702.0
2018-10-07,127.88,126.44,125.43,127.88,822056
2018-10-08,126.34,127.38,125.85,128.435,945855
2018-10-09,127.31,122.81,122.6,127.76,879224
2018-10-10,122.57,122.58,121,124.92,1626809.0
2018-10-11,124.34,124.79,123.5,126.19,817788
2018-10-14,124.48,124.26,123.695,125.38,676113
2018-10-15,125.17,129.61,125.17,129.74,930544
2018-10-16,129.19,129.38,128.12,129.8,700112
2018-10-17,129.48,128.42,126.76,129.85,807686
2018-10-18,128.75,126.89,126.5,130.22,1574003.0
2018-10-21,130.26,126.45,124.43,135.48,2807127.0
2018-10-22,124.47,122.48,115.33,124.47,2969476.0
2018-10-23,122.25,115.24,115.0021,123.71,1954765.0
2018-10-24,116.46,119.92,115.8501,121.16,1809572.0
2018-10-25,118.5,120.19,117.59,121.05,2386072.0
2018-10-28,119.68,120.81,118.61,123.56,1969471.0
2018-10-29,121.26,119.83,118.54,122.36,1433886.0
2018-10-30,120.89,122.93,120.89,124.86,1391784.0
2018-10-31,123.33,122.24,121.45,123.775,1050711.0
2018-11-01,122.9,121.71,120.419,123.55,1135936.0
2018-11-04,122.31,121.67,120.8,122.31,1840696.0
2018-11-05,121.78,122.37,121.305,122.88,858984
2018-11-06,123.77,126.62,123.45,126.77,943763
2018-11-07,125.91,125.69,125.29,126.83,780165
2018-11-08,125.21,124.17,122.765,126.03,656686
2018-11-11,123.67,121.12,120.27,123.905,712663
2018-11-12,121.49,119.66,119.535,122.81,1230167.0
2018-11-13,120.37,117.41,117.22,122.57,1433721.0
2018-11-14,117.2,119.13,115.39,119.4,1325166.0
2018-11-15,118.58,119.39,117.69,120.46,1730743.0
2018-11-18,119.56,115.44,114.86,120.27,1407248.0
2018-11-19,114.33,115.85,113.12,117.06,1266394.0
2018-11-20,116.61,116.21,116.05,118.13,1174722.0
2018-11-22,115.67,117.73,115.15,119.01,286389
2018-11-25,118.78,119.58,118.14,119.92,1010196.0
2018-11-26,118.88,120.07,118.49,120.3,1165001.0
2018-11-27,120.41,124.18,120.03,124.21,1511090.0
2018-11-28,123.65,124.95,123.65,126.12,1029804.0
2018-11-29,123.64,125.07,121.82,125.25,2969167.0
2018-12-02,128.64,127.38,126.845,129.01,2208896.0
2018-12-03,127.19,123.15,123.04,127.89,2852377.0
2018-12-05,121.35,121.85,118.35,121.86,1716617.0
2018-12-06,121.04,117.98,117.045,121.81,1535353.0
2018-12-09,118.6,119.12,115.73,119.34,1402764.0
2018-12-10,120.11,121.5,120.11,122.34,1875396.0
2018-12-11,122.52,122.34,122.1,125.03,1518098.0
2018-12-12,122.73,121.5,119.61,123.82,978681
2018-12-13,120.71,118.02,117.6,120.71,1429398.0
2018-12-16,117.5,115.66,114.915,118.04,2106183.0
2018-12-17,116.24,115.46,114.06,116.99,1989006.0
2018-12-18,115.28,113.79,111.62,116.57,1714659.0
2018-12-19,113.08,110.2,109.52,114,2029133.0
2018-12-20,110.13,108.22,107.59,111.21,2710917.0
2018-12-23,107.42,105.7,104.9,107.8,876454
2018-12-25,105.78,111.19,105.52,111.45,1253159.0
2018-12-26,109.32,112.38,107.95,112.44,997991
2018-12-27,112.8,113.91,111.95,115.28,1280546.0
2018-12-30,114.61,116.17,114.35,116.19,991426
2019-01-01,114.41,114.31,112.38,115.76,1155898.0
2019-01-02,112.75,109.96,107.79,113.17,2178981.0
2019-01-03,111.21,115.07,110.525,115.99,1402518.0
2019-01-06,115.26,117.2,114.75,118.635,1170956.0
2019-01-07,118.29,119.63,116.96,119.7,1286905.0
2019-01-08,120,122.16,120,122.55,1609412.0
2019-01-09,121.57,123.36,120.3,123.43,1032428.0
2019-01-10,123.42,122.81,121.11,123.42,1136108.0
2019-01-13,121.72,121.49,121.17,122.15,919712
2019-01-14,121.57,122.88,121.21,122.97,1332634.0
