date,open_price,close_price,lowest_price,highest_price,volume
2021-01-03,54.27,52.76,52.03,54.63,26166276.0
2021-01-04,52.33,52.18,52.03,52.62,20758253.0
2021-01-05,51.97,50.52,50.1879,52.02,39203856.0
2021-01-06,50.09,49.96,49.52,50.255,54156939.0
2021-01-07,50.03,51.08,49.84,51.125,30229342.0
2021-01-10,50.62,50.2,49.95,50.86,19725685.0
2021-01-11,50.04,50.11,49.76,50.3684,19080929.0
2021-01-12,49.98,50.16,49.9533,50.36,19200461.0
2021-01-13,50.16,49.23,49.22,50.18,34680307.0
2021-01-14,49.155,48.7,48.53,49.1799,25861005.0
2021-01-18,48.74,48.51,48.24,49.04,29755932.0
2021-01-19,48.54,48.68,48.31,48.82,23662256.0
2021-01-20,48.78,48.95,48.46,49.09,20142325.0
2021-01-21,48.81,48.49,48.49,48.94,15834006.0
2021-01-24,48.42,48.78,48.24,48.84,17063737.0
2021-01-25,48.91,49.29,48.61,49.4,13233102.0
2021-01-26,48.89,48.53,48.23,49.32,21631736.0
2021-01-27,48.69,49.15,48.61,49.5,17831913.0
2021-01-28,49.03,48.15,48.11,49.12,19080281.0
2021-01-31,48.27,48.48,48.18,48.69,12538856.0
2021-02-01,48.8,48.96,48.63,49.35,13600764.0
2021-02-02,48.95,48.77,48.67,49.0883,12677605.0
2021-02-03,48.96,49.01,48.65,49.07,20917666.0
2021-02-04,49.5,49.65,49.27,49.78,13100853.0
2021-02-07,49.96,49.92,49.49,50.17,18414362.0
2021-02-08,49.85,49.7,49.63,50.02,14998959.0
2021-02-09,50.41,49.6,49.53,50.58,23625176.0
2021-02-10,49.81,50.3,49.8,50.59,22322348.0
2021-02-11,50.57,50.69,50.39,50.8481,13636684.0
2021-02-15,50.62,50.27,50.16,50.72,15647342.0
2021-02-16,50,50.13,49.885,50.485,13300819.0
2021-02-17,50.16,50.77,50.0316,50.845,13063340.0
2021-02-18,50.79,50.11,49.97,50.825,16792270.0
2021-02-21,49.85,50.63,49.67,50.88,14711569.0
2021-02-22,51,50.54,50.42,51.51,16752961.0
2021-02-23,50.39,50.71,50.13,50.9,14754756.0
2021-02-24,50.47,50.17,49.98,50.745,14531465.0
2021-02-25,50.2,48.99,48.97,50.21,23850278.0
2021-02-28,49.44,49.9,49.4,50.44,14257137.0
2021-03-01,49.84,50.1,49.7,50.56,11986088.0
2021-03-02,49.72,49.98,49.71,50.56,15795333.0
2021-03-03,50.31,49.94,49.62,51.09,22436539.0
2021-03-04,50.05,50.79,49.9,50.95,21574372.0
2021-03-07,51.47,51.64,51.16,52.49,25639142.0
2021-03-08,51.72,50.86,50.82,51.88,23415230.0
2021-03-09,51.18,51.44,50.715,51.63,21754678.0
2021-03-10,51.41,50.88,50.81,51.43,17823320.0
2021-03-11,50.59,50.36,50.2,50.679,17902324.0
2021-03-14,50.5,51.03,50.47,51.12,13709945.0
2021-03-15,51.2,51.22,51.04,51.52,14512351.0
2021-03-16,51.25,51.24,51.15,51.62,17798842.0
2021-03-17,51.06,50.57,50.485,51.19,18277732.0
2021-03-18,50.46,50.81,50.17,51.08,70544138.0
2021-03-21,50.32,51,50.32,51.08,18372592.0
2021-03-22,50.99,51.39,50.825,51.65,17182774.0
2021-03-23,51.17,51.52,51.15,51.89,15268533.0
2021-03-24,51.7,52.02,51.17,52.06,17325463.0
2021-03-25,52.14,53.04,51.76,53.11,17355928.0
2021-03-28,52.73,53.85,52.71,53.94,17928888.0
2021-03-29,53.75,53.15,52.925,53.79,15150171.0
2021-03-30,53.03,52.71,52.5,53.17,16073038.0
2021-03-31,52.96,52.51,52.455,53.15,16288460.0
2021-04-04,52.35,52.81,52.29,53.215,16749108.0
2021-04-05,53.04,53.19,52.9,53.65,15950897.0
2021-04-06,53.28,53.28,53.12,53.5,10377009.0
2021-04-07,53.17,53.12,52.97,53.38,9988128.0
2021-04-08,53.17,53.18,52.81,53.28,11044613.0
2021-04-11,53.33,53.35,53.095,53.55,8920265.0
2021-04-12,53.04,53.09,52.81,53.285,11450210.0
2021-04-13,52.98,53.08,52.645,53.19,10012185.0
2021-04-14,53.13,53.33,53.12,53.66,13314714.0
2021-04-15,53.74,53.68,53.375,53.8,19207485.0
2021-04-18,54,54,53.3,54.3582,19873191.0
2021-04-19,53.84,54.17,53.81,54.59,14632200.0
2021-04-20,54.24,54.61,54.24,54.74,14215677.0
2021-04-21,54.47,54.44,54.315,54.865,12820947.0
2021-04-22,54.4,54.47,54.17,54.59,9186887.0
2021-04-25,54.47,53.66,53.58,54.51,12042564.0
2021-04-26,53.56,53.58,53.32,53.7,10125100.0
2021-04-27,53.98,53.59,53.435,54.047,11137574.0
2021-04-28,53.54,54.26,53.43,54.36,15780430.0
2021-04-29,54.25,53.98,53.69,54.27,15127831.0
2021-05-02,54.27,54.48,54.16,54.795,10619497.0
2021-05-03,54.57,54.14,53.94,54.62,14325776.0
2021-05-04,54.14,54,53.713,54.24,9951160.0
2021-05-05,54.12,54.54,54.05,54.605,11775622.0
2021-05-06,54.44,54.51,54.16,54.77,10856587.0
2021-05-09,54.88,54.91,54.831,55.495,15830615.0
2021-05-10,55.03,54.32,54.045,55.14,13342582.0
2021-05-11,54.36,54.04,53.875,54.555,16053987.0
2021-05-12,53.97,54.51,53.83,54.775,15709293.0
2021-05-13,54.9,54.73,54.69,55.1,12037801.0
2021-05-16,54.84,54.64,54.5,55.02,12340165.0
2021-05-17,54.39,54.34,54.1,54.5599,13462331.0
2021-05-18,54.12,54.17,53.61,54.18,15424857.0
2021-05-19,54.12,54.65,54.12,54.8,11155185.0
2021-05-20,54.8,54.62,54.22,55.115,16567858.0
2021-05-23,54.63,54.8,54.49,54.93,10502775.0
2021-05-24,54.82,54.79,54.345,54.82,12085319.0
2021-05-25,54.98,55.03,54.59,55.05,16373185.0
2021-05-26,55.21,55.49,54.775,55.57,59443399.0
2021-05-27,55.35,55.29,55.2,55.71,17257410.0
2021-05-31,55.34,55.28,55.095,55.65,13692963.0
2021-06-01,55.5,55.5,55.26,55.56,11541081.0
2021-06-02,55.18,55.64,55.1,55.74,17543568.0
2021-06-03,55.9,56.24,55.78,56.48,19233687.0
2021-06-06,56.31,56.04,55.81,56.34,14260742.0
2021-06-07,56.25,55.65,55.545,56.25,11090093.0
2021-06-08,55.75,55.48,55.48,55.92,9970130.0
2021-06-09,55.91,55.91,55.76,56.12,12689499.0
2021-06-10,55.99,56.16,55.655,56.21,12012165.0
2021-06-13,55.69,55.55,55.2,55.71,9966383.0
2021-06-14,55.78,55.41,55.19,55.79,11417835.0
2021-06-15,55.44,54.67,54.64,55.46,15499118.0
2021-06-16,54.67,54.95,54.645,55.15,10917693.0
2021-06-17,54.51,53.77,53.72,54.62,34864696.0
2021-06-20,54.22,54.36,54,54.43,14715086.0
2021-06-21,54.34,54.56,54.255,54.85,13286812.0
2021-06-22,54.56,54.12,54.11,54.6,12652731.0
2021-06-23,54.26,54.39,54,54.415,11681169.0
2021-06-24,54.24,54.32,54.01,54.47,19159298.0
2021-06-27,54.25,54.26,54,54.37,10814178.0
2021-06-28,54.13,53.86,53.72,54.34,12556104.0
2021-06-29,53.8,54.11,53.75,54.18,14842695.0
2021-06-30,54.34,53.96,53.855,54.48,13590331.0
2021-07-01,54,54.18,54,54.45,10792384.0
2021-07-05,53.99,53.88,53.55,54.09,15613752.0
2021-07-06,53.72,54.32,53.72,54.375,14645963.0
2021-07-07,54.01,54.13,53.735,54.165,12201397.0
2021-07-08,54.25,54.46,54.18,54.52,10997584.0
2021-07-11,54.32,54.48,54.27,54.595,15443721.0
2021-07-12,54.95,55.02,54.75,55.295,15660427.0
2021-07-13,55.02,56.26,54.96,56.3499,22289062.0
2021-07-14,56.24,56.44,55.91,56.47,15364037.0
2021-07-15,56.46,56.4,56.26,56.68,15398713.0
2021-07-18,56.08,55.73,55.16,56.35,19857907.0
2021-07-19,55.73,55.83,55.52,56.3299,16462583.0
2021-07-20,57.33,56.55,56.425,57.56,21647209.0
2021-07-21,56.62,56.47,56.05,56.74,13588289.0
2021-07-22,56.59,57.01,56.45,57.33,12306534.0
2021-07-25,56.89,57.06,56.56,57.12,8874412.0
2021-07-26,57.11,57.26,56.92,57.54,13100915.0
2021-07-27,56.99,56.74,56.629,57.16,10061195.0
2021-07-28,57.07,57.05,56.86,57.25,9599110.0
2021-07-29,57.15,57.03,56.9,57.25,11727287.0
2021-08-01,57.2,56.88,56.705,57.24,9777990.0
2021-08-02,57,56.92,56.745,57,8825480.0
2021-08-03,56.75,56.1,56.0101,56.95,11888363.0
2021-08-04,56.44,56.5,56.29,56.59,9788280.0
2021-08-05,56.6,56.64,56.44,56.74,10409250.0
2021-08-08,56.795,56.65,56.4308,56.88,8859893.0
2021-08-09,56.84,56.8,56.655,57.17,10906922.0
2021-08-10,56.89,56.73,56.71,57.18,8370669.0
2021-08-11,56.73,56.84,56.73,56.98,6169450.0
2021-08-12,56.81,57.23,56.771,57.3,7714175.0
2021-08-15,57.2,57.48,57.03,57.49,7973528.0
2021-08-16,57.46,57.28,57.01,57.555,10346446.0
2021-08-17,57.19,56.5,56.42,57.23,13873728.0
2021-08-18,56.06,56.86,55.95,56.98,9223662.0
2021-08-19,56.84,56.64,56.58,57.0299,10543566.0
2021-08-22,56.67,56.44,56.38,56.75,8912813.0
2021-08-23,56.64,56.01,55.9,56.64,12067193.0
2021-08-24,56.06,56.07,55.73,56.17,11270669.0
2021-08-25,55.95,55.54,55.51,55.98,10331493.0
2021-08-26,55.66,55.65,55.45,55.785,8844146.0
2021-08-29,55.69,56.18,55.64,56.2,10034681.0
2021-08-30,56.16,56.31,56,56.515,14185706.0
2021-08-31,56.38,56.69,56.28,56.8,9519203.0
2021-09-01,56.77,56.77,56.41,57.03,11654234.0
2021-09-02,56.46,56.73,56.245,56.765,13220668.0
2021-09-06,56.6,55.67,55.51,56.69,20241134.0
2021-09-07,55.61,56.42,55.61,56.48,12040068.0
2021-09-08,56.18,55.86,55.8,56.42,12545367.0
2021-09-09,56.01,55.61,55.515,56.13,10573710.0
2021-09-12,55.74,56.07,55.74,56.395,20554882.0
2021-09-13,55.92,55.69,55.55,55.98,14120318.0
2021-09-14,55.68,55.88,55.42,56,15908326.0
2021-09-15,55.72,55.35,54.82,55.985,17428065.0
2021-09-16,55.02,54.44,54.37,55.194,33383192.0
2021-09-19,54.11,54.06,53.7273,54.4,27542450.0
2021-09-20,54.39,54.05,53.94,54.82,16418161.0
2021-09-21,54.505,54.13,54.0623,54.56,12719723.0
2021-09-22,54.26,54.04,54,54.6175,13836215.0
2021-09-23,54,53.89,53.86,54.24,9682234.0
2021-09-26,53.85,53.61,53.57,54.245,12429466.0
2021-09-27,53.46,52.64,52.43,53.46,19926090.0
2021-09-28,52.64,52.96,52.56,53.155,13941474.0
2021-09-29,53.17,52.47,52.43,53.325,17842501.0
2021-09-30,52.78,53.02,52.5707,53.2,16277410.0
2021-10-03,53.06,52.99,52.4,53.525,18973448.0
2021-10-04,53.02,53.08,52.93,53.47,17173137.0
2021-10-05,52.77,53.71,52.51,53.765,21284532.0
2021-10-06,53.99,53.88,53.81,54.28,13774366.0
2021-10-07,54,54.12,53.895,54.39,13922141.0
2021-10-10,54.21,54.23,54.01,54.39,12378523.0
2021-10-11,54.42,54.23,54.22,54.83,19474368.0
2021-10-12,54.17,54.24,53.79,54.43,12143664.0
2021-10-13,54.39,54.61,54.31,54.805,13704288.0
2021-10-14,54.64,54.48,54.285,54.88,17867141.0
2021-10-17,54.35,53.94,53.86,54.39,15861787.0
2021-10-18,54.04,54.15,53.77,54.2,11068618.0
2021-10-19,54.18,54.63,54.11,54.76,12474869.0
2021-10-20,54.6,54.35,54.21,54.67,14388305.0
2021-10-21,54.39,54.45,54.07,54.53,12828798.0
2021-10-24,54.38,54.23,54.015,54.47,11855031.0
2021-10-25,54.32,54.47,54.2345,54.58,12086749.0
2021-10-26,55.97,55.52,55.265,56.08,24019827.0
2021-10-27,55.75,56.04,55.62,56.11,15927963.0
2021-10-28,55.87,56.37,55.78,56.465,24463736.0
2021-10-31,56.39,56.17,55.9,56.4,11651091.0
2021-11-01,56.47,56.1,55.965,56.5,11498857.0
