date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,200.28,200.28,198.2623,202.91,2049477.0
2018-05-29,202.13,201.83,200.7,204.74,2812140.0
2018-05-30,200.66,198.18,197.85,202.1,3078345.0
2018-05-31,200,202.68,198.69,203.78,3437129.0
2018-06-03,202.4747,204.59,200.59,205.95,2805866.0
2018-06-04,204.66,201.84,201.43,205.47,2507890.0
2018-06-05,202.48,199.61,196.88,202.52,3925376.0
2018-06-06,192.26,188.83,184.81,192.78,12775159.0
2018-06-07,186.13,188.03,185.4,188.29,5272645.0
2018-06-10,187.65,183.71,183.19,187.83,5443367.0
2018-06-11,184.9,186.93,183.35,187.02,3661519.0
2018-06-12,184.21,184.59,184.0335,188.495,4489454.0
2018-06-13,185.17,181.17,180.9711,186.55,4386642.0
2018-06-14,179.26,178.41,178,180.9,4355259.0
2018-06-17,176.63,174.2,174,176.7,4518718.0
2018-06-18,170.9,173.35,170.51,174.825,3736232.0
2018-06-19,175.48,174.54,173.19,176.29,2775870.0
2018-06-20,178.17,176.05,175.3947,179.25,3282743.0
2018-06-21,177.49,174.7,172.94,177.6,2950348.0
2018-06-24,172.21,171.01,167.62,173,3618014.0
2018-06-25,175.52,173.93,171.74,175.75,3506053.0
2018-06-26,175,169.8,169.79,175.49,2685755.0
2018-06-27,168.01,170.87,166.37,171.14,3354573.0
2018-06-28,172.55,172.85,172.24,174.838,3201829.0
2018-07-01,169.99,173.05,168.61,173.27,2115338.0
2018-07-02,173.19,167.25,166.89,173.5,2048437.0
2018-07-04,169.31,171.82,169.29,172.3,2386238.0
2018-07-05,171.3,173.86,169,174.09,2354544.0
2018-07-08,175.73,177.02,172.3,177.12,2055913.0
2018-07-09,177.02,176.4,175.1,177.93,1977130.0
2018-07-10,174.5,169.26,168.8231,175.99,3450890.0
2018-07-11,170.11,171.32,169.72,173.42,2687121.0
2018-07-12,172.26,171.79,171.27,174.2,2134317.0
2018-07-15,171.12,171.79,170.7701,172.9,1873645.0
2018-07-16,170.53,177.24,170.53,178.04,2419828.0
2018-07-17,183.04,181.32,179.0501,183.88,3297281.0
2018-07-18,180.11,178.23,177.83,181.47,2015204.0
2018-07-19,178.18,177.81,175.8998,178.44,1721043.0
2018-07-22,176.3,174.84,171.53,176.5,2295356.0
2018-07-23,176.18,173.39,173,179.19,2300583.0
2018-07-24,173.49,172.8,170.44,174.38,2245666.0
2018-07-25,172.26,177.26,172,177.64,3841576.0
2018-07-26,185,190.02,184.5611,193.45,8073941.0
2018-07-29,189.49,187.84,185.88,190,3412447.0
2018-07-30,190.07,190.64,189.7443,196.7,3417699.0
2018-07-31,189.87,186.29,185.84,190.8,2559069.0
