date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,43.14,42.91,42.71,43.49,812611
2018-05-29,43.04,43.33,43.04,43.51,1135224.0
2018-05-30,43.36,42.63,42.61,43.5999,1462841.0
2018-05-31,42.76,43.57,42.73,43.76,900492
2018-06-03,43.82,43.52,43.34,43.879,569772
2018-06-04,43.67,43.66,43.33,43.89,740210
2018-06-05,43.68,44.88,43.48,44.955,1263388.0
2018-06-06,44.99,45.16,44.72,45.51,1024916.0
2018-06-07,45.16,45.86,44.99,45.96,1968974.0
2018-06-10,45.82,46.11,45.55,46.71,1610233.0
2018-06-11,46.19,46.18,45.795,46.45,1577632.0
2018-06-12,46.84,46.48,46.46,47.22,1316300.0
2018-06-13,46.32,46.55,46.195,46.64,961758
2018-06-14,46.54,46.93,46.455,47.09,1913136.0
2018-06-17,46.43,46.97,46.12,47.13,967382
2018-06-18,46.82,46.96,46.36,47.02,1146538.0
2018-06-19,47.46,47.11,47.025,47.66,1275976.0
2018-06-20,47.36,47.03,46.98,47.51,876865
2018-06-21,47.78,48.73,47.78,48.75,2496770.0
2018-06-24,48.44,47.77,47.45,48.49,1314674.0
2018-06-25,47.76,47.76,47.37,47.9,753691
2018-06-26,48.06,46.98,46.89,48.35,1074235.0
2018-06-27,47.06,48.69,46.7247,48.73,1620171.0
2018-06-28,48.69,48.57,48.33,49.36,2040353.0
2018-07-01,48.3,49.17,48.02,49.39,1198917.0
2018-07-02,49.34,48.22,48.16,49.485,502174
2018-07-04,48.71,49.08,48.5663,49.09,995788
2018-07-05,49.19,49.69,49.05,49.96,817302
2018-07-08,50.14,50.04,49.71,50.41,1182259.0
2018-07-09,50.18,49.96,49.69,50.33,851275
2018-07-10,49.39,49.77,49.33,50.36,974394
2018-07-11,49.88,51.18,49.73,51.23,1354406.0
2018-07-12,51.51,51.54,51.14,52.19,1570205.0
2018-07-15,51.62,51.24,50.92,51.729,998191
2018-07-16,50.76,51.44,50.72,51.61,1090645.0
2018-07-17,51.44,51.77,51.34,51.945,900194
2018-07-18,51.43,51.27,50.7,51.45,1269165.0
2018-07-19,51.31,51.27,50.95,51.47,983374
2018-07-22,51.14,51.01,50.865,51.39,879066
2018-07-23,52.53,51.81,51.52,52.84,1507718.0
2018-07-24,51.64,52.41,51.19,52.444,1168444.0
2018-07-25,52.56,51.6,51.58,52.64,1854736.0
2018-07-26,52.11,50.35,49.39,52.62,3392697.0
2018-07-29,50.23,48.85,48.75,50.53,1922905.0
2018-07-30,48.97,49.28,48.52,49.7,2027019.0
2018-07-31,49.04,49.12,49,49.67,1781538.0
2018-08-01,48.91,49.48,48.76,49.72,1014961.0
2018-08-02,49.67,49.02,48.82,49.81,1157836.0
2018-08-05,49.11,49.53,49,49.86,1059989.0
2018-08-06,49.8,49.7,49.495,50.32,941434
2018-08-07,49.55,49.49,49.24,49.74,1246212.0
2018-08-08,49.39,49.26,49.25,49.84,885406
2018-08-09,49.19,49.2,49.01,49.75,1212646.0
2018-08-12,49.14,48.93,48.855,49.75,1047975.0
2018-08-13,49.08,49.17,48.76,50.22,1551205.0
2018-08-14,48.93,48.49,47.87,49.3,1433643.0
2018-08-15,48.64,48.69,48.46,49.39,1191947.0
2018-08-16,48.7,48.15,47.92,48.74,834855
2018-08-19,48.15,48.21,47.58,48.33,1325728.0
2018-08-20,48.4,49.2,48.38,49.23,1205668.0
2018-08-21,49.2,49.56,49.04,49.69,832475
2018-08-22,49.54,49.2,49.135,49.64,1163179.0
2018-08-23,49.2,49.48,49.2,49.69,838390
2018-08-26,49.8,49.58,49.43,50.19,1001992.0
2018-08-27,49.67,49.69,49.21,50.01,599295
2018-08-28,49.91,49.65,49.18,49.91,920662
2018-08-29,49.64,49.39,49.19,49.64,807907
2018-08-30,49.35,49.68,49.165,49.78,1215102.0
2018-09-03,49.4,50.31,48.83,50.62,1029642.0
2018-09-04,50.13,49.41,49.22,50.19,794977
2018-09-05,49.38,49.47,49.16,49.87,1005383.0
2018-09-06,49.22,49.92,49.2005,50.37,1371013.0
2018-09-09,50.2,50.29,50,50.58,847507
2018-09-10,50.13,51.46,50.13,51.64,1358998.0
2018-09-11,51.36,52.83,51.09,53.03,1888387.0
2018-09-12,52.97,54.58,52.97,54.73,5284108.0
2018-09-13,54.83,54.71,54.655,55.26,1601209.0
2018-09-16,54.72,53.47,53.33,54.72,1207272.0
2018-09-17,53.58,53.67,53.19,53.74,896896
2018-09-18,53.65,52.73,52.47,53.939,1009300.0
2018-09-19,51.88,52.39,50.45,52.52,3119735.0
2018-09-20,52.41,53.41,52.41,53.58,1915881.0
2018-09-23,53,53.52,52.55,53.77,1437753.0
2018-09-24,53.64,53.67,53.57,54.12,1233760.0
2018-09-25,53.85,53.49,53.37,54.03,1452565.0
2018-09-26,53.46,53.9,53.2,54.13,772578
2018-09-27,53.85,54.47,53.83,54.73,1579294.0
2018-09-30,54.69,54.1,53.97,54.89,1590005.0
2018-10-01,53.98,54.58,53.83,54.64,1308984.0
2018-10-02,54.79,54.83,54.34,55.24,1029317.0
2018-10-03,54.55,52.68,50.85,54.58,3097904.0
2018-10-04,52.5,52.29,51.43,53.08,1585153.0
2018-10-07,51.86,51.8,51.02,52.48,874226
2018-10-08,51.58,50.62,50.46,51.79,886029
2018-10-09,50.35,49.58,49.49,50.4812,1638234.0
2018-10-10,49.59,49.5,49.15,50.83,1848665.0
2018-10-11,50.49,51.42,50.07,51.58,1308902.0
2018-10-14,51.29,51.94,50.78,52.46,836476
2018-10-15,52.42,53.85,52.04,54.03,1069565.0
2018-10-16,53.82,53.48,53.04,53.99,1060781.0
2018-10-17,53.37,52.6,52.2,53.5,1044912.0
2018-10-18,52.96,51.68,51.6,53.37,905392
2018-10-21,51.84,52.61,51.41,52.82,668336
2018-10-22,51.69,51.37,50.64,51.95,953438
2018-10-23,51.24,49.28,49.2,52.06,1557252.0
2018-10-24,49.79,50.7,49.74,51.35,1032419.0
2018-10-25,49.81,50.06,48.32,50.53,1373833.0
2018-10-28,50.74,49.09,48.43,51.14,1275602.0
2018-10-29,49.15,50.23,48.84,50.37,980113
2018-10-30,50.8,52.3,50.8,53.05,1586897.0
2018-10-31,52.61,53.19,52.01,53.36,1708422.0
2018-11-01,55.19,54.85,53.97,58.26,2077321.0
2018-11-04,55.11,55.13,53.91,55.28,1366374.0
2018-11-05,55.07,55.4,55.01,55.91,914622
2018-11-06,55.8,56.64,55.49,56.66,2104824.0
2018-11-07,56.28,57.43,56.23,57.53,1376979.0
2018-11-08,57.13,56.4,55.86,57.79,1608870.0
2018-11-11,56.19,55.44,54.25,56.5403,1229830.0
2018-11-12,55.36,55.86,55.28,56.28,1038559.0
2018-11-13,56.42,53.57,53.38,56.42,1564764.0
2018-11-14,53.3,54.5,52.87,54.9,1146734.0
2018-11-15,54.17,54.37,53.47,54.85,942822
2018-11-18,54.88,53.03,52.9,55,1639291.0
2018-11-19,51.7,51.38,50.68,52.3192,1581082.0
2018-11-20,52.1,52.69,51.82,53.38,975680
2018-11-22,52.15,53.36,52.11,53.58,276387
2018-11-25,53.84,54.63,53.72,55.22,1636464.0
2018-11-26,54.6,53.02,52.28,54.74,2732547.0
2018-11-27,52.98,55.13,52.12,55.36,3778384.0
2018-11-28,54.78,55.91,54.73,56.42,1773719.0
2018-11-29,56.06,55.68,54.79,56.34,1965990.0
2018-12-02,56.46,55.44,55.3,56.6,1414921.0
2018-12-03,55.53,54.37,54.04,56.19,1656262.0
2018-12-05,53.45,56.5,53.25,56.51,1546739.0
2018-12-06,56.07,55.11,54.35,56.62,1654816.0
2018-12-09,55,54.34,53.23,55.88,1181489.0
2018-12-10,55.13,54.16,54.1,55.465,1268372.0
2018-12-11,54.99,54.69,54.5,55.62,874720
2018-12-12,55.07,54.62,54.08,55.11,762126
2018-12-13,54.24,53.9,53.71,55.28,800120
2018-12-16,53.76,52.36,52.06,54.25,734069
2018-12-17,52.71,52.62,52.07,53.0114,891926
2018-12-18,52.84,51.14,50.78,53.65,2522046.0
2018-12-19,51,50.06,49.07,51.1,1880081.0
2018-12-20,50.04,48.76,48.51,50.5,1837717.0
2018-12-23,48.17,46.2,46.18,48.65,949506
2018-12-25,46.53,48.56,46.02,48.59,956510
2018-12-26,47.94,48.82,46.75,48.82,919656
2018-12-27,49.08,48.24,47.73,49.17,969236
2018-12-30,48.71,49.25,48.42,49.34,790193
2019-01-01,48.69,48.31,47.1,48.69,1649216.0
2019-01-02,48.01,47.69,47.47,48.7,948500
2019-01-03,48.5,50,48.19,50.44,1265204.0
2019-01-06,49.73,50.9,49.56,51.32,1025929.0
2019-01-07,51.5,52.11,51.19,52.42,1257303.0
2019-01-08,52.24,52.74,52.1,52.95,991024
2019-01-09,52.59,53.01,52.28,53.23,651486
2019-01-10,52.83,53.47,52.5,53.57,660993
2019-01-13,53.45,53.95,53.315,54.24,1504427.0
2019-01-14,53.63,54.14,52.955,54.23,1302812.0
2019-01-15,54,52.52,52.36,54.51,2254000.0
