date,open_price,close_price,lowest_price,highest_price,volume
2021-01-03,82.82,81.5,79.86,82.85,5465782.0
2021-01-04,82.18,82.39,81.83,83.09,5334268.0
2021-01-05,82.71,82.5,82.01,83.25,6433448.0
2021-01-06,82.69,82.98,82.32,83.36,4894236.0
2021-01-07,83.29,83.09,82.47,83.75,4097044.0
2021-01-10,83.1,82.31,82.035,83.69,4866750.0
2021-01-11,82,81.07,80.1308,82.35,5387106.0
2021-01-12,80.89,81.21,80.52,81.42,5355104.0
2021-01-13,81.23,81.18,80.545,81.57,5585566.0
2021-01-14,80.92,80.94,79.84,81.37,5055264.0
2021-01-18,81.44,81.9,80.81,82.29,7771368.0
2021-01-19,81.43,81.7,81.0114,82.03,4850797.0
2021-01-20,81.95,81.33,81.1,82.08,4229226.0
2021-01-21,81.12,80.68,80.52,81.39,3264669.0
2021-01-24,80.5,81.34,80.04,81.36,4244058.0
2021-01-25,81.5,81.99,81.15,82.2892,3778789.0
2021-01-26,81.1,79.8,79.44,82.05,5410092.0
2021-01-27,79.8,81.28,79.72,82.07,3399946.0
2021-01-28,81.09,79.65,79.54,81.45,5188155.0
2021-01-31,79,79.06,78.34,79.73,6332098.0
2021-02-01,79.66,79.27,79.21,80.19,4857180.0
2021-02-02,79.21,80.23,78.91,80.84,4368073.0
2021-02-03,80.03,83.63,80.02,83.69,5496881.0
2021-02-04,84.39,84.28,83.48,84.79,5174731.0
2021-02-07,84.4,85.99,84.15,86.04,4913530.0
2021-02-08,86.19,85.63,85.57,86.6983,4281497.0
2021-02-09,87,85.94,85.04,87.7263,5393161.0
2021-02-10,86.13,85.36,84.97,86.43,3636088.0
2021-02-11,85.4,86.12,85.06,86.18,3651744.0
2021-02-15,85.88,86,85.32,86.22,4421045.0
2021-02-16,85.7,86.61,85.62,87.07,5214046.0
2021-02-17,86.11,86.33,86,86.93,6944699.0
2021-02-18,86.33,85.45,85.365,86.665,4585479.0
2021-02-21,85.16,86.5,84.74,86.62,3596086.0
2021-02-22,87.64,86.44,86.16,87.75,4207847.0
2021-02-23,86.02,87.56,86,88.19,4617829.0
2021-02-24,87,86.52,86.39,87.925,3758929.0
2021-02-25,86.52,84.02,83.98,86.91,5749142.0
2021-02-28,84.73,84.95,84.47,86.16,3199829.0
2021-03-01,84.68,85.07,84.68,85.85,3642496.0
2021-03-02,85.22,85.15,84.72,86.05,3211468.0
2021-03-03,85.22,84.61,84.302,86.74,4144955.0
2021-03-04,85.15,86.16,84.6,86.48,4508158.0
2021-03-07,86.14,86.36,85.885,87.51,3912097.0
2021-03-08,86.69,87.07,86.23,87.72,7289376.0
2021-03-09,87.07,86.76,85.88,87.5,4735687.0
2021-03-10,86.49,86.63,86.06,87.51,3597240.0
2021-03-11,87.42,87.72,86.8548,87.79,3125254.0
2021-03-14,88,87.68,87.16,88.355,5714743.0
2021-03-15,87.08,88.2,87.06,88.24,6434660.0
2021-03-16,88.47,89.2,88.11,89.21,4997228.0
2021-03-17,89,90.56,88.845,91.25,10727533.0
2021-03-18,89.14,89.25,88.57,90.015,11030648.0
2021-03-21,88.81,89.98,88.18,90,5900672.0
2021-03-22,89.49,88.05,87.78,89.59,4548612.0
2021-03-23,87.9,88.55,87.73,89.36,4369822.0
2021-03-24,88.51,88.69,87.755,88.9064,3611848.0
2021-03-25,89.29,90.58,88.39,90.72,5117876.0
2021-03-28,90.34,90.99,89.77,91.1,4534442.0
2021-03-29,91,89.35,89.03,91.12,3702560.0
2021-03-30,88.89,88.74,88.56,89.2058,4998245.0
2021-03-31,88.42,88.06,87.33,88.9,4708609.0
2021-04-04,88.52,88.6,88.52,89.42,3647669.0
2021-04-05,88.41,88.63,87.67,89.04,3856004.0
2021-04-06,88.75,88.28,87.74,89.04,3444601.0
2021-04-07,88.52,89.44,88.3,89.66,5119741.0
2021-04-08,89.7,91.07,89.57,91.11,5381420.0
2021-04-11,91.15,91.39,90.83,91.75,4442251.0
2021-04-12,90.11,90.78,89.99,90.995,5748968.0
2021-04-13,90.73,91.07,90.4304,91.285,4127937.0
2021-04-14,91.69,91.83,91.4,92.54,4385829.0
2021-04-15,92.44,92.91,91.95,93.09,5360021.0
2021-04-18,93.35,91.67,91.46,93.43,7452213.0
2021-04-19,91.09,94,90.21,94.64,8374596.0
2021-04-20,94,94.19,93.97,95.6,5531418.0
2021-04-21,94,94.01,93.76,94.73,4944917.0
2021-04-22,93.47,94.61,93.38,94.71,3811488.0
2021-04-25,94.59,94.39,94.01,94.83,3262877.0
2021-04-26,94.47,94.51,94.15,94.8,4124021.0
2021-04-27,95,94.15,94.06,95.265,3126641.0
2021-04-28,94.28,95.09,93.81,95.18,4761876.0
2021-04-29,95.38,95,94.4,95.4,5112140.0
2021-05-02,95.51,95.85,95.15,96.537,3814646.0
2021-05-03,95.83,94.91,94.595,96.23,5407701.0
2021-05-04,94.81,95.44,94.6,95.54,4073214.0
2021-05-05,95.99,96.82,95.675,96.98,6255896.0
2021-05-06,96.63,97.41,96.38,97.615,2763538.0
2021-05-09,97.63,98.06,97.58,98.62,4531453.0
2021-05-10,98.34,97.29,96.57,98.46,3648674.0
2021-05-11,97.57,96.2,96.085,97.83,3881821.0
2021-05-12,95.93,97.55,95.83,97.98,4144897.0
2021-05-13,97.95,97.7,97.64,98.56,2436753.0
2021-05-16,97.51,97.55,97.51,98.265,2300096.0
2021-05-17,97.51,97.69,97.08,97.92,3276455.0
2021-05-18,97.36,96.31,95.84,97.36,5418566.0
2021-05-19,96.21,97.42,96.105,97.78,2624504.0
2021-05-20,97.65,97.42,96.7,97.99,3682514.0
2021-05-23,97.76,98.16,97.26,98.49,3097663.0
2021-05-24,98.04,97.52,96.7,98.3,3446793.0
2021-05-25,97.43,97.31,96.85,97.7,2840799.0
2021-05-26,97.47,96.68,96.31,97.79,3395886.0
2021-05-27,96.5,96.43,96.38,97.21,3809546.0
2021-05-31,97.01,96.78,96.535,97.59,2794711.0
2021-06-01,97.21,96.81,96.405,97.37,4433324.0
2021-06-02,96.27,97.37,96.08,97.51,3414418.0
2021-06-03,98,97.9,97.47,98.13,4540875.0
2021-06-06,98.09,98.56,97.8,98.68,4419232.0
2021-06-07,98.7,96.4,96.21,98.95,5499927.0
2021-06-08,96.41,96.75,96.24,97.3081,2593055.0
2021-06-09,96.81,97.55,96.81,97.6,3101576.0
2021-06-10,98.1,98.84,97.805,98.86,5586847.0
2021-06-13,99.2,100.5,98.78,100.62,9401524.0
2021-06-14,100.41,100.46,100.045,100.87,4317790.0
2021-06-15,100.87,99.92,99.51,100.95,7509729.0
