date,open_price,close_price,lowest_price,highest_price,volume
2018-05-28,110.64,110.94,110.01,111.76,3492823.0
2018-05-29,111.34,111.85,111.04,112.3599,3621826.0
2018-05-30,112,111.91,111.5,112.88,6582077.0
2018-05-31,112.55,114.8,112.32,114.8,4728383.0
2018-06-03,114.74,115.74,114.31,116.38,3905744.0
2018-06-04,116.69,117.66,115.83,117.93,5366553.0
2018-06-05,117.57,118.11,116.91,118.12,4015442.0
2018-06-06,118.35,117.24,116.14,118.48,6985116.0
2018-06-07,116.29,115.74,115.35,116.67,4948563.0
2018-06-10,115,115.28,114.48,115.83,3741296.0
2018-06-11,115.49,115.41,114.58,115.77,3269123.0
2018-06-12,115.5,114,113.79,115.61,4948571.0
2018-06-13,114.86,114.72,113.97,115.54,2941184.0
2018-06-14,114.87,115.89,113.87,116.02,7027646.0
2018-06-17,114.6,114.39,113.03,114.93,3170574.0
2018-06-18,112.75,113.66,112.2035,113.905,3486518.0
2018-06-19,114.41,114.24,113.57,115.11,3454806.0
2018-06-20,114.38,112.11,111.61,114.5,3480145.0
2018-06-21,112.75,112.38,111.41,113.22,3822597.0
2018-06-24,110.96,110.19,108.61,111,5331154.0
2018-06-25,110.63,111.51,110.13,112.01,4001893.0
2018-06-26,112.18,108.78,108.77,112.5,4364895.0
2018-06-27,108.23,109.1,107.45,109.595,4198780.0
2018-06-28,109.79,110.25,109.62,111.55,5343292.0
2018-07-01,108.94,110.24,108.38,110.33,3392524.0
2018-07-02,110.61,108.91,108.74,111.29,2201492.0
2018-07-04,109.84,111.51,109.41,111.65,4097689.0
2018-07-05,111.56,112.71,110.83,112.93,3419735.0
2018-07-08,113.4,112.09,110.835,113.5,3657979.0
2018-07-09,112.63,113.73,112.38,114.05,4512841.0
2018-07-10,113.29,111.76,111.52,113.79,5000193.0
2018-07-11,113.24,115.84,113.06,116.6895,5818733.0
2018-07-12,115.53,115.14,114.83,115.98,2715830.0
2018-07-15,114.91,114.56,114.42,115.49,3013880.0
2018-07-16,113.67,115.8,113.195,115.86,3915077.0
2018-07-17,115.5,115.68,114.14,116.95,5491924.0
2018-07-18,115.53,114.59,114.23,115.66,5013928.0
2018-07-19,114.97,115,114.24,115.73,4359113.0
2018-07-22,114.35,114.67,113.04,114.83,3052841.0
2018-07-23,115.06,113.8,113.35,116.46,4286663.0
2018-07-24,113.4,113.22,110.03,114.39,8222143.0
2018-07-25,113.95,113.3,112.94,114.46,5520420.0
2018-07-26,113.3,112.6,112.02,114.29,4343912.0
2018-07-29,111.99,110.91,110.7,112.3732,4422499.0
2018-07-30,111.99,111.32,110.92,112.59,5206264.0
2018-07-31,111.16,111,110.33,111.975,5302979.0
2018-08-01,110.15,112.21,110.0038,113,4516692.0
2018-08-02,112.33,112.84,111.93,112.98,3337888.0
2018-08-05,112.28,113.11,112.12,113.52,2970787.0
2018-08-06,113.77,115.76,113.34,115.81,5234502.0
2018-08-07,115.66,116.16,115.16,116.61,2890833.0
2018-08-08,116,114.34,114.03,116.09,3505245.0
2018-08-09,111.74,110.09,109.3499,112.32,7652937.0
2018-08-12,110.56,109.94,109.84,111.435,3989754.0
2018-08-13,110.67,110.34,109.8675,110.99,3109606.0
2018-08-14,109.24,109.6,108.35,110.08,3532643.0
2018-08-15,110.12,109.4,109.08,110.54,2916321.0
2018-08-16,108.87,109.64,107.01,109.98,3744803.0
2018-08-19,109.75,109.03,108.54,109.8,3238201.0
2018-08-20,109.5,111.51,109.34,111.75,4714728.0
2018-08-21,110.64,112.19,109.27,112.69,3999219.0
2018-08-22,112.18,112.4,112.1604,113.66,3038746.0
2018-08-23,112.96,113.64,112.34,113.79,3191880.0
2018-08-26,114.65,115.25,114.15,115.66,3686155.0
2018-08-27,115.74,115.02,114.66,116.07,3214435.0
2018-08-28,115.41,115.47,114.86,115.7795,5113913.0
2018-08-29,114.92,112.58,112.49,115.36,5688612.0
2018-08-30,112.63,112.4,111.86,113.43,6550289.0
2018-09-03,111.02,112.54,110.65,112.66,6160284.0
2018-09-04,112.38,111.13,110.845,112.95,5369277.0
2018-09-05,110.99,110.89,110.34,111.74,4813091.0
2018-09-06,110.45,108.46,108.25,111,5349260.0
2018-09-09,109.17,108.32,107.49,109.48,5138926.0
2018-09-10,108.06,106.05,105.91,108.15,8165577.0
2018-09-11,105,104.54,102.25,105,10182325.0
2018-09-12,105.15,105.72,104.6,106.92,6311079.0
2018-09-13,105.96,105.36,105.13,107.16,6484969.0
2018-09-16,105.29,103.7,103.35,105.67,5598298.0
2018-09-17,104.03,104.91,103.96,105.89,5654930.0
2018-09-18,105.12,107.37,105.1,107.51,6588931.0
2018-09-19,107.88,108.49,107.8,108.9819,5562474.0
2018-09-20,110.5,110.05,109.54,110.9,10924000.0
2018-09-23,109.01,109.8,108.36,110.32,3531215.0
2018-09-24,109.25,107.55,106.81,109.56,6523804.0
2018-09-25,107.48,106.22,105.98,108.22,6478602.0
2018-09-26,106.44,107.29,106.12,107.68,4704201.0
2018-09-27,107.22,107.29,106.06,107.46,4556399.0
2018-09-30,107.67,107.74,107.43,108.62,3666125.0
2018-10-01,107.25,108.46,107.25,109.85,4718447.0
2018-10-02,109.03,108.18,107.41,109.2,5353386.0
2018-10-03,107.32,105.87,104.86,107.53,5846706.0
2018-10-04,105.55,103.28,101.76,105.93,8778800.0
2018-10-07,102.22,101.93,101.17,103.11,7458472.0
2018-10-08,101.93,102.87,101.5501,103.15,6041658.0
2018-10-09,100.555,99.24,98.81,101.64,11243686.0
2018-10-10,100.5,99.53,99.01,102.01,10100380.0
2018-10-11,102.45,101.09,99.63,102.45,6889095.0
2018-10-14,99.7,99.43,98.6329,100.49,6637414.0
2018-10-15,100.32,102.15,99.69,102.36,5894105.0
2018-10-16,102.9,101.54,100.98,103.17,5061383.0
