date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,83.285,82.51,82.03,83.9781,2944540.0
2014-01-02,82.875,82.28,81.9052,83.325,2693762.0
2014-01-05,82.385,82.01,81.1675,82.665,3649440.0
2014-01-06,82.535,83.425,81.8525,83.455,3287146.0
2014-01-07,83.01,83.39,82.525,83.915,2858240.0
2014-01-08,83.705,83.5,82.74,84.445,3539736.0
2014-01-09,83.73,83.405,82.995,84.05,2950198.0
2014-01-12,83.705,81.73,81.485,84.135,2672830.0
2014-01-13,82.03,84.3,81.815,84.365,3222340.0
2014-01-14,84.73,85.18,84.7,86.64,4089212.0
2014-01-15,85.05,85.05,84.35,85.585,3342732.0
2014-01-16,85.48,84.48,84.46,85.94,3325954.0
2014-01-20,84.58,84.615,84.07,85.275,3195484.0
2014-01-21,85.0975,85.86,84.625,86.15,3588766.0
2014-01-22,84.89,84.585,84.115,85.87,4483606.0
2014-01-23,84.025,82.765,82.5601,84.52,5653678.0
2014-01-26,82.585,81.05,80.63,82.745,3810212.0
2014-01-27,81.69,83.61,81.145,83.75,3293074.0
2014-01-28,82.96,82.325,81.7702,83.08,3280648.0
2014-01-29,82.55,83.065,82.325,83.75,2263128.0
2014-01-30,82.335,82.62,81.59,83.8,2639966.0
2014-02-02,82.305,80.87,80.75,83.43,4529122.0
2014-02-03,81.335,84.29,81.25,84.495,6577434.0
2014-02-04,84.05,83.745,83.385,84.85,4293462.0
2014-02-05,83.845,86.625,83.845,86.895,5142492.0
2014-02-06,87.385,88.25,86.571,88.44,4184918.0
2014-02-09,88.38,87.1,86.535,88.38,3538546.0
2014-02-10,87.15,87.365,86.78,88.105,3299402.0
2014-02-11,87.875,87.555,87.245,88.45,2588512.0
2014-02-12,86.79,87.735,86.3,88.3765,3432864.0
2014-02-13,87.855,88.48,87.445,88.625,2315328.0
2014-02-17,89.06,89.96,89.005,90.13,3655094.0
2014-02-18,89.525,89.43,89.2,90.805,3835390.0
2014-02-19,89.52,90.015,89.075,91.03,4512304.0
2014-02-20,90.235,89,88.97,90.485,5411336.0
2014-02-23,89.215,90.2,88.515,90.81,7074480.0
2014-02-24,91.425,92,89.625,92.565,7466124.0
2014-02-25,91.805,93.22,91.44,94.2045,7214454.0
2014-02-26,93.205,93.735,92.245,93.8225,3779930.0
2014-02-27,93.86,94.71,93.555,95.54,5078304.0
2014-03-02,94.525,94.645,94.31,96,5608692.0
2014-03-03,95.235,95.78,95.165,96.46,4266722.0
2014-03-04,96.02,95.245,95.025,96.61,3901044.0
2014-03-05,95.36,95.53,94.6643,96.105,3450780.0
2014-03-06,95.76,94.96,94.1005,95.975,3917394.0
2014-03-09,94.96,94.525,93.56,94.96,2759470.0
2014-03-10,94.92,92.8,92.66,95.085,4103932.0
2014-03-11,91.8,92.565,90.83,93.215,4088030.0
2014-03-12,93.125,91.455,90.885,93.325,3764386.0
2014-03-13,91.485,92.985,91.45,93.105,3178352.0
2014-03-16,93.3,93.615,93,94,2722920.0
2014-03-17,93.7,94.58,93.59,95.26,3166338.0
2014-03-18,94.675,93.765,93.015,94.72,3165190.0
2014-03-19,93.81,95.165,93.035,95.28,4022466.0
2014-03-20,95.955,95.82,94.69,96.58,5332012.0
2014-03-23,96.125,94.8,94.23,96.485,3461974.0
2014-03-24,95.59,95.785,95.45,96.485,3819458.0
2014-03-25,96.275,96.06,95.95,97.658,4117524.0
2014-03-26,96.145,96.73,96.01,97.7,3535336.0
2014-03-27,97.235,98.58,97.055,99.41,4051448.0
2014-03-30,99.235,98.085,97.525,99.75,4144008.0
2014-03-31,99.38,98.98,98.26,100.36,3422986.0
2014-04-01,98.27,99.11,98.02,99.45,2858840.0
2014-04-02,99.33,100.65,99.26,101.5,5219586.0
2014-04-03,102.67,99.77,98.95,103.295,4030438.0
2014-04-06,99.72,97.93,97.45,99.98,3146675.0
2014-04-07,97.78,98.71,97.54,99.58,3293847.0
2014-04-08,98.94,98.95,97.99,99.17,3826842.0
2014-04-09,98.63,98.11,97.56,99.99,4706459.0
2014-04-10,97.67,98.63,97.57,99.44,4581890.0
