date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,15.42,15.44,15.28,15.45,31546401.0
2014-01-02,15.52,15.51,15.3,15.64,46130908.0
2014-01-05,15.72,15.58,15.52,15.76,42672861.0
2014-01-06,15.73,15.38,15.35,15.74,54797768.0
2014-01-07,15.6,15.54,15.51,15.71,48519221.0
2014-01-08,15.83,15.84,15.77,16.02,68016328.0
2014-01-09,16.01,16.07,15.94,16.11,45142320.0
2014-01-12,16.37,16.11,16.08,16.53,57736069.0
2014-01-13,16.31,16.4,16.17,16.43,44159084.0
2014-01-14,16.37,16.7,16.35,16.73,64171726.0
2014-01-15,16.67,16.73,16.56,16.76,38469315.0
2014-01-16,16.78,16.52,16.45,16.78,37284538.0
2014-01-20,16.64,16.41,16.36,16.68,35696144.0
2014-01-21,16.44,16.55,16.37,16.62,28873695.0
2014-01-22,16.49,16.43,16.31,16.53,37967305.0
2014-01-23,16.19,15.83,15.78,16.21,66257687.0
2014-01-26,15.9,15.71,15.52,15.91,51362630.0
2014-01-27,15.97,15.72,15.51,16.01,57845075.0
2014-01-28,15.48,15.26,15.2,15.53,52361014.0
2014-01-29,15.43,15.25,15.18,15.45,32712238.0
2014-01-30,15.09,14.96,14.9,15.1,64223975.0
2014-02-02,15,14.55,14.4,15,92459482.0
2014-02-03,14.57,14.87,14.45,14.93,55444561.0
2014-02-04,14.93,14.73,14.5,14.93,45572021.0
2014-02-05,14.57,14.85,14.53,14.85,47659408.0
2014-02-06,14.94,14.97,14.94,15.13,38651934.0
2014-02-09,15.05,14.84,14.78,15.06,36280666.0
2014-02-10,14.91,14.96,14.82,15.01,43604229.0
2014-02-11,15.09,15,14.99,15.12,30597896.0
2014-02-12,14.9,15.08,14.88,15.09,27131484.0
2014-02-13,15.12,15.24,15.03,15.36,33469363.0
2014-02-17,15.38,15.39,15.28,15.45,32323946.0
2014-02-18,15.31,15.25,15.21,15.49,26346021.0
2014-02-19,15.27,15.27,15.15,15.3,20654909.0
2014-02-20,15.27,15.16,15.11,15.31,30090055.0
2014-02-23,15.18,15.18,15.12,15.36,30629065.0
2014-02-24,15.21,15.15,15.11,15.29,26481008.0
2014-02-25,15.14,15.26,15.07,15.4555,34966374.0
2014-02-26,15.22,15.39,15.16,15.43,25822511.0
2014-02-27,15.33,15.39,15.23,15.41,35692776.0
2014-03-02,15.2,15.2,15.03,15.32,42914871.0
2014-03-03,15.33,15.37,15.265,15.39,33117096.0
2014-03-04,15.38,15.63,15.36,15.67,33001063.0
2014-03-05,15.72,15.67,15.66,15.83,26662885.0
2014-03-06,15.72,15.62,15.54,15.8,23727617.0
2014-03-09,15.5,15.51,15.45,15.64,30529558.0
2014-03-10,15.49,15.3,15.17,15.52,34681054.0
2014-03-11,15.24,15.4,15.15,15.42,31278651.0
2014-03-12,15.46,15.18,15.1,15.46,34344130.0
2014-03-13,15.18,15.08,15.06,15.25,26943258.0
2014-03-16,15.18,15.28,15.16,15.33,26930354.0
2014-03-17,15.29,15.49,15.28,15.57,28324433.0
2014-03-18,15.51,15.48,15.35,15.55,24374440.0
2014-03-19,15.45,15.55,15.37,15.55,21203080.0
2014-03-20,15.73,15.47,15.45,15.74,31766721.0
2014-03-23,15.48,15.39,15.3,15.54,27033977.0
2014-03-24,15.42,15.33,15.29,15.46,24656882.0
2014-03-25,15.38,15.25,15.23,15.44,24445547.0
2014-03-26,15.25,15.25,15.17,15.38,28246293.0
2014-03-27,15.32,15.45,15.31,15.58,36616551.0
2014-03-30,15.6,15.6,15.48,15.63,27055149.0
2014-03-31,15.67,16.32,15.67,16.455,84914067.0
2014-04-01,16.25,16.46,16.15,16.49,39927316.0
2014-04-02,16.46,16.39,16.34,16.49,26109419.0
2014-04-03,16.49,16.13,16.11,16.49,30248358.0
2014-04-06,16.08,15.94,15.86,16.17,28114780.0
2014-04-07,15.99,16.1,15.92,16.16,26837959.0
2014-04-08,16,15.84,15.75,16.085,36883365.0
2014-04-09,15.9,15.63,15.59,15.91,31255061.0
2014-04-10,15.8,15.63,15.6,15.93,39341039.0
2014-04-13,15.73,15.7,15.53,15.77,20415693.0
2014-04-14,15.77,15.84,15.66,15.88,28666675.0
2014-04-15,15.94,16.07,15.9,16.07,21861408.0
2014-04-16,15.99,16,15.99,16.0999,17659637.0
2014-04-20,16.01,15.98,15.9,16.08,24911872.0
2014-04-21,15.96,16.1,15.93,16.18,18918015.0
2014-04-22,16.08,16.23,16.08,16.32,19809233.0
2014-04-23,16.41,16.32,16.2,16.44,27458532.0
2014-04-24,15.81,15.78,15.71,15.9,53874392.0
2014-04-27,15.94,15.97,15.75,16.05,32871497.0
2014-04-28,16,16.12,15.91,16.15,27163934.0
2014-04-29,16.03,16.15,15.92,16.18,26525168.0
2014-04-30,16.15,15.91,15.85,16.2,30722299.0
2014-05-01,15.95,15.9,15.8,15.98,22183100.0
2014-05-04,15.81,15.74,15.71,15.87,25128099.0
2014-05-05,15.74,15.56,15.53,15.76,23289229.0
2014-05-06,15.63,15.46,15.43,15.63,32181820.0
2014-05-07,15.54,15.81,15.51,15.95,36795018.0
2014-05-08,15.73,15.77,15.73,15.9,25172670.0
2014-05-11,15.81,15.84,15.78,15.9,17164816.0
2014-05-12,15.85,15.86,15.75,15.9,16509303.0
2014-05-13,15.85,15.75,15.75,15.89,15089166.0
2014-05-14,15.74,15.69,15.55,15.75,27244338.0
2014-05-15,15.7,15.76,15.56,15.86,25639796.0
2014-05-18,15.72,15.92,15.72,15.94,17370119.0
2014-05-19,15.9,15.77,15.74,15.93,20348953.0
2014-05-20,15.82,15.91,15.8,15.98,17812007.0
2014-05-21,15.85,15.91,15.85,16.03,24849956.0
2014-05-22,15.91,16.02,15.9,16.03,17004703.0
2014-05-26,16.09,16.16,16.07,16.2,21034874.0
2014-05-27,16.17,16.31,16.15,16.36,23242218.0
2014-05-28,16.4,16.54,16.37,16.56,42832678.0
2014-05-29,16.4,16.44,16.37,16.54,23065623.0
2014-06-01,16.51,16.44,16.38,16.51,17975288.0
2014-06-02,16.46,16.55,16.45,16.72,32581844.0
2014-06-03,16.55,16.79,16.46,16.85,33700292.0
2014-06-04,16.82,16.68,16.6,16.89,34827966.0
2014-06-05,16.67,17.08,16.67,17.08,38583791.0
2014-06-08,17.01,17,17,17.12,23145605.0
2014-06-09,17.01,17.01,16.99,17.08,21980315.0
2014-06-10,16.97,16.9,16.88,17.01,21409651.0
2014-06-11,16.89,16.52,16.5,16.93,28544700.0
2014-06-12,16.53,16.56,16.5,16.65,20323906.0
2014-06-15,16.47,16.63,16.38,16.68,22220897.0
2014-06-16,16.58,16.79,16.53,16.8,17785531.0
2014-06-17,16.79,16.83,16.625,16.85,22926052.0
2014-06-18,16.87,16.78,16.76,16.87,16622805.0
2014-06-19,16.87,16.67,16.65,16.87,29986535.0
2014-06-22,16.7,16.88,16.68,16.92,23084602.0
2014-06-23,16.84,16.97,16.83,17.2,37736976.0
2014-06-24,16.95,17.2,16.92,17.26,37497350.0
2014-06-25,17.27,17.2,17.05,17.27,22193774.0
2014-06-26,17.18,17.28,17.145,17.29,31418732.0
2014-06-29,17.3,17.24,17.2,17.35,24100923.0
2014-06-30,17.34,17.21,17.07,17.4,36172043.0
2014-07-01,17.19,17.22,17.17,17.3,17003346.0
2014-07-02,17.23,17.32,17.22,17.34,13581223.0
2014-07-06,17.19,17.32,17.19,17.4,20271704.0
2014-07-07,17.22,17.11,17.05,17.2387,23333346.0
2014-07-08,17.16,17.43,17.14,17.45,27038263.0
2014-07-09,17.2,17.3,17.17,17.39,20166207.0
2014-07-10,17.31,17.47,17.29,17.49,20150553.0
2014-07-13,17.51,17.55,17.45,17.6,20455330.0
2014-07-14,17.55,17.54,17.45,17.65,22631315.0
2014-07-15,17.6601,17.8,17.62,17.87,36066237.0
2014-07-16,17.66,17.74,17.64,18.08,47287361.0
2014-07-17,17.8,17.72,17.65,17.84,24838975.0
2014-07-20,17.65,17.7,17.65,17.9,19200960.0
2014-07-21,17.77,17.82,17.67,17.86,24547435.0
2014-07-22,17.83,17.78,17.78,17.95,30932584.0
2014-07-23,18.01,17.84,17.68,18.12,53838156.0
2014-07-24,17.9,17.62,17.51,17.92,34500055.0
2014-07-27,17.62,17.64,17.47,17.71,29662639.0
2014-07-28,17.65,17.57,17.54,17.85,32973016.0
2014-07-29,17.52,17.46,17.32,17.6,30170345.0
2014-07-30,17.3,17.02,17.01,17.33,34170752.0
2014-07-31,17.05,16.81,16.72,17.18,33678403.0
2014-08-03,16.96,17.02,16.94,17.136,24872011.0
2014-08-04,16.94,16.87,16.78,17.14,24851394.0
2014-08-05,16.74,16.98,16.74,17.08,21153742.0
2014-08-06,17.04,16.82,16.77,17.1,19998960.0
2014-08-07,16.7999,17.09,16.75,17.12,29370945.0
2014-08-10,17.17,17.17,17.11,17.245,17825607.0
2014-08-11,17.15,17.21,17.14,17.41,25515346.0
2014-08-12,17.48,17.42,17.32,17.48,26178036.0
2014-08-13,17.4,17.43,17.23,17.48,19734701.0
2014-08-14,17.49,17.31,17.17,17.49,20960723.0
2014-08-17,17.38,17.43,17.38,17.52,17175038.0
2014-08-18,17.51,17.36,17.32,17.52,15900043.0
2014-08-19,17.35,17.41,17.25,17.43,14207364.0
2014-08-20,17.43,17.4,17.37,17.49,15052456.0
2014-08-21,17.32,17.17,17.15,17.39,20294871.0
2014-08-24,17.21,17.23,17.2,17.29,10770051.0
2014-08-25,17.26,17.19,17.19,17.35,12167397.0
2014-08-26,17.23,17.36,17.21,17.4,18223173.0
2014-08-27,17.27,17.42,17.21,17.45,16787699.0
2014-08-28,17.47,17.41,17.39,17.49,15375285.0
2014-09-01,17.48,17.6,17.48,17.62,18538539.0
2014-09-02,17.71,17.47,17.44,17.87,25716195.0
2014-09-03,17.46,17.27,17.19,17.6255,20734988.0
2014-09-04,17.3,17.14,16.94,17.3,29801937.0
2014-09-07,16.74,16.8,16.71,16.87,47565671.0
2014-09-08,16.79,16.63,16.59,16.82,26657043.0
2014-09-09,16.65,16.63,16.61,16.72,16644982.0
2014-09-10,16.59,16.66,16.51,16.667,14670089.0
2014-09-11,16.64,16.59,16.5,16.68,16512913.0
2014-09-14,16.56,16.47,16.42,16.62,23691821.0
2014-09-15,16.38,16.52,16.16,16.53,23719907.0
2014-09-16,16.59,16.53,16.52,16.7,25367475.0
2014-09-17,16.54,16.58,16.5,16.65,19453218.0
2014-09-18,16.68,16.65,16.58,16.77,35014118.0
2014-09-21,16.58,16.36,16.34,16.61,23800362.0
2014-09-22,16.31,16.17,16.1431,16.35,28285246.0
2014-09-23,16.24,16.41,16.24,16.45,22024926.0
2014-09-24,16.4,16.2,16.17,16.4,19055122.0
2014-09-25,16.23,16.33,16.18,16.33,20432376.0
2014-09-28,16.15,15.11,14.83,16.4,82940351.0
2014-09-29,15.01,14.79,14.49,15.15,114981951.0
2014-09-30,14.77,14.59,14.56,14.83,55896562.0
2014-10-01,14.655,14.56,14.44,14.67,37788516.0
2014-10-02,14.66,14.59,14.5,14.69,38178541.0
2014-10-05,14.66,14.52,14.5,14.6961,23974513.0
2014-10-06,14.47,14.1,14.08,14.49,42852034.0
2014-10-07,14.07,14.21,13.62,14.24,50321519.0
2014-10-08,14.21,13.84,13.8,14.22,31768733.0
2014-10-09,13.71,13.79,13.52,13.92,41080545.0
2014-10-12,13.78,13.54,13.52,13.88,37692969.0
2014-10-13,13.6,13.78,13.54,14.04,43398199.0
2014-10-14,13.59,13.62,13.26,13.77,46497155.0
2014-10-15,13.39,13.98,13.36,14.06,41382216.0
2014-10-16,14.2,14.02,13.97,14.25,31548476.0
2014-10-19,14.04,14.17,13.95,14.18,18948339.0
2014-10-20,14.26,14.26,14.1,14.275,29927100.0
2014-10-21,14.29,14.13,14.08,14.33,24285623.0
2014-10-22,14.3,14.4,14.28,14.49,30418499.0
2014-10-23,14.41,13.78,13.65,14.44,91944605.0
2014-10-26,13.87,13.82,13.68,13.89,61472293.0
2014-10-27,13.89,14.16,13.86,14.16,36821984.0
2014-10-28,14.14,13.91,13.76,14.18,31265038.0
2014-10-29,13.88,13.95,13.68,13.965,25506196.0
2014-10-30,14.13,14.09,14.04,14.15,37278419.0
2014-11-02,14.1,13.99,13.94,14.17,31591385.0
2014-11-03,13.94,13.95,13.86,14,19695924.0
2014-11-04,14.03,13.94,13.87,14.05,26044098.0
2014-11-05,13.92,14.19,13.92,14.2157,36431853.0
2014-11-06,14.22,14.17,14.13,14.27,30255742.0
2014-11-09,14.19,14,13.95,14.2,36414599.0
2014-11-10,14.05,14.37,14,14.43,35345663.0
2014-11-11,14.32,14.58,14.26,14.63,36221317.0
2014-11-12,14.71,14.93,14.7,15.17,50293372.0
2014-11-13,15.01,15.14,14.985,15.265,37094080.0
2014-11-16,15.35,15.54,15.2,15.6,46517301.0
2014-11-17,15.7,15.5,15.25,15.75,43650957.0
2014-11-18,15.48,15.44,15.26,15.48,22635446.0
2014-11-19,15.37,15.46,15.28,15.65,21163358.0
2014-11-20,15.64,15.43,15.37,15.65,25610247.0
2014-11-23,15.51,15.67,15.5,15.69,32798792.0
2014-11-24,15.74,15.68,15.61,15.84,32253650.0
2014-11-25,15.65,15.61,15.5436,15.675,20010708.0
2014-11-27,15.65,15.73,15.47,15.73,18620274.0
2014-11-30,15.78,15.77,15.7,15.89,30023032.0
2014-12-01,15.86,15.9,15.61,15.95,32313244.0
2014-12-02,15.88,16.01,15.88,16.13,37561482.0
2014-12-03,16,15.81,15.75,16.03,23369225.0
2014-12-04,15.9,15.7,15.63,15.94,29700517.0
2014-12-07,15.68,15.43,15.38,15.75,25519159.0
2014-12-08,15.05,15.43,14.75,15.43,23387740.0
2014-12-09,15.43,15.16,15.15,15.43,24615605.0
2014-12-10,15.17,15.28,15.03,15.49,30359460.0
2014-12-11,15.2,14.99,14.99,15.21,22685028.0
2014-12-14,14.86,14.28,14.27,14.915,47476804.0
2014-12-15,14.19,14.09,13.93,14.46,43879406.0
2014-12-16,14.17,14.45,14.11,14.52,29505190.0
2014-12-17,14.7,14.81,14.51,14.81,35542480.0
2014-12-18,14.79,15.03,14.74,15.05,40842958.0
2014-12-21,15.08,15.22,15,15.24,25367458.0
2014-12-22,15.21,15.33,15.21,15.45,20838721.0
2014-12-23,15.37,15.3,15.25,15.38,7128841.0
2014-12-25,15.3,15.45,15.26,15.485,11666622.0
2014-12-28,15.37,15.52,15.34,15.68,19137773.0
2014-12-29,15.48,15.5,15.445,15.6,14795194.0
2014-12-30,15.51,15.5,15.47,15.64,17930362.0
2015-01-01,15.59,15.36,15.183,15.65,24778914.0
2015-01-04,15.12,14.76,14.69,15.13,44079945.0
2015-01-05,14.88,14.62,14.38,14.9,32982202.0
2015-01-06,14.78,15.04,14.77,15.09,26068629.0
2015-01-07,15.4,15.42,15.23,15.48,33944261.0
2015-01-08,15.46,15.21,15.06,15.47,23420950.0
2015-01-11,15.31,15.22,15.11,15.32,22751284.0
2015-01-12,15.38,15.21,15.08,15.48,26280578.0
2015-01-13,15.07,15.11,14.83,15.16,36800774.0
2015-01-14,15.12,14.86,14.8,15.16,24981540.0
2015-01-15,14.81,15.02,14.75,15.04,32089975.0
2015-01-19,15.08,15.01,14.75,15.13,28554822.0
2015-01-20,14.98,14.97,14.88,15.11,23282164.0
2015-01-21,15.01,15.03,14.9,15.07,23670319.0
2015-01-22,15.02,14.91,14.89,15.08,21620663.0
2015-01-25,14.98,15.08,14.965,15.15,25239096.0
2015-01-26,14.96,14.85,14.72,14.99,34614134.0
2015-01-27,14.83,14.46,14.42,14.83,40579976.0
2015-01-28,14.62,14.85,14.3,14.96,40731736.0
2015-01-29,14.75,14.71,14.63,14.89,30373359.0
2015-02-01,14.75,15.27,14.735,15.3,40371950.0
2015-02-02,15.47,15.65,15.44,15.79,48335750.0
2015-02-03,15.68,15.87,15.65,16.02,41179676.0
2015-02-04,16.01,15.85,15.75,16.02,25713222.0
2015-02-05,15.84,15.86,15.77,16,28187972.0
2015-02-08,15.76,15.92,15.72,16.03,20287320.0
2015-02-09,16.05,16.09,15.91,16.14,27928655.0
2015-02-10,16.08,16.25,16.01,16.31,34285331.0
2015-02-11,16.34,16.36,16.3,16.45,23739306.0
2015-02-12,16.33,16.3,16.19,16.36,19954670.0
2015-02-16,16.21,16.11,16,16.3,44363023.0
2015-02-17,16.16,16.21,16.06,16.33,22813402.0
2015-02-18,16.19,16.43,16.17,16.48,24864043.0
2015-02-19,16.39,16.4,16.25,16.46,21524927.0
2015-02-22,16.33,16.38,16.29,16.45,19024463.0
2015-02-23,16.36,16.36,16.28,16.42,17672710.0
2015-02-24,16.34,16.51,16.34,16.62,23321871.0
2015-02-25,16.4,16.38,16.37,16.57,20801291.0
2015-02-26,16.38,16.34,16.22,16.4,20337162.0
2015-03-01,16.41,16.57,16.405,16.59,26344213.0
2015-03-02,16.07,16.17,16.06,16.3,37689702.0
2015-03-03,16.09,16.03,15.93,16.14,25659801.0
2015-03-04,16.09,16.11,16.09,16.23,16548357.0
2015-03-05,16.04,15.93,15.91,16.2,24420736.0
2015-03-08,15.98,16.03,15.93,16.1,17132383.0
2015-03-09,15.94,15.72,15.69,15.95,31687921.0
2015-03-10,15.77,15.75,15.7,15.85,20638698.0
2015-03-11,15.88,16.17,15.86,16.23,31172547.0
2015-03-12,16.16,16.2,16.06,16.25,27878233.0
2015-03-15,16.26,16.49,16.24,16.5,37732301.0
2015-03-16,16.39,16.39,16.36,16.49,20918595.0
2015-03-17,16.31,16.46,16.11,16.51,32948331.0
2015-03-18,16.42,16.34,16.28,16.46,18022225.0
2015-03-19,16.35,16.48,16.34,16.54,42098058.0
2015-03-22,16.47,16.57,16.46,16.74,30709465.0
2015-03-23,16.58,16.56,16.47,16.69,16662533.0
2015-03-24,16.53,16.18,16.18,16.55,21996493.0
2015-03-25,16.11,16.01,15.963,16.17,33328082.0
2015-03-26,16.06,15.98,15.85,16.1,53271087.0
2015-03-29,16.12,16.16,16.05,16.28,20537846.0
2015-03-30,16.12,16.14,16.08,16.29,21794101.0
2015-03-31,16.16,15.91,15.85,16.16,27366219.0
2015-04-01,15.93,16.03,15.85,16.04,15926303.0
2015-04-05,15.95,16,15.9,16.11,18522250.0
2015-04-06,15.95,15.9,15.78,15.97,26616762.0
2015-04-07,15.97,15.98,15.95,16.09,25147154.0
2015-04-08,16,15.95,15.88,16.07,23462085.0
2015-04-09,15.97,16.03,15.95,16.05,17660749.0
2015-04-12,16,15.87,15.87,16.08,22473076.0
2015-04-13,15.9,15.97,15.89,16.05,21746420.0
2015-04-14,16.01,16.07,16,16.08,25504134.0
2015-04-15,16.04,15.94,15.93,16.09,23496538.0
2015-04-16,15.88,15.76,15.71,15.88,32108315.0
2015-04-19,15.89,15.91,15.82,15.92,15250815.0
2015-04-20,15.92,15.82,15.76,15.98,18509578.0
2015-04-21,15.83,15.91,15.72,15.93,20312795.0
