date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,90.96,90.32,90.05,91.14,1744416.0
2014-01-02,90.49,90.52,90.3303,90.96,1472623.0
2014-01-05,90.95,90.43,90.4,91.26,1956007.0
2014-01-06,90.57,90.8,90.47,91.14,1574014.0
2014-01-07,90.07,90.44,89.92,90.8,2645436.0
2014-01-08,90.89,90.47,90.25,91.44,1812697.0
2014-01-09,90.67,90.16,89.76,90.81,2998896.0
2014-01-12,89.87,88.87,88.74,90.45,2477792.0
2014-01-13,89.27,89.39,88.12,89.49,2901749.0
2014-01-14,89.83,89.91,89.6,90.16,2471210.0
2014-01-15,89.86,90.05,89.74,90.26,1638923.0
2014-01-16,90.22,89.95,89.66,90.45,2600675.0
2014-01-20,90.61,90.59,89.85,91.03,2502923.0
2014-01-21,90.91,91.09,90.22,91.25,2736458.0
2014-01-22,90.36,89.8,89.2337,90.71,4181077.0
2014-01-23,89.55,88.47,88.43,90.91,5029790.0
2014-01-26,89.23,90.29,89.23,90.97,6587565.0
2014-01-27,90.26,90.45,90.14,91.19,2931317.0
2014-01-28,89.59,89.74,89.26,90.54,3966026.0
2014-01-29,90.69,91.7,90.45,91.871,3150851.0
2014-01-30,90.6,91.23,90.26,92.15,3706481.0
2014-02-02,91.23,88.75,88.66,91.96,4237383.0
2014-02-03,88.96,89.76,88.27,89.99,3935183.0
2014-02-04,89.2,89.59,88.51,89.95,4273394.0
2014-02-05,89.91,91.14,89.77,91.19,2185427.0
2014-02-06,91.69,93.16,91.47,93.29,4226402.0
2014-02-09,93.1,92.85,92.5007,93.7997,3281559.0
2014-02-10,93.1,94.16,92.94,94.55,2981926.0
2014-02-11,94.56,94.29,93.91,94.87,2478048.0
2014-02-12,93.48,94.53,93.26,94.6,2512910.0
2014-02-13,94.49,94.61,93.89,94.82,2539476.0
2014-02-17,94.41,94.35,93.8701,94.72,2340656.0
2014-02-18,93.98,92.95,92.83,95.07,4265633.0
2014-02-19,93.23,93.56,92.72,94.034,2297819.0
2014-02-20,93.84,93.93,93.71,94.44,3218848.0
2014-02-23,94.36,93.76,93.75,95.205,2959644.0
2014-02-24,93.63,93.87,93.23,94.29,3246577.0
2014-02-25,93.55,93.86,93.5,94.54,2620788.0
2014-02-26,93.62,94.37,93.44,94.5,2064129.0
2014-02-27,94.3,94.44,93.83,95.21,3211880.0
2014-03-02,92.71,93.59,92.57,94.07,2697299.0
2014-03-03,94.66,94.6,94.52,95.58,3903751.0
2014-03-04,95.38,94.66,94.56,95.85,4179268.0
2014-03-05,95.05,94.75,94.7,95.5,3742714.0
2014-03-06,95.48,95.44,95.22,95.905,4810484.0
2014-03-09,95.045,95.25,94.69,95.415,2526689.0
2014-03-10,95.13,94.11,93.925,95.27,2447118.0
2014-03-11,93.27,93.85,92.611,93.86,2649575.0
2014-03-12,94.34,92.85,92.63,94.49,3533330.0
2014-03-13,92.61,92.01,91.88,93.08,3284651.0
2014-03-16,92.51,93.4,92.47,93.82,3116496.0
2014-03-17,93.72,93.75,93.36,93.86,2320551.0
2014-03-18,93.79,92.89,92.21,94.02,2379354.0
2014-03-19,92.89,92.95,92.49,93.39,2389092.0
2014-03-20,94.05,92.99,92.96,94.78,4800151.0
2014-03-23,93.41,91.97,91.5114,93.66,3695907.0
2014-03-24,92.59,92.44,91.78,92.92,2367430.0
2014-03-25,92.86,90.84,90.83,93.07,3227461.0
2014-03-26,90.96,90.3,90.053,91.19,3325507.0
2014-03-27,90.5,90.89,90.4801,91.54,2474304.0
2014-03-30,91.66,92.76,91.42,92.92,3330624.0
2014-03-31,93.15,93.26,92.61,93.36,2240580.0
2014-04-01,93.43,93.88,93.14,94.19,2882528.0
2014-04-02,94.1,94.28,93.57,94.34,2321836.0
2014-04-03,94.55,93.33,93.29,95.16,3326968.0
2014-04-06,93.28,91.9,91.57,93.46,2827098.0
2014-04-07,93.44,91.97,91.17,93.44,2075306.0
2014-04-08,92.17,93.21,91.87,93.27,2745375.0
2014-04-09,93.2,91.34,91.34,93.4,2538274.0
2014-04-10,90.43,90.4,90.205,91.44,2750712.0
2014-04-13,91.18,90.92,90.02,91.31,1940439.0
2014-04-14,91.08,91.71,89.9631,91.77,3572325.0
2014-04-15,92.51,93.3,92.08,93.32,3463116.0
2014-04-16,93.61,93.1,92.22,93.94,3931619.0
2014-04-20,93.47,93.18,92.47,93.47,2648376.0
2014-04-21,93.24,93.34,92.985,93.99,2863840.0
2014-04-22,92.82,94.03,92.82,94.16,3454426.0
2014-04-23,94.54,93.63,93.41,94.57,2832857.0
2014-04-24,93.64,92.65,92.46,93.79,2970478.0
2014-04-27,92.86,92.46,91.4,93.3599,2807130.0
2014-04-28,92.66,92.47,91.98,92.91,2603075.0
2014-04-29,92.26,92.9,91.9,93.24,3425181.0
2014-04-30,92.83,92.24,91.98,93.17,2502589.0
2014-05-01,92.23,92.37,92.07,92.84,2829895.0
2014-05-04,92.17,92.61,91.82,92.89,3215283.0
2014-05-05,92.39,91.58,91.57,92.53,2572062.0
2014-05-06,91.93,92.92,91.53,92.97,2523894.0
2014-05-07,92.68,92.96,92.57,93.64,2219368.0
2014-05-08,92.76,92.8,92.3,92.99,1832069.0
2014-05-11,93.2,94.39,93.2,94.43,2383175.0
2014-05-12,94.5,94.22,94.05,94.77,2517206.0
2014-05-13,94.26,92.74,92.62,94.545,2636960.0
2014-05-14,92.45,91.16,91,92.62,4983211.0
2014-05-15,91.05,91.2,90.69,91.32,3543888.0
2014-05-18,91.01,91.89,90.94,91.94,2846586.0
2014-05-19,91.24,90.36,90.07,91.47,2762707.0
2014-05-20,90.8,91.26,90.71,91.41,2710337.0
2014-05-21,91.36,91.45,91,91.73,2380240.0
2014-05-22,91.26,91.97,91.26,92.09,1864408.0
2014-05-26,92.45,92.36,92.13,92.5,1800620.0
2014-05-27,92.28,92.51,92.265,92.89,2048239.0
2014-05-28,92.56,92.83,92.39,92.855,1576526.0
2014-05-29,92.59,93.15,92.5,93.21,2412186.0
2014-06-01,93.3,93.41,92.72,93.57,1656770.0
2014-06-02,93.2,93.26,92.63,93.41,2777764.0
2014-06-03,93.21,93.85,92.9,93.99,2294865.0
2014-06-04,94,94.95,93.8,95.33,3344308.0
2014-06-05,95.17,95.2,95.01,95.56,2776040.0
2014-06-08,95.42,95.81,95.08,96.49,2676685.0
2014-06-09,95.55,95.34,94.96,95.66,2635732.0
2014-06-10,94.91,94.91,94.501,95.1,2061289.0
2014-06-11,94.85,93.66,93.45,94.89,2476086.0
2014-06-12,93.7,93.77,93.43,94.23,1875268.0
2014-06-15,93.6,93.8,93.4,94.08,1884176.0
2014-06-16,93.6,94.3,93.49,94.48,1855185.0
2014-06-17,94.21,94.19,93.34,94.32,2974594.0
2014-06-18,94.43,94.44,93.91,94.49,2350576.0
2014-06-19,94.74,94.82,94.42,94.93,3101712.0
2014-06-22,94.6,94.27,93.95,94.84,2237532.0
2014-06-23,94.15,93.02,92.93,94.185,2854708.0
2014-06-24,92.69,93.21,92.59,93.49,2261020.0
2014-06-25,93.41,93.06,92.6,93.49,1713782.0
2014-06-26,92.58,93.26,92.51,93.34,2021193.0
2014-06-29,93.18,92.95,92.6,93.22,2354279.0
2014-06-30,93.29,94.59,93.08,94.817,4379671.0
2014-07-01,94.24,94.28,93.97,94.6,2261139.0
2014-07-02,94.78,94.88,94.68,95.19,1521440.0
2014-07-06,94.72,94.38,94.07,94.76,2914141.0
2014-07-07,94.31,94.21,93.86,94.518,2419014.0
2014-07-08,94.62,94.54,93.95,94.865,1883543.0
2014-07-09,93.49,94.28,93.27,94.54,2780963.0
2014-07-10,94.23,94.9,94.08,94.98,2537179.0
2014-07-13,95.37,95.74,95.09,95.86,3119061.0
2014-07-14,95.56,95.96,95.38,96.265,4026115.0
2014-07-15,96.45,96.39,96.19,96.76,3166072.0
2014-07-16,95.39,95.17,95.16,96.35,3777629.0
2014-07-17,96.3,96.82,95.65,97.28,4488406.0
2014-07-20,96.7,97.34,96.29,97.5,3747047.0
2014-07-21,97.93,97.19,96.7701,98.09,3841120.0
2014-07-22,97.75,96.6,96.59,97.8,3170175.0
2014-07-23,96.59,96.01,95.92,96.8,2193770.0
2014-07-24,95.82,95.76,95.645,96.23,2245989.0
2014-07-27,95.83,95.17,94.36,96,3307756.0
2014-07-28,95.1,93.78,93.69,95.37,3491649.0
2014-07-29,94.83,94.07,93.34,94.83,2636886.0
2014-07-30,93.31,91.83,91.83,93.44,4108867.0
2014-07-31,91.75,91.57,90.94,92.3,4633239.0
2014-08-03,92.86,91.36,90.75,92.86,3324937.0
2014-08-04,90.86,91.24,90.59,92.28,4288296.0
2014-08-05,90.36,90.56,90.18,91.01,3886964.0
2014-08-06,90.99,90.96,90.59,91.4,3588991.0
2014-08-07,91.11,92.71,90.88,92.79,2924003.0
2014-08-10,93,93.16,92.96,93.84,2815708.0
2014-08-11,92.82,92.91,92.55,93.54,2197304.0
2014-08-12,93.28,94.27,93.08,94.35,2236539.0
2014-08-13,94.47,94.39,94.27,94.77,1957599.0
2014-08-14,94.49,94.23,93.5,94.78,3457969.0
2014-08-17,94.62,95.26,94.59,95.4,2832166.0
2014-08-18,95.07,94.72,94.67,95.15,2393974.0
2014-08-19,95.04,95.77,94.59,95.975,2576915.0
2014-08-20,95.98,95.94,95.54,96.33,1518284.0
2014-08-21,95.74,95.56,95.252,95.888,1449545.0
2014-08-24,96.04,95.81,95.71,96.168,1185866.0
2014-08-25,95.89,95.51,95.46,96.0437,1522708.0
2014-08-26,95.75,95.57,95.28,95.89,1303962.0
2014-08-27,95.14,95.3,94.7,95.4,946046
2014-08-28,95.35,95.23,94.83,95.57,1170876.0
2014-09-01,95.18,95.5,95.06,95.79,1672914.0
2014-09-02,95.86,95.46,95.26,95.95,1339120.0
2014-09-03,95.48,94.99,94.82,96.02,2521508.0
2014-09-04,94.99,95.61,94.5,95.81,1923543.0
2014-09-07,95.54,95.24,94.9763,95.63,2024469.0
2014-09-08,95.04,94.46,94.33,95.28,2240955.0
2014-09-09,94.33,94.36,93.8,94.606,2497115.0
2014-09-10,94.13,94.74,93.94,94.79,1529981.0
2014-09-11,94.76,94.5,94.27,94.98,3024696.0
2014-09-14,94.31,94.65,93.77,94.83,2711810.0
2014-09-15,94.47,94.86,93.89,95.02,2237890.0
2014-09-16,95.16,95.54,94.9,95.98,3133791.0
2014-09-17,96,96.39,95.67,96.5,2636263.0
2014-09-18,96.72,96.5,96.24,96.93,5389105.0
