date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,77.6,76.8,76.13,77.716,855339
2014-01-02,76.56,76.48,76.09,76.87,743727
2014-01-05,77,75.46,75.35,77.3874,675571
2014-01-06,75.9,75.93,75.64,76.61,733495
2014-01-07,76.53,76.35,75.38,76.64,780054
2014-01-08,76.67,76.7,76.08,76.94,589324
2014-01-09,76.97,76.58,76.28,77.2,582216
2014-01-12,76.62,73.4,73.09,76.814,1452381.0
2014-01-13,73.47,74.35,72.61,74.6,982123
2014-01-14,74.4,75.18,74.186,75.53,762307
2014-01-15,75.07,74.31,73.71,75.475,855460
2014-01-16,75.6,74.17,73.8401,75.73,2061000.0
2014-01-20,74.39,72.91,72.79,74.91,2668581.0
2014-01-21,73.1,73.16,71.3801,73.53,2519527.0
2014-01-22,72.35,71.87,71.2,73.29,30011483.0
2014-01-23,71.27,70.18,70.11,71.58,2583703.0
2014-01-26,70.62,70.46,70.12,70.92,1641714.0
2014-01-27,70.41,70.68,70.25,70.95,1306229.0
2014-01-28,70.75,68.995,68.725,70.865,2395564.0
2014-01-29,65.12,67.46,64.63,68.16,5140125.0
2014-01-30,65.93,66.51,65.87,66.89,2098723.0
2014-02-02,66.26,63.42,63.03,66.33,2283211.0
2014-02-03,63.77,63.55,63.32,64.15,1608993.0
2014-02-04,62.91,63.74,62.06,63.87,1627305.0
2014-02-05,63.93,65.1,63.77,65.2,1627108.0
2014-02-06,65.22,66.52,65.02,66.65,1649097.0
2014-02-09,66.6,66.02,65.77,66.75,948251
2014-02-10,65.96,65.67,65.58,66.445,1272793.0
2014-02-11,65.5,66,65.5,66.15,998072
2014-02-12,65.61,66.18,65.32,66.76,1148413.0
2014-02-13,64.13,65.7,64.07,66.22,1266434.0
2014-02-17,65.67,66.53,65.42,66.63,1230832.0
2014-02-18,66.27,65.62,65.53,66.73,1233436.0
2014-02-19,65.78,65.77,65.02,66,1313405.0
2014-02-20,65.91,66.4,65.23,66.74,1190653.0
