date,open_price,close_price,lowest_price,highest_price,volume
2018-07-09,20.5,22.19,20.46,22.39,23632520.0
2018-07-10,21.85,24,21.85,24.4,27798387.0
2018-07-11,24.05,25,24.04,25.25,12311236.0
2018-07-12,24.86,24.25,23.83,24.95,9070591.0
2018-07-15,24.83,24.8,24.56,25,9641492.0
2018-07-16,24.9,24.96,24.77,25.08,4253218.0
2018-07-17,25.03,24.79,24.53,25.03,6207141.0
2018-07-18,24.77,24.43,24.23,24.79,4559535.0
2018-07-19,24.75,24.57,24.34,24.81,6107020.0
2018-07-22,24.6,24.28,24.26,24.86,3204691.0
2018-07-23,24.33,24.31,24.17,24.44,3491084.0
2018-07-24,24.64,24.33,24.33,24.73,4131900.0
2018-07-25,24.46,24.52,24.357,24.72,2596067.0
2018-07-26,24.45,24.16,24.06,24.479,2102092.0
2018-07-29,24.2,23.99,23.97,24.3,2445563.0
2018-07-30,23.96,24.01,23.81,24.07,2242968.0
2018-07-31,24.07,24.2,23.88,24.33,2318094.0
2018-08-01,24.28,23.89,23.8618,24.37,1716810.0
2018-08-02,24.03,24.04,23.81,24.16,2762398.0
2018-08-05,24.16,23.93,23.84,24.16,1560479.0
2018-08-06,23.9,23.86,23.71,23.9,1825155.0
2018-08-07,24.01,23.67,23.65,24.39,2593332.0
2018-08-08,23.77,23.87,23.6,23.97,2464274.0
2018-08-09,23.85,23.7,23.6,23.85,1229500.0
2018-08-12,23.87,23.76,23.71,23.99,1912153.0
2018-08-13,23.4,23.61,23.36,23.74,2982609.0
2018-08-14,23.5,23.35,23.3,23.59,2984352.0
2018-08-15,23.45,23.59,23.4,23.67,2637862.0
2018-08-16,23.48,23.63,23.341,23.64,2071151.0
2018-08-19,23.46,23.35,23.32,23.64,4296594.0
2018-08-20,23.43,23,22.9,23.47,2026805.0
2018-08-21,23.02,23.12,22.91,23.41,2440398.0
2018-08-22,23.24,23.2,23.1599,23.46,1965142.0
2018-08-23,23.44,23.39,23.27,23.44,1827795.0
2018-08-26,23.31,23.1,23.08,23.39,1608526.0
2018-08-27,23.13,22.94,22.76,23.1763,1886392.0
2018-08-28,22.91,22.8,22.75,23.03,2046381.0
2018-08-29,23,23,22.92,23.24,2272756.0
2018-08-30,23.04,22.8,22.74,23.096,1944668.0
2018-09-03,22.79,22.65,22.64,23.11,3779910.0
2018-09-04,22.61,22.95,22.51,23.17,5158273.0
2018-09-05,23.06,22.99,22.8,23.09,2657288.0
2018-09-06,22.86,22.88,22.77,22.99,3191387.0
2018-09-09,22.9,23.1,22.89,23.23,2848876.0
2018-09-10,23.1,23.18,23.01,23.2,2152001.0
2018-09-11,23.26,24.01,23.23,24.01,3682972.0
2018-09-12,23.95,24.13,23.77,24.14,1927037.0
2018-09-13,24.13,24.47,24.08,24.47,2309601.0
2018-09-16,24.38,23.54,23.5,24.4,2580183.0
2018-09-17,23.53,23.55,23.48,23.71,2272209.0
2018-09-18,23.66,23.56,23.45,23.67,1775341.0
2018-09-19,23.51,23.65,23.42,23.89,2287423.0
2018-09-20,23.66,23.8,23.57,23.86,3111465.0
2018-09-23,23.74,23.54,23.42,23.74,1799631.0
2018-09-24,23.55,23.53,23.27,23.6,1956427.0
2018-09-25,23.59,23.43,23.355,23.62,1946374.0
2018-09-26,23.35,23.11,23.08,23.38,1198311.0
2018-09-27,23.13,23.17,23.06,23.24,1781166.0
2018-09-30,23.29,23.1,22.85,23.35,1944692.0
2018-10-01,22.98,22.83,22.77,23.0485,1512171.0
2018-10-02,22.8,22.83,22.72,22.91,2151507.0
2018-10-03,22.68,22.39,22.325,22.7,1363502.0
2018-10-04,22.35,22.26,22.19,22.44,1706274.0
2018-10-07,22.33,22.56,22.27,22.59,1331644.0
2018-10-08,22.41,22.96,22.39,22.98,2425493.0
2018-10-09,23.12,23.52,22.91,23.575,5209918.0
2018-10-10,23.49,22.79,22.61,23.49,3776011.0
2018-10-11,22.87,23.04,22.51,23.145,3044955.0
2018-10-14,23.09,23.31,22.98,23.41,1533716.0
2018-10-15,23.42,23.89,23.28,24.08,1822810.0
2018-10-16,23.87,23.93,23.77,24.06,1674961.0
2018-10-17,23.9,23.8,23.46,24.04,2011884.0
2018-10-18,23.76,24.08,23.76,24.17,4712475.0
2018-10-21,24.14,23.92,23.75,24.16,3581281.0
2018-10-22,23.7,23.74,22.95,23.99,3167856.0
2018-10-23,23.61,23.93,23.45,23.93,3881084.0
2018-10-24,23.93,24.05,23.64,24.1,2300446.0
2018-10-25,23.97,24.1,23.58,24.1,2262240.0
2018-10-28,24.14,24.27,23.98,24.7,2594921.0
2018-10-29,24.42,24.59,24.29,24.69,1904398.0
2018-10-30,25.58,26,25.08,26.6,11045042.0
2018-10-31,26.15,26.52,25.86,26.71,5373320.0
2018-11-01,26.48,26.65,26.35,26.745,6048690.0
2018-11-04,26.74,26.65,26.47,26.9515,4898347.0
2018-11-05,26.63,27.21,26.57,27.245,3036426.0
2018-11-06,27.34,27.63,27.24,27.78,2792451.0
2018-11-07,27.92,28.47,27.355,28.81,4561815.0
2018-11-08,28.33,28.52,28.11,28.59,1954385.0
2018-11-11,28.42,28.51,28.28,28.71,3221132.0
2018-11-12,28.56,27.93,27.82,28.67,2648815.0
2018-11-13,28.32,27.76,27.37,28.42,8637886.0
2018-11-14,27.64,27.54,27.23,27.64,3051374.0
2018-11-15,27.41,27.71,27.26,27.79,1766329.0
2018-11-18,27.66,27.44,27.32,27.72,2994015.0
2018-11-19,27.28,26.31,26.295,27.29,2489586.0
2018-11-20,26.27,26.16,25.65,26.3,5582487.0
2018-11-22,26.42,26.54,26.19,26.63,893761
2018-11-25,26.54,26.68,26.38,26.8,1904529.0
2018-11-26,26.575,26.1,25.84,26.59,4213109.0
2018-11-27,26.23,26.65,26.2,26.66,3361010.0
2018-11-28,26.89,26.98,26.66,27,3333980.0
2018-11-29,26.96,27,26.88,27.08,1205254.0
2018-12-02,26.75,26.35,25.84,26.85,4443563.0
2018-12-03,26.5,26.45,26.16,27.06,6964645.0
2018-12-05,26.25,25.98,25.31,26.25,4286496.0
2018-12-06,26.25,26.3,25.965,26.5,4341253.0
2018-12-09,26.24,25.95,25.57,26.24,3079251.0
2018-12-10,26,26.29,25.96,26.36,3124999.0
2018-12-11,26.5,26.12,26.08,26.5,3105385.0
2018-12-12,26.22,26.15,25.96,26.34,2643252.0
2018-12-13,25.96,25.92,25.83,26.1,2510625.0
2018-12-16,25.79,25.24,25.11,25.9,5129432.0
2018-12-17,25.23,24.64,24.52,25.3,5476001.0
2018-12-18,24.69,25.1,24.69,25.45,5016203.0
2018-12-19,25.13,25.35,24.88,25.51,5320315.0
2018-12-20,25.33,25.12,25.055,25.97,5423974.0
2018-12-23,25.1,24.65,24.54,25.19,3477429.0
2018-12-25,24.67,25.61,24.67,25.61,2549814.0
2018-12-26,25.4,25.47,24.78,25.47,2983020.0
2018-12-27,25.59,25.41,25.14,25.68,2672235.0
2018-12-30,25.46,25.64,25.21,25.762,1928016.0
2019-01-01,25.28,25.28,24.86,25.455,3318641.0
2019-01-02,25.08,25.04,24.92,25.47,2335455.0
2019-01-03,25.14,25.56,25.02,25.61,3359468.0
2019-01-06,25.59,25.88,25.51,26,2073564.0
2019-01-07,26.13,25.89,25.73,26.23,3664190.0
2019-01-08,26.11,26.47,26.11,26.64,4835931.0
2019-01-09,26.49,26.28,26.22,26.57,2049182.0
2019-01-10,26.42,27,26.37,27,3712075.0
2019-01-13,26.99,26.35,26.135,26.99,2834608.0
2019-01-14,26.39,26.57,26.03,26.61,2261339.0
2019-01-15,26.57,26.27,25.98,26.57,2893852.0
2019-01-16,26.28,26.28,26.115,26.54,2073250.0
2019-01-17,26.4,26.67,26.4,26.69,2265091.0
2019-01-21,26.49,26.55,26.34,26.6,2253562.0
2019-01-22,26.57,26.51,26.42,26.66,1877560.0
2019-01-23,26.4,26.37,26.2996,26.54,1951430.0
2019-01-24,26.36,26.3,26.21,26.51,1349110.0
2019-01-27,26.27,26.3,25.94,26.3,1633694.0
2019-01-28,26.27,26.47,26.22,26.51,1666240.0
2019-01-29,26.44,26.58,26.335,26.72,1952595.0
2019-01-30,26.71,27.22,26.58,27.33,3902912.0
2019-01-31,27.32,27.21,27.04,27.45,1802254.0
2019-02-03,27.27,27.17,27.1,27.37,1713461.0
2019-02-04,27.17,27.11,27.01,27.25,1217176.0
2019-02-05,27.14,27.12,27.01,27.23,1174207.0
2019-02-06,27.01,27.17,27.01,27.21,1374948.0
2019-02-07,27.13,27.78,27.03,27.785,1827444.0
2019-02-10,27.75,28.18,27.7,28.18,2492827.0
2019-02-11,28.13,28.3,28.11,28.43,2244662.0
2019-02-12,28.5,28.42,28.24,28.5,1608763.0
2019-02-13,28.21,27.93,27.82,28.46,3400860.0
2019-02-14,28.05,28.24,27.97,28.255,1298318.0
2019-02-18,28.26,28.17,28.1,28.37,1719224.0
2019-02-19,28.12,28.17,28.12,28.3,1431621.0
2019-02-20,28.22,28.17,27.99,28.33,1375135.0
2019-02-21,28.01,27.48,27.0542,28.01,3243836.0
2019-02-24,27.49,27,26.74,27.51,2339294.0
2019-02-25,26.93,26.55,26.51,27.0007,2745889.0
2019-02-26,26.5,26.94,26.47,26.95,3914279.0
2019-02-27,25.65,25.15,25.05,26,7973993.0
2019-02-28,25.5,26,25.13,26.03,6618078.0
2019-03-03,25.87,26.05,25.78,26.11,3979116.0
2019-03-04,26,26,25.93,26.14,2575317.0
2019-03-05,26.41,26.51,26.12,26.66,3638257.0
2019-03-06,26.5,26.54,26.26,26.98,3173918.0
2019-03-07,26.4,26.4,26.24,26.57,2509450.0
2019-03-10,26.48,26.88,26.41,26.95,2446873.0
2019-03-11,27.14,27.23,26.98,27.24,2031866.0
2019-03-12,27.23,27.34,27.09,27.42,2733577.0
2019-03-13,27.36,27.37,27.17,27.5,2604740.0
2019-03-14,27.45,27.68,27.38,27.75,3325396.0
2019-03-17,27.85,27.83,27.55,27.935,3089754.0
2019-03-18,27.86,27.5,27.37,28.09,3206260.0
2019-03-19,27.44,27.76,27.2475,27.9199,2444966.0
2019-03-20,27.71,28.04,27.67,28.06,1378164.0
2019-03-21,27.98,27.71,27.7,28.15,1868860.0
2019-03-24,27.6,27.81,27.6,27.96,1916431.0
2019-03-25,27.93,28.15,27.86,28.25,1562977.0
2019-03-26,28.09,27.92,27.745,28.24,1591082.0
2019-03-27,27.94,27.97,27.855,28.13,1329736.0
2019-03-28,28,27.97,27.765,28.17,1700655.0
2019-03-31,27.98,27.7,27.49,28,2080415.0
2019-04-01,27.73,27.37,27.33,27.77,2041162.0
2019-04-02,27.26,27.6,26.96,27.75,2861589.0
2019-04-03,27.51,27.26,27.24,27.54,1695624.0
2019-04-04,27.38,27.31,27.23,27.65,1856958.0
2019-04-07,27.26,27.61,27.23,27.67,2079735.0
2019-04-08,27.52,27.68,27.47,27.795,2267525.0
2019-04-09,27.68,28.06,27.68,28.18,2649569.0
2019-04-10,27.1,26.87,26.59,27.3,6502852.0
2019-04-11,26.79,26.51,26.42,26.86,2590846.0
2019-04-14,26.5,26.55,26.41,26.7,1838239.0
2019-04-15,26.59,26.42,26.28,26.68,1216300.0
2019-04-16,26.43,26.24,26.19,26.57,1049694.0
2019-04-17,26.37,26.61,26.09,26.62,1450591.0
2019-04-21,26.54,26.85,26.48,26.875,1714395.0
2019-04-22,26.95,27.35,26.905,27.37,4397593.0
2019-04-23,27.39,27.5,27.29,27.96,5140504.0
2019-04-24,27.35,27.66,27.07,27.71,2083435.0
2019-04-25,27.7,28.53,27.65,28.59,2184540.0
2019-04-28,28.5,28.61,28.38,28.76,2206956.0
2019-04-29,28.6,29.07,28.52,29.13,2523465.0
2019-04-30,29.05,28.47,28.45,29.05,1621283.0
2019-05-01,28.35,28.95,28.35,28.965,1888207.0
2019-05-02,29.06,29.05,28.91,29.16,2209219.0
2019-05-05,28.81,29.44,28.77,29.49,1520999.0
2019-05-06,29.24,29.06,28.9,29.33,2820538.0
2019-05-07,29.165,29.11,28.95,29.395,3182219.0
2019-05-08,29.51,28.28,27.87,29.735,2965657.0
2019-05-09,28.05,29.41,28.01,29.43,2598229.0
2019-05-12,29.19,29.29,29.04,29.42,2827565.0
2019-05-13,29.31,29.59,29.21,29.74,3235804.0
2019-05-14,29.5,29.54,29.415,29.76,1500701.0
2019-05-15,29.35,28.6,28.4,29.4556,3464514.0
2019-05-16,28.65,29.26,28.55,29.48,2071115.0
2019-05-19,29.37,29.15,28.97,29.37,1656864.0
2019-05-20,29.26,29.07,29.05,29.33,1828810.0
2019-05-21,29,29.12,28.92,29.19,1980107.0
2019-05-22,29.1,28.95,28.81,29.21,1883394.0
2019-05-23,29,29.21,28.905,29.41,2210007.0
2019-05-27,29.22,28.84,28.78,29.33,2253725.0
2019-05-28,28.64,28.43,28.09,28.67,2221070.0
2019-05-29,28.47,28.37,28.27,28.57,1437855.0
2019-05-30,28.1,28.19,27.93,28.355,1376545.0
2019-06-02,28.28,28.19,27.97,28.31,1682610.0
2019-06-03,28.31,28.07,27.915,28.4275,2152904.0
2019-06-04,28.2,28.36,28.14,28.56,1683075.0
2019-06-05,28.38,28.36,28.22,28.54,1349040.0
2019-06-06,28.49,28.34,28.31,28.7,1711927.0
2019-06-09,28.48,28.62,28.3,28.65,2903461.0
2019-06-10,28.65,28.33,27.99,28.74,2093746.0
2019-06-11,28.36,28.48,28.36,28.69,2015349.0
2019-06-12,28.52,28.62,28.37,28.75,2142862.0
2019-06-13,28.61,28.63,28.48,28.82,1759588.0
2019-06-16,29.39,30.04,29.24,30.05,3330739.0
2019-06-17,30.12,30.07,29.625,30.18,3011135.0
2019-06-18,29.94,30.43,29.81,30.53,2073368.0
2019-06-19,30.62,30.91,30.565,30.99,5354758.0
2019-06-20,30.89,30.65,30.11,31.06,4805559.0
2019-06-23,30.67,29.97,29.545,30.67,5406725.0
2019-06-24,29.97,29.57,29.42,30.07,4426781.0
2019-06-25,29.64,28.76,28.57,29.76,3861564.0
2019-06-26,28.82,28.68,28.32,28.82,3907738.0
2019-06-27,28.75,28.9,28.58,29.06,7596110.0
2019-06-30,29.12,29.48,28.98,29.56,4037564.0
2019-07-01,29.55,29.76,29.33,29.83,2213692.0
2019-07-02,29.73,30.2,29.73,30.27,1756245.0
2019-07-04,30.08,30.08,29.87,30.195,2630675.0
2019-07-07,29.98,29.92,29.83,30,1582688.0
2019-07-08,29.82,29.39,29.32,29.92,1600488.0
2019-07-09,29.48,29.16,29.15,29.55,1978093.0
2019-07-10,29.21,29.04,28.915,29.27,1323880.0
2019-07-11,29.02,28.73,28.67,29.05,1521052.0
2019-07-14,28.82,28.5,28.46,28.94,2635769.0
2019-07-15,28.55,28.29,28.17,28.64,2930661.0
2019-07-16,28.21,27.98,27.915,28.44,2425884.0
2019-07-17,28.02,27.97,27.395,28.09,4194854.0
2019-07-18,27.89,27.63,27.61,28.07,2062015.0
2019-07-21,27.65,27.61,27.57,27.8731,2054095.0
2019-07-22,28.03,27.72,27.515,28.21,2657889.0
2019-07-23,27.62,27.76,27.54,27.925,3120074.0
2019-07-24,27.65,28.01,27.65,28.17,2650889.0
2019-07-25,28.14,28.1,28.03,28.3,1498709.0
2019-07-28,28.08,28,27.905,28.16,1295886.0
2019-07-29,27.87,28.2,27.86,28.29,2655812.0
2019-07-30,28.2,28.14,27.86,28.41,2331772.0
2019-07-31,28.19,28.15,28.02,28.55,1753611.0
2019-08-01,28.16,28.1,27.96,28.27,2398599.0
2019-08-04,27.91,27.95,27.63,28.16,5015131.0
2019-08-05,28.05,27.85,27.65,28.14,2589639.0
2019-08-06,27.7,27.61,27.36,27.78,5573828.0
2019-08-07,28.25,29.03,27.61,29.23,3312932.0
2019-08-08,28.98,29.09,28.86,29.59,2352200.0
2019-08-11,29.06,28.6,28.49,29.12,2287345.0
2019-08-12,28.55,28.47,28.34,28.91,3343288.0
2019-08-13,28.59,27.42,27.41,28.61,2312739.0
2019-08-14,27.56,27.84,27.51,28.01,2614701.0
2019-08-15,27.99,28.01,27.68,28.05,1641578.0
