date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,90.9,89.45,89.38,91.08,5120338.0
2014-01-02,89.15,89.74,88.63,90.08,3888792.0
2014-01-05,89.7,89.7,89.38,90.25,2845036.0
2014-01-06,90.17,89.36,89.01,90.7,4040011.0
2014-01-07,88.66,89.41,88.66,89.64,3880402.0
2014-01-08,89.89,88.88,88.07,89.93,3469315.0
2014-01-09,89.26,88.55,88.095,89.56,2901812.0
2014-01-12,88.52,86.99,86.88,89,5641490.0
2014-01-13,87.08,87.12,86.07,87.45,4778434.0
2014-01-14,87.46,88.25,87.08,88.53,4495630.0
2014-01-15,88,87.78,87.2601,88.24,3336669.0
2014-01-16,91.83,90.97,90.55,93.62,15012685.0
2014-01-20,91.97,90.59,89.64,92.71,7954770.0
2014-01-21,90.64,91.13,90.62,91.42,3849270.0
2014-01-22,90.49,89.17,88.68,90.49,5261370.0
2014-01-23,88.56,86.95,86.66,89.369,6360821.0
2014-01-26,87.15,85.72,85.71,87.77,5653738.0
2014-01-27,85.85,86.64,85.6,87.18,4108715.0
2014-01-28,86.29,85.55,85.4332,86.9,3358404.0
2014-01-29,86.45,86.62,86.07,86.98,4260312.0
2014-01-30,85.28,85.02,84.91,85.91,4779434.0
2014-02-02,84.99,82.86,82.77,85.42,5770327.0
2014-02-03,83.19,84,82.631,84.71,5380458.0
2014-02-04,83.51,83.72,82.95,84.12,3260950.0
2014-02-05,84.5,85.69,84.32,85.76,5432586.0
2014-02-06,85.96,87,85.78,87.17,4526718.0
2014-02-09,87.83,88.34,87.5,88.96,5389203.0
2014-02-10,88.36,88.58,88.17,88.84,3610825.0
2014-02-11,88.69,89.02,88.4,89.05,2488897.0
2014-02-12,88.37,88.9,88.01,88.98,2759982.0
2014-02-13,88.86,89,88.26,89.27,2663803.0
2014-02-17,88.8,89.02,88.29,89.14,3591801.0
2014-02-18,88.89,88.84,88.75,90.32,4332362.0
2014-02-19,88.8,89.01,88.12,89.23,4412362.0
2014-02-20,89.06,88.75,88.56,89.41,3808852.0
2014-02-23,88.79,89.92,88.79,90.43,3267887.0
2014-02-24,90,89.91,89.15,90.37,2914885.0
2014-02-25,90.16,89.73,89.21,90.69,4840587.0
2014-02-26,89.65,90.29,89.51,90.43,3075966.0
2014-02-27,90.25,91.28,90.09,92.135,4691321.0
2014-03-02,90.6,89.97,89.16,90.63,3469568.0
2014-03-03,91.05,92.61,91.03,92.68,3755759.0
2014-03-04,92.59,92.14,91.91,92.59,3086580.0
2014-03-05,92.56,93.52,92.36,93.64,3962802.0
2014-03-06,94.11,93.86,93.36,94.35,3864713.0
2014-03-09,93.62,93.7,93.14,93.88,2218905.0
2014-03-10,93.83,93.2,93.03,93.88,1946579.0
2014-03-11,92.68,92.9,91.9,92.92,2486289.0
2014-03-12,93.2,90.69,90.41,93.48,3990460.0
2014-03-13,90.55,90.17,89.6398,91.22,3583900.0
2014-03-16,90.51,91.26,90.49,91.73,3040236.0
2014-03-17,91.27,91.59,91.13,91.97,2348531.0
2014-03-18,91.67,90.73,90.28,91.96,3426012.0
2014-03-19,90.48,91.69,90.23,91.9,3779744.0
2014-03-20,92.78,91.52,91.36,93.72,6685044.0
2014-03-23,91.64,91.01,90.285,91.75,2526040.0
2014-03-24,91.37,90.84,90.63,91.9,2337378.0
2014-03-25,91.36,89.66,89.63,91.6899,3011673.0
2014-03-26,89.7,89.99,89.27,90.43,3602856.0
2014-03-27,90.27,90.46,90,91.56,3138935.0
2014-03-30,91.08,90.03,89.88,91.94,5172510.0
2014-03-31,90.4,91.17,90.21,91.23,2821695.0
2014-04-01,90.85,90.4,90.13,91.09,2886916.0
2014-04-02,90.67,90.98,90.4,91.1999,2483753.0
2014-04-03,91.17,89.17,89.07,91.4,2939972.0
2014-04-06,89.03,86.6,86.55,89.43,5558459.0
2014-04-07,86.63,86.49,85.58,86.8,3880557.0
2014-04-08,86.9,88.72,86.64,88.72,3600157.0
2014-04-09,88.47,85.36,85.3,88.745,5213965.0
2014-04-10,84.9,84.54,83.99,85.445,4014487.0
2014-04-13,85.09,85.5,84.04,86.34,4016113.0
2014-04-14,85.87,86.04,84.32,86.73,3742025.0
2014-04-15,86.84,87.4,86.48,87.48,4056195.0
2014-04-16,87.16,86.22,85.1,87.92,9245125.0
2014-04-20,86.38,86.67,86.16,86.855,3762346.0
2014-04-21,86.71,87.07,86.43,87.44,3420549.0
2014-04-22,87.01,87.13,86.673,87.64,3788330.0
2014-04-23,87.26,87.41,86.91,87.98,3187402.0
2014-04-24,87.02,87.03,86.62,87.3,4232830.0
2014-04-27,87.44,87.06,85.85,87.58,4760953.0
2014-04-28,87.34,87.79,87.19,87.95,2853235.0
2014-04-29,87.61,87.43,86.96,87.66,4354647.0
2014-04-30,87.53,86.82,86.33,87.575,4680612.0
2014-05-01,86.77,86.93,86.41,87.31,3707420.0
2014-05-04,86,87.36,85.75,87.42,3340208.0
2014-05-05,87.25,86.2,86.08,87.25,3269484.0
2014-05-06,86.79,87.98,86.11,88.05,4601815.0
2014-05-07,87.88,88.62,87.66,89.28,4220550.0
2014-05-08,88.46,88.84,88.13,89.03,2344792.0
2014-05-11,89.42,89.66,89.3198,89.97,2343866.0
2014-05-12,89.65,89.09,89.04,90,2298689.0
2014-05-13,89.17,88.46,88.31,89.43,2238703.0
2014-05-14,88.2,87.6,87.11,88.58,3329634.0
2014-05-15,87.6,87.5,86.9,87.76,3062688.0
2014-05-18,87.18,88.12,87.11,88.22,2005395.0
2014-05-19,87.82,87.09,86.86,88.05,2803016.0
2014-05-20,87.57,87.86,87.3801,88.14,2525600.0
2014-05-21,87.79,88.15,87.55,88.39,2655058.0
2014-05-22,88.11,88.78,88,88.86,1862585.0
2014-05-26,89.6,91.39,89.35,91.47,5093921.0
2014-05-27,91.31,91.06,90.63,91.36,2467856.0
2014-05-28,91.12,91.28,90.53,91.3,2668585.0
2014-05-29,91,91.5,90.89,91.68,3594961.0
2014-06-01,91.79,91.89,91.43,92.11,2822471.0
2014-06-02,91.61,91.73,91.27,91.85,2589294.0
2014-06-03,91.59,91.81,91.33,91.9,2637078.0
2014-06-04,91.9201,92.8,91.53,93.21,3223158.0
2014-06-05,92.94,94.91,92.82,94.94,4551129.0
2014-06-08,95.08,95.57,94.65,95.88,3825273.0
2014-06-09,95.09,95.28,94.68,95.39,2422072.0
2014-06-10,94.94,95.08,94.64,95.255,1884646.0
2014-06-11,95.35,94.76,94.36,95.48,2870664.0
2014-06-12,94.95,94.85,94.38,95.17,1793076.0
