date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,81.71,81.92,81.56,82.28,369265
2014-01-02,81.68,81.25,80.95,81.68,624985
2014-01-05,81.59,81.09,80.94,81.87,1249737.0
2014-01-06,81.19,81.65,81.15,81.88,968372
2014-01-07,81.4,81.33,81.105,81.82,695300
2014-01-08,81.6,81.23,80.94,81.84,713946
2014-01-09,81.33,81.45,81,82,560475
2014-01-12,81.05,81.06,80.97,81.58,712282
2014-01-13,80.9,81.81,80.81,82.23,648612
2014-01-14,82.06,81.58,81.37,82.06,874785
2014-01-15,81.5,81.47,80.72,81.655,962703
2014-01-16,81.36,81.3,81.01,81.74,543817
2014-01-20,81.36,81.34,80.77,81.48,661241
2014-01-21,81.8,81.09,80.82,81.8,658536
2014-01-22,80.67,80.1,79.981,81.47,1003737.0
2014-01-23,79.75,77.64,77.63,79.85,1275941.0
2014-01-26,77.34,77.03,76.38,77.92,1516231.0
2014-01-27,77.02,77.47,76.68,77.71,931294
2014-01-28,77.05,75.95,75.91,77.195,885659
2014-01-29,76.08,76.64,75.64,76.8,681525
2014-01-30,76.02,75.76,75.71,76.37,666009
2014-02-02,75.59,74.43,74.31,76.16,973750
2014-02-03,74.58,73.51,73.26,74.81,1764407.0
2014-02-04,73.47,74.26,73.12,74.78,1372431.0
2014-02-05,74.29,75.12,74.29,75.36,863686
2014-02-06,75.28,75.19,74.93,76.12,842880
2014-02-09,75.08,74.62,74.265,75.38,1042545.0
2014-02-10,75.01,76.4,74.58,76.47,1044499.0
2014-02-11,75.93,75.93,75.43,76.42,999635
2014-02-12,75.85,77.36,75,77.42,2136552.0
2014-02-13,77.24,78.62,76.7,78.82,1633872.0
2014-02-17,78.52,78.31,78.11,78.92,929399
2014-02-18,78.12,78.4,77.9,78.69,1084195.0
2014-02-19,78.3,79.14,78.17,79.59,1034584.0
2014-02-20,79.14,79.37,79,79.58,1491598.0
2014-02-23,79.4,79.88,79.4,80.74,1177241.0
2014-02-24,79.75,80.01,79.62,80.57,913963
2014-02-25,80,80.04,79.84,80.64,813143
2014-02-26,79.79,79.49,79.15,79.96,984828
2014-02-27,79.46,79.61,79.04,79.9,966776
2014-03-02,78.89,78.43,77.96,78.9,1208042.0
2014-03-03,79.35,78.82,78.53,79.44,1282559.0
2014-03-04,78.63,78.38,77.77,78.79,1068588.0
2014-03-05,78.46,80.25,78.11,80.39,1440933.0
2014-03-06,80.27,79.98,79.55,80.69,1015613.0
2014-03-09,79.71,80.55,79.62,80.59,942730
2014-03-10,80.49,79.1,78.77,80.6,1095265.0
2014-03-11,78.39,78.41,78.24,79.4828,1240598.0
2014-03-12,78.57,78,77.98,79.038,1071522.0
2014-03-13,77.97,78.16,77.84,78.78,774830
2014-03-16,78.25,78.5,78.1,79,836691
2014-03-17,78.51,79.04,78.31,79.11,740812
2014-03-18,79.22,78.14,77.95,79.22,534357
2014-03-19,77.87,78.28,77.7,78.63,645223
2014-03-20,78.49,78.35,78.2,79.05,1145322.0
2014-03-23,78.5,77.96,77.78,78.74,556079
2014-03-24,78.41,78.16,77.97,78.896,707891
2014-03-25,78.62,77.5,77.47,78.8499,883918
2014-03-26,77.75,78.23,77.29,78.56,963977
2014-03-27,78.8,78.98,78.42,79.23,657457
2014-03-30,79.37,79.51,78.78,79.52,698288
2014-03-31,79.61,79.56,78.93,79.81,718933
2014-04-01,79.52,79.47,78.78,80.055,897081
2014-04-02,79.47,79.49,78.44,79.53,815639
2014-04-03,79.66,78.2,77.97,79.81,1247549.0
2014-04-06,78.03,78.04,77.5,78.88,1080043.0
2014-04-07,78.36,79.99,78,80.54,2151169.0
2014-04-08,80.2,80.36,79.51,81,804303
2014-04-09,80.05,79.4,79.23,81.03,727206
2014-04-10,79.19,78.25,78.09,79.25,678971
2014-04-13,78.83,79.26,78.43,79.8,597335
2014-04-14,79.35,79.58,78.81,79.862,842649
2014-04-15,80.01,81.12,79.89,81.13,931222
2014-04-16,81.05,80.25,80.11,81.21,722984
2014-04-20,80.21,79.99,79.47,80.21,394911
2014-04-21,79.97,80.11,79.53,80.29,830532
2014-04-22,80.2,80.77,80.07,80.82,522258
2014-04-23,80.81,80.77,80.31,81.36,565218
2014-04-24,80.74,81.38,80.16,81.5,745144
2014-04-27,81.75,79.88,79.62,81.75,699519
2014-04-28,79.95,79.81,79.81,80.86,833056
2014-04-29,79.85,79.65,79.35,80.53,1601552.0
2014-04-30,77.65,75.34,75.09,77.7,3520139.0
2014-05-01,75.35,76.4,75.15,76.506,1826100.0
2014-05-04,76.04,75.57,75.22,76.18,1488700.0
2014-05-05,75.52,75.48,75.23,76.01,1010423.0
2014-05-06,75.77,77.1,75.53,77.14,1395114.0
2014-05-07,77.02,76.76,76.33,77.48,980536
2014-05-08,77.27,76.94,76.73,77.7,939444
2014-05-11,77.12,77.55,77.12,77.95,710967
2014-05-12,77.64,77.6,77.265,77.85,1029608.0
2014-05-13,77.36,77.54,77.06,77.87,956295
2014-05-14,77.23,76.3,76.08,77.24,681568
2014-05-15,76.3,76.69,76.14,76.83,562485
2014-05-18,76.55,76.58,76.14,76.64,825578
2014-05-19,76.65,77.01,76.32,77.07,1043371.0
2014-05-20,77.43,76.46,76.4,77.43,793249
2014-05-21,76.17,75.5,75.46,76.536,690879
2014-05-22,75.69,75.73,75.41,76.1,722162
2014-05-26,75.67,75.88,75.47,76.15,686390
2014-05-27,75.94,76.54,75.72,76.95,1217901.0
2014-05-28,76.99,77.53,76.66,78.35,1308957.0
2014-05-29,77.5,77.71,77.26,78.07,1047874.0
2014-06-01,77.8,77.01,76.9901,77.95,733808
2014-06-02,76.72,76.68,76.61,77.24,982033
2014-06-03,76.62,75.37,75,76.65,1524347.0
2014-06-04,75.64,76.12,75.18,76.285,702589
2014-06-05,76.1,76.6,76.1,76.795,422030
2014-06-08,76.39,76.33,76.19,76.925,432427
2014-06-09,76.06,76.22,75.82,76.43,611387
2014-06-10,76.18,75.81,75.75,76.49,729845
2014-06-11,75.9,75.11,74.98,76.1,872449
2014-06-12,75.1,74.97,74.74,75.31,472518
2014-06-15,74.99,74.97,74.7,75.1,459680
2014-06-16,74.95,75.36,74.59,75.49,473387
2014-06-17,75.27,75.52,74.4,75.55,544505
2014-06-18,75.5,76,75.405,76.05,540187
2014-06-19,75.76,75.95,75.74,76.37,914080
2014-06-22,75.87,75.64,75.31,75.98,639588
2014-06-23,75.54,74.86,74.83,76.02,507092
2014-06-24,74.93,74.68,74.5025,75.31,628195
2014-06-25,74.75,75.62,74.36,75.68,672691
2014-06-26,75.62,76.22,75.33,76.49,1372335.0
2014-06-29,76.09,75.64,75.27,76.3,1004290.0
2014-06-30,75.9,75.9,75.76,76.37,590020
2014-07-01,75.75,76.16,75.7,76.32,649582
2014-07-02,76.2,76.06,76,76.67,538357
2014-07-06,75.81,76.78,75.7,76.94,641723
2014-07-07,76.71,76.23,76.21,77.14,869828
2014-07-08,76.38,75.14,75.05,76.558,881862
2014-07-09,74.51,74.44,74.06,74.92,1240413.0
2014-07-10,74.57,73.78,73.62,74.62,1017788.0
2014-07-13,74.07,73.99,73.58,74.56,705465
2014-07-14,73.87,73.54,73.43,73.99,730558
2014-07-15,73.79,74.28,73.5,74.32,491186
2014-07-16,73.95,73.93,73.7701,74.27,692377
2014-07-17,73.93,73.92,73.6,74.11,515100
2014-07-20,73.86,73.85,73.64,74.158,818764
2014-07-21,73.87,74.9,73.87,75.08,749687
2014-07-22,75.02,74.9,74.35,75.11,624576
2014-07-23,74.81,75.3,74.81,75.49,633345
2014-07-24,75.18,74.42,74.4,75.24,319980
2014-07-27,74.42,74.27,73.99,74.57,379193
2014-07-28,74.3,74.19,74.09,74.6,637705
2014-07-29,74.23,73.65,73.32,74.56,1693430.0
2014-07-30,75.14,78.84,75.14,79.98,3919385.0
2014-07-31,78.8,80.8,78.53,80.91,1720806.0
2014-08-03,80.58,80.26,80.13,80.8,1442658.0
2014-08-04,80.26,79.84,79.65,80.59,1080435.0
2014-08-05,79.41,80,79.16,80.05,1016558.0
2014-08-06,80.06,79.96,79.47,80.44,858060
