date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,55.89,54.94,54.59,55.96,1301697.0
2014-01-02,54.96,54.89,54.5,55.1299,1155228.0
2014-01-05,55,55,54.68,55.61,1292645.0
2014-01-06,55.46,56.38,55.33,56.43,1349464.0
2014-01-07,56.46,56.28,55.99,57,1466532.0
2014-01-08,56.45,56.3,55.86,56.9899,1056965.0
2014-01-09,56.56,56.75,56.26,56.94,883360
2014-01-12,56.83,55.57,55.49,57.29,1381437.0
2014-01-13,55.94,56.78,55.775,56.83,1217398.0
2014-01-14,56.86,55.96,54.52,56.92,3576755.0
2014-01-15,56.02,56.93,55.931,56.94,1607615.0
2014-01-16,56.93,55.81,55.69,56.93,1930408.0
2014-01-20,56.26,56.11,55.21,56.455,1513707.0
2014-01-21,56.38,56.75,55.68,56.79,1116244.0
2014-01-22,56.34,55.64,55.1,56.52,1412260.0
2014-01-23,54.97,53.71,53.48,55.01,1643748.0
2014-01-26,54.19,53.68,53.26,54.43,1779688.0
2014-01-27,53.88,54,53.68,54.3292,1295265.0
2014-01-28,53.57,53.95,53.15,54.44,2134360.0
2014-01-29,54.26,54.22,53.78,54.49,1060000.0
2014-01-30,53.37,53.7,53.34,54.17,1142578.0
2014-02-02,53.78,51.32,50.98,53.854,2573723.0
2014-02-03,51.66,52.18,50.83,52.22,1675041.0
2014-02-04,51.88,52.44,51.36,52.57,1344436.0
2014-02-05,52.49,53.44,52.41,53.64,1093371.0
2014-02-06,53.77,53.91,53.5,54.34,1725702.0
2014-02-09,53.99,53.9,53.41,54.0375,1755069.0
2014-02-10,54.11,54.67,53.9,54.68,1843732.0
2014-02-11,54.77,55.44,54.73,55.55,1766091.0
2014-02-12,55.09,56.93,54.79,57.245,1660543.0
2014-02-13,57.48,57.96,57.41,58.26,2201615.0
2014-02-17,58.11,58.1,57.8,58.48,1826810.0
2014-02-18,57.98,59.27,57.94,59.75,2051400.0
2014-02-19,59.22,60.42,59.02,60.58,2055883.0
2014-02-20,60.41,61.16,60.16,61.54,1676748.0
2014-02-23,61.32,61.3,61.15,61.68,1220243.0
2014-02-24,61.38,61.01,60.82,61.61,992391
2014-02-25,61.09,60.87,60.6,61.48,971590
2014-02-26,60.79,61.39,60.59,61.44,1010644.0
2014-02-27,61.39,61.45,60.86,61.82,1312537.0
2014-03-02,60.79,60.8,59.97,61.17,1342825.0
2014-03-03,61.54,62.02,61.18,62.17,1281305.0
2014-03-04,61.94,61.45,61.22,62.1,1769404.0
2014-03-05,61.76,61.85,61.48,62.07,796925
2014-03-06,62.01,61.31,61.0501,62.08,1025763.0
2014-03-09,61.26,61.56,60.89,61.6,803378
2014-03-10,61.6,61.15,60.91,61.76,1165454.0
2014-03-11,60.8,61.38,60.37,61.4,1136246.0
2014-03-12,61.6,60.7,60.42,61.76,1529332.0
2014-03-13,60.42,61.13,60.2678,61.54,1235117.0
2014-03-16,61.42,61.36,60.79,62.27,1516667.0
2014-03-17,61.51,62.17,61.38,62.22,610098
2014-03-18,62.22,61.4,61.009,62.28,1131598.0
2014-03-19,61.27,62.42,61.19,62.5,991055
2014-03-20,63.03,61.74,61.71,63.04,1354580.0
2014-03-23,61.89,60.73,60.262,61.98,1294858.0
2014-03-24,60.95,59.88,59.59,61.26,1518301.0
2014-03-25,60.36,60.05,59.61,60.98,1361232.0
2014-03-26,59.96,59.64,59.13,60.05,1128424.0
2014-03-27,59.93,60.02,59.65,60.4899,1062530.0
2014-03-30,60.55,61.47,60.49,61.55,1128529.0
2014-03-31,61.79,63.07,61.29,63.12,1221313.0
2014-04-01,63.21,63.6,63.21,63.89,1218146.0
2014-04-02,63.64,63.2,62.87,63.88,865083
2014-04-03,63.75,62.1,61.92,63.82,1164077.0
2014-04-06,61.78,60.26,59.98,61.91,1681426.0
2014-04-07,60.16,60.5,59.95,60.8,1311509.0
2014-04-08,60.88,62.12,60.86,62.18,1683542.0
2014-04-09,62.11,60.4,60.4,62.24,909705
2014-04-10,60.1,59.27,59.21,60.605,1053514.0
2014-04-13,59.92,60.36,59.26,60.43,1389799.0
2014-04-14,60.48,60.94,59.52,61.26,1166477.0
2014-04-15,61.7,62.06,61.43,62.34,1123657.0
2014-04-16,61.94,62.59,61.79,63.08,771228
2014-04-20,62.49,63.13,62.25,63.49,959003
2014-04-21,63.09,63.39,63.05,63.89,1282812.0
2014-04-22,63.31,63.49,62.9,63.66,982780
2014-04-23,63.91,63.75,63.22,64.23,1325718.0
2014-04-24,63.47,61.64,61.54,63.71,1365897.0
2014-04-27,62.05,61.32,59.97,62.22,1600913.0
2014-04-28,61.7,61.15,60.77,61.84,1304722.0
2014-04-29,60.96,62.14,60.59,62.2,2561757.0
2014-04-30,62.08,60.66,60.54,62.54,2897121.0
2014-05-01,60.81,60.65,60.05,61.13,2018952.0
2014-05-04,60.33,60.5,59.85,60.65,1323722.0
2014-05-05,60.52,60.16,59.96,60.795,1412292.0
2014-05-06,60.34,59.93,59.361,60.6,1004042.0
2014-05-07,59.85,59.82,59.6,61.05,812388
2014-05-08,59.85,59.12,58.845,59.97,1182857.0
2014-05-11,59.58,61.11,59.49,61.18,1110067.0
2014-05-12,61.21,60.84,60.6,61.34,763187
2014-05-13,60.79,60.35,60.26,61.05,655017
2014-05-14,60.03,59.06,58.24,60.09,1551457.0
2014-05-15,59.09,59.72,58.54,59.79,1206991.0
2014-05-18,59.64,59.97,59.42,60.27,965063
2014-05-19,60.06,59.39,59.045,60.08,1072206.0
2014-05-20,59.52,60.48,59.37,60.63,1235916.0
2014-05-21,60.63,61.06,60.49,61.46,1495357.0
2014-05-22,61.02,62.17,60.918,62.445,1330049.0
2014-05-26,62.4,62.36,62.19,62.84,915699
2014-05-27,62.43,62.63,61.94,62.94,1146707.0
2014-05-28,62.77,62.84,62.31,63.21,637230
2014-05-29,62.73,62.89,62.63,63.41,1483239.0
2014-06-01,62.89,63.31,62.18,63.36,964357
2014-06-02,63.17,63.8,63.07,64,1072826.0
2014-06-03,63.47,64.39,62.96,64.56,1214811.0
2014-06-04,64.82,65.15,64.56,65.369,1715712.0
2014-06-05,65.4,66.16,65.2101,66.38,2108850.0
2014-06-08,66.1,65.91,65.76,66.52,809907
2014-06-09,65.63,66.07,65.5,66.33,1033325.0
2014-06-10,65.64,66.08,65.5,66.19,789482
2014-06-11,65.9,64.47,64.24,65.9,1525672.0
2014-06-12,64.44,65.12,64.22,65.3,843123
2014-06-15,64.95,65.14,64.59,65.67,926445
2014-06-16,65.01,65.07,64.76,65.65,707152
2014-06-17,65.15,64.95,64.12,65.21,1220833.0
