date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,21.81,21.83,21.635,22.035,6140513.0
2014-01-02,21.95,21.75,21.73,22.18,3725239.0
2014-01-05,21.92,21.27,21.17,21.93,6655779.0
2014-01-06,21.48,21.34,21.2,21.525,4813277.0
2014-01-07,21.26,21.58,21.15,21.75,5760267.0
2014-01-08,21.86,21.75,21.58,22,4988666.0
2014-01-09,21.87,22.15,21.75,22.56,7862814.0
2014-01-12,21.97,21.55,21.42,22.14,6780165.0
2014-01-13,21.56,21.59,21.32,21.73,4574780.0
2014-01-14,21.58,21.59,21.32,21.71,5064104.0
2014-01-15,21.53,21.92,21.23,21.97,5325202.0
2014-01-16,21.83,21.59,21.57,21.86,5221718.0
2014-01-20,21.66,21.48,21.32,21.8,3649687.0
2014-01-21,21.44,21.97,21.32,22.08,5227309.0
2014-01-22,21.79,21.96,21.7,22.04,5503816.0
2014-01-23,21.54,20.88,20.8,21.79,9587744.0
2014-01-26,21.01,20.94,20.2,21.48,10673522.0
2014-01-27,22.26,23,21.95,23.2,19841507.0
2014-01-28,22.59,23.11,22.34,23.28,11727896.0
2014-01-29,23.31,22.88,22.64,23.59,7753953.0
2014-01-30,22.6,23.48,22.48,24,11358316.0
2014-02-02,23.49,22.88,22.54,23.62,8989307.0
2014-02-03,23,23.07,22.79,23.29,6721232.0
2014-02-04,22.91,22.69,22.6,23.13,6893138.0
2014-02-05,22.94,23.57,22.93,23.88,12390292.0
2014-02-06,23.75,23.89,23.49,23.945,7480085.0
2014-02-09,23.89,23.55,23.29,24.17,8163507.0
2014-02-10,23.48,23.33,23.11,23.59,6599599.0
2014-02-11,23.44,23.23,23.14,23.6,7585676.0
2014-02-12,23.13,23.24,22.85,23.34,5623727.0
2014-02-13,23.24,23.62,23.09,23.66,4898415.0
2014-02-17,23.64,23.31,22.78,23.73,6196081.0
2014-02-18,23.09,23.16,22.96,23.58,4898184.0
2014-02-19,23.15,23.33,22.95,23.455,5310993.0
2014-02-20,23.42,23.65,23.35,23.95,5154411.0
2014-02-23,23.72,23.71,23.54,23.92,5077812.0
2014-02-24,23.73,24.14,23.4956,24.24,5613066.0
2014-02-25,24.12,24.85,23.8175,25.06,14350893.0
2014-02-26,24.82,24.87,24.64,25.02,6750086.0
