date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,64,63.38,63.13,64.11,982745
2014-01-02,63.36,63.47,63.085,63.91,765993
2014-01-05,63.42,62.36,62.23,63.42,1067619.0
2014-01-06,62.44,62.33,62.08,62.78,1899866.0
2014-01-07,62.57,62.3,61.98,62.76,1444554.0
2014-01-08,62.5,62.49,62.25,63.4965,1917029.0
2014-01-09,62.78,63.62,62.24,63.775,996908
2014-01-12,63.97,62.31,62.17,64,1307770.0
2014-01-13,62.44,63.86,62.42,64.3,1802519.0
2014-01-14,63.75,63.88,63.6,64.22,1604911.0
2014-01-15,63.4,63.06,62.751,63.72,1065875.0
2014-01-16,62.83,62.74,62.34,63,1446080.0
2014-01-20,63.22,62.44,62.33,63.27,1101266.0
2014-01-21,62.56,63.66,62.53,63.79,1639867.0
2014-01-22,63.4,63.53,62.76,63.83,1872634.0
2014-01-23,63.47,62.07,61.55,63.47,2513834.0
2014-01-26,62.22,61.7,61.18,62.37,1392716.0
2014-01-27,61.69,61.61,61.2,62.3,1811769.0
2014-01-28,61.44,61.52,61.13,61.92,1389341.0
2014-01-29,62.14,61.68,61.25,62.37,1498139.0
2014-01-30,60.69,61.47,60.62,61.655,1638394.0
2014-02-02,60.23,59.73,59.51,60.92,2006484.0
2014-02-03,60,60.29,59.44,60.36,1669532.0
2014-02-04,60.16,60.93,59.85,61.36,1556621.0
2014-02-05,60.91,61.83,60.895,62.64,1742967.0
2014-02-06,62.01,62.24,61.51,62.36,893950
2014-02-09,62.01,62.33,61.88,62.38,924080
2014-02-10,62.26,63.61,62.26,63.79,1070980.0
2014-02-11,63.49,63.79,63.47,64.19,1123730.0
2014-02-12,62.73,64.44,62.64,64.45,1287538.0
2014-02-13,64.1,65.28,64.1,65.44,1411917.0
2014-02-17,65.22,64.49,64.43,65.49,1350323.0
2014-02-18,64.4,64.4,64.07,64.69,1433624.0
2014-02-19,64.6,64.65,64.364,64.97,1154604.0
2014-02-20,64.94,64.97,64.51,65.635,1639731.0
2014-02-23,65.5,65.35,65.04,66.0299,985415
2014-02-24,65.35,65.27,64.64,65.46,1081549.0
2014-02-25,65.55,65.24,65.05,66.12,870774
2014-02-26,65.07,64.97,64.5,65.36,871982
2014-02-27,65.12,65.15,64.57,65.58,1158627.0
2014-03-02,64.46,64.32,63.9,64.83,758124
2014-03-03,65.06,65.22,64.72,65.6176,1097735.0
2014-03-04,65.29,65.46,64.88,65.56,602294
2014-03-05,65.44,66.13,65.29,66.235,830852
2014-03-06,66.42,66.85,66.12,67.16,1314168.0
