date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,155.05,151.07,149.6,155.3899,547970
2014-01-02,151.09,151.05,150.455,151.76,317057
2014-01-05,151.91,150.63,150.03,152.7999,396964
2014-01-06,150.75,150.15,149.3,152.49,404469
2014-01-07,149.87,148.76,148.358,150.6299,341072
2014-01-08,148.92,148.3,147.51,149.49,669910
2014-01-09,149.21,148.13,147.97,149.3,422469
2014-01-12,148.32,147.01,146.75,148.93,328419
2014-01-13,147.64,148.48,147.13,148.645,353548
2014-01-14,148.97,148.51,148,149.43,225125
2014-01-15,148.03,147.26,146.6201,148.66,358067
2014-01-16,147.12,146.36,146.305,147.9575,222131
2014-01-20,147.34,147.67,145.33,147.7,469782
2014-01-21,148.02,149.93,148.02,150.23,309767
2014-01-22,149.18,146.41,146.08,149.8055,352590
2014-01-23,146.39,142.89,142.88,147.08,412210
2014-01-26,143.36,144.61,142.68,145.48,327725
2014-01-27,144.85,146.27,144.85,146.7499,256691
2014-01-28,145.6,143.94,143.34,146.52,416870
2014-01-29,145.36,148.12,144.85,148.28,259317
2014-01-30,145.81,144.76,144.76,146.86,590460
2014-02-02,145.01,141,141,145.65,682140
2014-02-03,141.96,142.14,140.63,143.95,526821
2014-02-04,141.98,142.29,140.85,142.83,426345
2014-02-05,144,137.48,136.84,144.87,900232
2014-02-06,137.31,138.8,136.35,138.93,715251
2014-02-09,138.49,140.53,137.45,140.96,592810
2014-02-10,141.04,144.28,140.825,145.02,576655
2014-02-11,144.06,144.17,142.5,144.83,498136
2014-02-12,143.54,146.76,143.3,146.83,448709
2014-02-13,146.76,147.23,146.3,148.17,386826
2014-02-17,147.8,149.04,146.79,149.18,465349
2014-02-18,148.93,148.99,148.29,150.52,581127
2014-02-19,149.24,149.31,148.75,150.3,265159
2014-02-20,149.77,148.75,148.48,149.91,363550
2014-02-23,148.69,146.73,146.32,149.87,650334
2014-02-24,146.8,146.04,145.51,147.43,921390
2014-02-25,146.69,148.04,145.66,148.41,716560
2014-02-26,148.04,149.14,146.84,149.6,502941
2014-02-27,149.18,149.24,148.59,150.64,373150
2014-03-02,148.14,147.19,146.69,148.54,317762
2014-03-03,148.25,148.6,147.83,149.16,569754
2014-03-04,148.67,148.73,148.07,148.965,375271
2014-03-05,149.01,148.98,148.57,149.67,409775
2014-03-06,149.99,149.79,148.18,150.1,418686
2014-03-09,148.35,149.67,147.4,149.67,451633
2014-03-10,149.88,149.1,148.2,149.88,538948
2014-03-11,148.13,149.57,147.8,149.9,308717
2014-03-12,149.91,149.14,148.93,150.38,383792
2014-03-13,149.08,150.52,148.795,151.2,317364
2014-03-16,151.48,151.46,150.97,152.49,253303
2014-03-17,151.62,152.01,151.22,152.51,255631
2014-03-18,152.65,150.6,150.16,152.65,219891
2014-03-19,150.37,150.58,150.03,151.16,182156
2014-03-20,151.35,150.91,150.53,152.07,447069
2014-03-23,151.5,150.86,150.57,152.1,520001
2014-03-24,151.54,151.16,150.05,152.22,391997
2014-03-25,151.83,149.95,149.91,152.15,354991
2014-03-26,150.33,148.89,148.35,150.49,369180
2014-03-27,150,149.67,148.67,150.59,191260
2014-03-30,150.75,153.05,150.24,153.1,497560
2014-03-31,152.98,151.89,149.96,152.98,411023
2014-04-01,152.1,152.62,150.99,153.12,314944
2014-04-02,152.95,153.76,151.94,154.01,305259
2014-04-03,154.2,152.5,152.41,154.765,236123
2014-04-06,152.23,150.81,150.58,152.75,212221
2014-04-07,151.19,152.73,150.276,153.07,410979
2014-04-08,153.01,154.01,152.33,154.14,221415
2014-04-09,154.26,153.36,153.24,155.85,383667
2014-04-10,153.2,153.47,152.17,154.42,501203
2014-04-13,154.85,155.67,153.44,155.94,362173
2014-04-14,156,155.58,154.72,156.47,273161
2014-04-15,156.35,157.13,156.03,157.54,200298
2014-04-16,156.69,158.41,156.54,158.72,301591
2014-04-20,158.76,158.43,157.09,158.84,258880
2014-04-21,158.41,158.36,158.18,159.48,363197
2014-04-22,158.18,161.31,157.77,161.32,592830
2014-04-23,161.2,157.49,157.08,161.52,842385
2014-04-24,157.67,158.17,156.69,159.29,385677
2014-04-27,158.4,156.7,156.31,158.74,358466
2014-04-28,157.08,158.58,156.52,158.81,322964
2014-04-29,158.37,158.03,155.63,158.44,589962
2014-04-30,158.6,160.1,157.76,160.23,258221
2014-05-01,160.12,159.31,158.98,160.5,352253
2014-05-04,159.31,158.9,158.25,160.06,208128
2014-05-05,158.69,158.8,158.26,159.39,203900
2014-05-06,159,160.22,158.5,160.3,365111
2014-05-07,160.08,159.83,159.44,161.29,267485
2014-05-08,159.27,158.36,157.52,159.678,303879
2014-05-11,159.32,158.57,158.17,160.19,316818
2014-05-12,158.57,158.55,157.43,159.4199,737368
2014-05-13,158.12,157.05,156.85,159.03,455846
2014-05-14,156.62,156.8,155.92,157.83,535043
2014-05-15,156.8,157.29,155.76,157.325,248989
2014-05-18,157.23,158.27,156.6,158.84,302000
2014-05-19,157.88,157.94,157.42,158.34,316427
2014-05-20,158.65,158.7,157.6601,159.06,238675
2014-05-21,158.83,159.46,157.49,159.9,319816
2014-05-22,159.46,159.32,158.74,160.09,204390
2014-05-26,160.08,161.38,159.36,161.45,298262
2014-05-27,161.41,159.97,159.96,162.18,263298
2014-05-28,160.11,160,159.26,160.77,342816
2014-05-29,160.27,160.02,159.55,160.84,301108
2014-06-01,159.73,159.11,158.43,159.83,275017
2014-06-02,158.96,159.59,158.02,159.63,260571
2014-06-03,159.54,161.84,158.8001,161.84,386629
2014-06-04,161.82,161.87,160.72,162.25,215988
2014-06-05,162.05,161.8,161.7475,163.07,289741
2014-06-08,161.64,160.75,160.23,162.106,241400
2014-06-09,160.75,161.81,160.75,161.86,424002
