date,open_price,close_price,lowest_price,highest_price,volume
2019-12-08,54.96,54.72,54.26,54.96,8402577.0
2019-12-09,54.38,55.12,54.27,55.26,7044948.0
2019-12-10,55.12,53.68,53.67,55.26,7474971.0
2019-12-11,53.97,56.08,53.84,56.19,9035671.0
2019-12-12,56.11,56.02,55.64,56.66,7716685.0
2019-12-15,56.53,56.22,56.11,56.75,9063175.0
2019-12-16,56.28,56.67,56.03,56.77,6819242.0
2019-12-17,56.8,56.32,56.24,56.92,10263198.0
2019-12-18,56.38,56.14,55.85,56.52,6212610.0
2019-12-19,54.29,56.3,54.29,56.6,13230878.0
2019-12-22,56.56,56.2,56.1,56.575,4881484.0
2019-12-23,56.3,56.16,56.04,56.35,1810941.0
2019-12-25,56.28,56.72,56.19,56.74,2851568.0
2019-12-26,56.77,56.48,56.34,56.81,3263613.0
2019-12-29,56.7,56.42,56.32,56.84,3577390.0
2019-12-30,56.44,56.32,56.07,56.585,4130167.0
2020-01-01,56.41,56.67,55.88,56.68,5205293.0
2020-01-02,56.15,56.2,55.66,56.2954,4496798.0
2020-01-05,55.49,55.73,55.15,55.8,9737730.0
2020-01-06,55.67,55.49,55.085,55.67,5324933.0
2020-01-07,55.42,55.61,55.31,55.82,6271152.0
2020-01-08,55.91,56.18,55.71,56.22,5750837.0
2020-01-09,56.38,55.96,55.73,56.5,5090800.0
2020-01-12,55.8,56.22,55.6875,56.23,6179082.0
2020-01-13,56.18,56.36,55.91,56.485,5257816.0
2020-01-14,55.91,55.13,54.9,56.12,5930699.0
2020-01-15,55.19,55.86,55.19,55.87,4538771.0
2020-01-16,56.3,56.29,55.85,56.38,6366960.0
2020-01-20,56.05,56.28,55.84,56.53,6763817.0
2020-01-21,56.5,56.34,56.125,56.5,3990518.0
2020-01-22,55.99,56.36,55.235,56.39,4305318.0
2020-01-23,56.3,55.48,55.015,56.35,5546953.0
2020-01-26,54.52,54.68,54.34,54.97,5993702.0
2020-01-27,55.01,54.96,54.74,55.39,4420882.0
2020-01-28,55.09,53.86,53.645,55.25,5524357.0
2020-01-29,52.85,52.13,49.37,53.1,13307259.0
2020-01-30,51.86,51.57,51.2358,51.88,7778992.0
2020-02-02,51.98,52.5,51.97,52.935,5511747.0
2020-02-03,53.4,53.16,53.09,53.91,4556249.0
2020-02-04,53.82,54.43,53.78,54.68,4938046.0
2020-02-05,54.65,54.18,53.8,54.88,4416854.0
2020-02-06,53.67,54.27,53.33,54.4,4147601.0
2020-02-09,53.84,54.33,53.835,54.42,2948487.0
2020-02-10,54.37,54.81,54.37,55.115,3806262.0
2020-02-11,55.19,54.44,54.21,55.47,4331490.0
2020-02-12,53.96,54.82,53.79,54.91,4203880.0
2020-02-13,54.8,54.94,54.39,54.97,4122453.0
2020-02-17,54.63,54.01,53.54,54.8,4322834.0
2020-02-18,54.26,54.61,54.05,54.65,3452211.0
2020-02-19,54.39,55.31,54.23,55.44,5215778.0
2020-02-20,54.83,54.85,54.24,55.1,5881113.0
2020-02-23,53.65,53.77,53.27,54.34,7450196.0
2020-02-24,53.75,51.31,51.15,53.78,7282120.0
2020-02-25,51.71,50.7,50.65,52.21,6933839.0
2020-02-26,49.79,47.55,47.54,50.23,7582207.0
2020-02-27,46.05,46.14,44.92,46.91,10841280.0
2020-03-01,48.1,48.81,45.61,48.82,8326474.0
2020-03-02,48.39,46.89,46.44,49.4,10439916.0
2020-03-03,47.24,47.38,45.86,47.6,9621216.0
2020-03-04,45.42,43.61,43.02,45.51,12216058.0
2020-03-05,41.49,40.67,39.55,42.49,14111143.0
2020-03-08,36.46,34.51,33.89,37.95,15177164.0
2020-03-09,36.23,36.34,33.93,36.87,14939834.0
2020-03-10,35.08,33.66,33.305,35.49,11587733.0
2020-03-11,30.32,30.22,28.94,33.16,12575344.0
2020-03-12,32.78,33.83,30.64,34.14,12506584.0
2020-03-15,28.47,27.37,24.01,30.32,12035484.0
2020-03-16,28.28,29.27,25.94,29.74,14248356.0
2020-03-17,27.23,28.32,26.04,29.47,11379868.0
2020-03-18,27.61,29.97,26.5201,32,10888104.0
2020-03-19,30.31,30.04,28,30.69,16497696.0
2020-03-22,28,25.69,25.51,29.13,13067720.0
2020-03-23,26.93,30.12,26.23,30.39,10478280.0
2020-03-24,30.04,30.67,28.85,32,13526279.0
2020-03-25,30.83,34.28,30.54,34.67,10297930.0
2020-03-26,32.49,33.27,32.26,34.76,8744400.0
2020-03-29,33.16,32.56,31.6751,33.53,7884448.0
2020-03-30,31.81,30.84,30.21,32.43,8416904.0
2020-03-31,28.6,28.47,28.09,29.29,9251615.0
2020-04-01,28.29,28.48,27.63,29.61,8986509.0
2020-04-02,28.24,27.21,26.41,28.5675,9069736.0
2020-04-05,29.15,29.77,28.46,30.39,11836586.0
2020-04-06,31.92,30.59,30.42,32.33,11873103.0
2020-04-07,31.04,32.7,30.88,32.944,8452210.0
2020-04-08,33.72,36.11,33.55,36.12,9761628.0
2020-04-12,36.06,33.94,33.69,36.14,7861527.0
2020-04-13,34.73,33.36,32.79,35.2,6552118.0
2020-04-14,31.69,31.31,31.15,32.115,8466364.0
2020-04-15,31.52,29.64,29.24,31.52,5943681.0
2020-04-16,30.9,33.4,30.84,33.5,8496094.0
2020-04-19,33.5,34.13,32.77,35.08,8358036.0
2020-04-20,33.91,34.03,33.09,34.57,7873603.0
2020-04-21,34.56,34,33.68,35.14,7793907.0
2020-04-22,34.06,34.29,34.06,35.1819,4846340.0
2020-04-23,34.59,35.48,34.23,35.81,6309803.0
2020-04-26,35.6,37.47,35.24,37.74,6435207.0
2020-04-27,38.85,37.52,37.46,39.64,7655248.0
2020-04-28,38.66,39.2,37.84,39.78,7242704.0
