date,open_price,close_price,lowest_price,highest_price,volume
2014-01-01,49.08,49,48.95,49.225,9271236.0
2014-01-02,49.33,48.42,48.22,49.33,12024405.0
2014-01-05,48.77,48.69,48.2023,49.07,16067611.0
2014-01-06,49.12,49.3,48.58,49.4,17619820.0
2014-01-07,48.69,48.5,48.36,49.07,13120654.0
2014-01-08,48.43,47.5,47.49,48.51,14603980.0
2014-01-09,47.84,47.75,47.43,48.09,11454703.0
2014-01-12,47.65,47.03,46.95,47.75,18810536.0
2014-01-13,47.04,47.08,46.58,47.23,19271332.0
2014-01-14,47.35,48.27,47.28,48.375,21773756.0
2014-01-15,48.26,48.53,47.95,48.66,14193750.0
2014-01-16,48.66,48.35,48,48.69,16016216.0
2014-01-20,48.84,47.7,46.76,48.9,33197613.0
2014-01-21,47.44,47.33,47.09,47.515,18012733.0
2014-01-22,47.06,47.86,46.94,47.86,22653539.0
2014-01-23,47.61,47.63,47.51,48.505,25796334.0
2014-01-26,47.71,47.69,47.41,48.36,21424489.0
2014-01-27,47.67,47.36,47.33,47.87,16363620.0
2014-01-28,47,47.69,46.69,47.98,24968168.0
2014-01-29,47.77,47.63,47.55,48.09,14453139.0
2014-01-30,47.1,48.02,47.02,48.5,18559593.0
2014-02-02,47.26,46.41,46.22,48.02,36182856.0
2014-02-03,46.29,46.82,46.11,46.83,22727152.0
2014-02-04,46.73,46.69,46.31,46.895,19737572.0
2014-02-05,46.62,46.68,46.38,46.875,17565183.0
2014-02-06,46.89,46.81,46.58,46.98,13528298.0
2014-02-09,46.81,46.91,46.57,46.945,12412731.0
2014-02-10,47.04,47.21,46.91,47.37,16249988.0
2014-02-11,47.44,47.37,47.06,47.44,23460969.0
2014-02-12,47.24,47.31,47,47.46,18864030.0
2014-02-13,47.14,46.51,46.42,47.14,25837223.0
2014-02-17,46.47,45.98,45.45,46.5,34926755.0
2014-02-18,45.74,46.53,45.56,46.84,34111956.0
2014-02-19,46.81,48.12,46.75,48.34,48978683.0
2014-02-20,47.5499,47.27,47.18,48.25,60839473.0
2014-02-23,47.02,46.23,46.23,47.2,616382509.0
2014-02-24,46.42,46.29,46.19,46.76,146505046.0
2014-02-25,46.09,46.35,45.885,46.5,102724617.0
2014-02-26,46.34,47.5,46.28,47.78,139437010.0
2014-02-27,47.45,47.58,47.21,47.76,62320153.0
2014-03-02,47.3,47.31,46.82,47.68,60295072.0
2014-03-03,47.54,47.9,47.47,48.39,52247622.0
2014-03-04,47.82,47.38,47.34,47.87,40214299.0
2014-03-05,47.46,47.46,47.25,47.53,30900306.0
2014-03-06,47.41,47.15,46.86,47.43,41090662.0
2014-03-09,46.79,47.03,46.5,47.06,32386121.0
2014-03-10,46.73,46.7,46.36,46.79,42641122.0
2014-03-11,46.57,46.36,46.13,46.61,45524305.0
2014-03-12,46.35,46.03,45.96,46.56,35190400.0
2014-03-13,45.84,46.08,45.83,46.27,27874330.0
2014-03-16,46.22,46.31,46.1,46.52,26395214.0
2014-03-17,46.32,46.7,46.2,46.75,26373587.0
2014-03-18,46.63,46.36,46.19,46.99,35071678.0
2014-03-19,46.41,47.21,46.26,47.25,31613371.0
2014-03-20,47.3,46.91,46.7,47.41,38892648.0
2014-03-23,46.81,47.01,46.38,47.1,34928256.0
2014-03-24,47.02,47.22,46.77,47.36,23582034.0
