date,open_price,close_price,lowest_price,highest_price,volume
2021-01-03,2250,2164.08,2121.21,2257.185,334069
2021-01-04,2164,2188.07,2154.56,2225.94,348239
2021-01-05,2175.89,2249.81,2160,2288.49,393365
2021-01-06,2278.15,2239.85,2219.77,2288,299737
2021-01-07,2256.34,2281.54,2248.47,2289.98,310544
2021-01-10,2252.43,2221.27,2214.03,2290.035,320583
2021-01-11,2237.36,2196.34,2191.63,2243.6395,259405
2021-01-12,2168.4,2182.42,2168.4,2208.08,239606
2021-01-13,2185.27,2182.59,2178.77,2215.78,273075
2021-01-14,2179.29,2119.23,2116,2179.29,340760
2021-01-18,2135,2163.04,2108.9624,2169.95,274956
2021-01-19,2179.98,2160.05,2124.56,2179.98,339036
2021-01-20,2140.9,2109.94,2105,2157.01,460844
2021-01-21,2101.83,2066.24,2065,2109.51,356695
2021-01-24,2044.86,2018.43,1947.0891,2060.35,879523
2021-01-25,2033.37,1983.16,1974.65,2056.73,447916
2021-01-26,1949.33,1886.09,1860.73,1975.96,705605
2021-01-27,1979.04,2034.1,1935.88,2048.77,843445
2021-01-28,2036,1944.33,1938.796,2039.9999,536327
2021-01-31,1996.19,1990.46,1965,2006.38,478745
2021-02-01,2035,2065.53,2025.405,2112.91,440687
2021-02-02,2079.53,2027.3,2024.72,2094.8,352558
2021-02-03,2036.19,2082.94,2015.66,2085.895,355231
2021-02-04,2109.29,2096.42,2073.88,2129.99,238409
2021-02-07,2117.05,2099.56,2070.79,2131.6556,219043
2021-02-08,2082.88,2085.28,2051.64,2104.85,229732
2021-02-09,2116.3,2141.76,2091.175,2161.21,334130
2021-02-10,2145.34,2159.26,2132.84,2183.66,258330
2021-02-11,2126.35,2150.58,2110.01,2188.99,210612
2021-02-15,2139.19,2184.16,2133.71,2198.03,242400
2021-02-16,2183.39,2233.77,2174.15,2237.95,287708
2021-02-17,2190.03,2259.79,2190.03,2275.91,316975
2021-02-18,2273,2293.05,2259.85,2322.04,353821
2021-02-21,2265.67,2350.02,2265.67,2392.97,504444
2021-02-22,2348.36,2359.37,2292.17,2367,515350
2021-02-23,2343.77,2443.5,2324.18,2450.26,609993
2021-02-24,2419.93,2273.2,2261.47,2438.95,751803
2021-02-25,2343.9,2328.51,2251.7082,2345,489378
2021-02-28,2372.99,2320.5,2300.205,2382.3,359962
2021-03-01,2338,2282.21,2275,2342,310091
2021-03-02,2286.23,2275,2272.14,2334.94,364476
2021-03-03,2277.165,2219.35,2163.4,2277.165,484102
2021-03-04,2235.77,2307.1,2178.88,2312.7997,435602
2021-03-07,2303.43,2368.74,2298.355,2412.34,564053
2021-03-08,2380.14,2366.79,2344.01,2441.75,481875
2021-03-09,2379.35,2369.32,2363.91,2420,443979
2021-03-10,2398.28,2362.06,2343.78,2447.465,512316
2021-03-11,2358.99,2401.04,2350.88,2412.83,404711
2021-03-14,2412.76,2439.5,2374.01,2443.52,468776
2021-03-15,2416.35,2396.56,2380.01,2429.53,360674
2021-03-16,2373.5,2461.78,2370,2469.58,394360
2021-03-17,2428.03,2346.95,2344,2447.46,498092
2021-03-18,2332.82,2287.74,2265.81,2350.09,637553
2021-03-21,2340,2231.89,2225,2340,531409
2021-03-22,2250.62,2215,2184.47,2250.62,501943
2021-03-23,2231.8,2202.73,2199.01,2278,441138
2021-03-24,2186.7,2268.91,2173,2282.88,421331
2021-03-25,2275.94,2323.53,2246.64,2329.33,377006
2021-03-28,2311,2351.36,2307.41,2375,341445
2021-03-29,2343.25,2334.89,2316.79,2370.23,250426
2021-03-30,2345.68,2329.84,2319.31,2363.9246,530845
2021-03-31,2354.28,2382.46,2348.23,2389.725,248403
2021-04-04,2410,2409.18,2386.86,2436.88,342367
2021-04-05,2415,2422,2407.23,2447.41,411122
2021-04-06,2429.06,2410.64,2395.57,2440.21,235518
2021-04-07,2392,2427.99,2392,2435.43,222006
2021-04-08,2434,2450.06,2405.55,2454.72,239783
2021-04-11,2436,2409.05,2396.49,2450.2003,551401
2021-04-12,2403.92,2404.29,2367.15,2415.79,789693
2021-04-13,2413.1,2454.22,2407.48,2482.82,939673
2021-04-14,2467.54,2433.21,2426.18,2468.93,639277
2021-04-15,2443.73,2476.9,2435.83,2489.41,783479
2021-04-18,2480.43,2456.2,2443.11,2488.32,326990
2021-04-19,2433.75,2345,2317.29,2436.49,477774
2021-04-20,2359.92,2357.73,2343.06,2365.99,280834
2021-04-21,2353.72,2347.05,2343,2395,287538
2021-04-22,2367.19,2395.43,2350.46,2404.33,253725
2021-04-25,2424.89,2458.25,2407,2460.93,323333
2021-04-26,2458,2464.15,2441.67,2469.12,220717
2021-04-27,2475,2505.1,2461,2514.99,323513
2021-04-28,2507.47,2501.43,2476.01,2516,218974
2021-04-29,2497.7,2466.08,2436.14,2497.7,328219
2021-05-02,2484.07,2440.44,2435.31,2486.99,190108
2021-05-03,2409.79,2382.94,2368.83,2427.815,339356
