date,open_price,close_price,lowest_price,highest_price,volume
2021-01-03,283.1,275.63,274.69,284.45,867959
2021-01-04,275.67,272.58,272.16,277.775,780701
2021-01-05,271.04,264.64,262.54,271.67,852793
2021-01-06,263.28,265.25,261.84,266.335,840178
2021-01-07,266.63,267.82,266.091,270.07,552469
2021-01-10,268.07,260.36,259.5,268.78,961081
2021-01-11,259.97,261.21,256.26,262.81,692030
2021-01-12,260.4,265.42,260.03,266.16,729718
2021-01-13,265.72,264.12,263.72,268.05,531769
2021-01-14,267.06,269.1,264.97,270.43,538767
2021-01-18,269.81,269.14,267.01,271.01,424140
2021-01-19,270.86,272.54,267.6901,275.44,766347
2021-01-20,270.54,272.69,267.8,273.79,435919
2021-01-21,273.5,272.71,270.53,274.6,641611
2021-01-24,274.78,276.53,271.55,279.23,782685
2021-01-25,275.34,277.48,271.66,278.52,642565
2021-01-26,277,271.7,270.14,279.565,564696
2021-01-27,271.12,269.86,268.97,274.79,483497
2021-01-28,268.11,268.67,265.7,270.46,806183
2021-01-31,269.76,278.27,268.54,278.82,816794
2021-02-01,280.32,281.9,279.195,285.19,1106146.0
2021-02-02,276.91,272.12,270.42,280.08,1308234.0
2021-02-03,271.67,274.24,269.9,276.56,962207
2021-02-04,274.65,273.86,273.54,278.95,526249
2021-02-07,272.77,267.01,264.24,272.77,824885
2021-02-08,267.03,266.66,264.35,269.025,477790
2021-02-09,268.3,266.02,264.805,270.19,568066
2021-02-10,264.21,265.02,262.89,266.51,571982
2021-02-11,264.21,263.94,261.3,265.02,564368
2021-02-15,264.65,259.5,256.83,265.94,960719
2021-02-16,259.34,259.56,257.35,263,772719
2021-02-17,258.89,262.8,258.3,262.92,609421
2021-02-18,264.72,261.77,261.37,264.72,873304
2021-02-21,260.77,259.7,256.45,264.25,861898
2021-02-22,256.42,248.79,247.165,258.21,1395563.0
2021-02-23,247.44,250.51,243.36,251,1345337.0
2021-02-24,250.37,256.52,249.68,257.8,1350526.0
2021-02-25,257.57,255.13,254.66,259.92,1676814.0
2021-02-28,258.1,247.94,247.52,260.305,795568
2021-03-01,248.73,246.33,242.88,248.995,924606
2021-03-02,244.98,239.16,235.48,244.98,1062510.0
2021-03-03,239.76,235.92,235.24,242.25,1376916.0
2021-03-04,237.1,242.19,232.88,244.01,1214710.0
2021-03-07,246.655,242.82,239.32,249.43,1061147.0
2021-03-08,244.05,247.97,244.05,250.97,763622
2021-03-09,248.34,249.84,245.21,251.37,541004
2021-03-10,251.53,258.63,250.52,261.53,1080987.0
2021-03-11,258.74,261.02,256.82,262.96,956318
2021-03-14,260.32,265.48,259.46,266.47,664274
2021-03-15,268.01,269.93,265,271.64,706754
2021-03-16,270.68,267.72,264.63,271.5,698643
2021-03-17,265.15,267.67,261.21,268.05,707869
2021-03-18,268.04,266.07,265.75,271.34,1261128.0
2021-03-21,264.74,274.1,264.74,275.08,649668
2021-03-22,274.02,274.14,273.305,279.41,764260
2021-03-23,272.96,272.46,267.04,274.41,816173
2021-03-24,272.95,272.36,268.91,273.51,472048
2021-03-25,274.72,282.57,273.05,282.77,521634
2021-03-28,281.02,281.4,278.47,283.39,598849
2021-03-29,278.84,276.24,273.8,279.65,453905
2021-03-30,272.33,277.55,272.14,279.248,734004
2021-03-31,281.6,281.18,276.35,281.6,798906
2021-04-04,281,285.11,280.25,285.51,469545
2021-04-05,284.01,285.46,281.18,285.77,466167
2021-04-06,286.16,284.19,283.15,287.175,382637
2021-04-07,283.89,279.64,279.23,287.02,638033
2021-04-08,281.27,275.69,274.6,281.59,815787
2021-04-11,277.5,280.49,274.93,280.99,777672
2021-04-12,282.23,282.13,280.33,285.84,627545
2021-04-13,282,281.03,280.3,285.075,378822
2021-04-14,282.14,288.44,282.13,288.96,872621
2021-04-15,290.11,288.33,285.92,290.39,495288
2021-04-18,290.27,288.09,286.37,290.27,675854
2021-04-19,286.36,292.02,286.36,297.5675,608833
2021-04-20,294.58,291.35,289.22,295.93,856975
2021-04-21,290.24,294.57,285.97,297.09,458868
2021-04-22,295,296.49,294.46,301.555,667392
2021-04-25,295.921,296.78,294.7075,298.4,560459
2021-04-26,297.67,294.78,293.63,300.28,1037310.0
2021-04-27,295.58,297.88,293.01,300.09,474409
2021-04-28,297.26,298.08,293.31,298.7,513305
2021-04-29,300.81,299.72,297.67,301.62,549712
2021-05-02,300.13,298.66,297.91,300.64,498720
2021-05-03,298.1,296.9,294.645,300.15,583194
2021-05-04,295.1,294.21,291.49,296.9,581690
2021-05-05,294,291.55,289.035,294,533484
2021-05-06,292,290.91,289.23,294.445,790150
2021-05-09,292.83,292.06,289.75,293.71,613973
2021-05-10,290.02,291.45,286.58,291.96,527666
2021-05-11,291.71,284.25,283.8,291.9,456141
2021-05-12,282.57,283.17,281.45,284.98,604286
2021-05-13,285.14,288.62,283.54,290.74,461227
2021-05-16,287.83,288.5,285.7,288.98,434002
2021-05-17,288.19,291.33,283.52,293.96,657591
2021-05-18,290.02,288.39,285.3,292.66,488380
2021-05-19,288.23,293.11,288.05,296.26,408439
2021-05-20,290.91,290.93,289.83,293.19,613340
2021-05-23,292.42,296.54,289.19,297.85,945244
2021-05-24,295.82,298.74,292.43,300.66,525539
2021-05-25,298.23,298.48,295.67,301.635,618566
2021-05-26,297.52,297.14,295.36,299.58,1307817.0
2021-05-27,299.02,298.12,297.53,301.4,582237
2021-05-31,297.86,302.27,296.63,303.04,560200
2021-06-01,305.84,309.61,303.785,309.95,754997
2021-06-02,309.8,309.43,307.05,313.315,606506
2021-06-03,310.73,312.73,308.065,313.25,414313
2021-06-06,316.4711,315.2,312.485,317.2,540298
2021-06-07,316.77,317.42,312.72,318.5,727229
2021-06-08,319.2,316.71,316.42,320,397696
2021-06-09,316.73,318.65,315.29,320.81,955807
2021-06-10,319.67,317.34,315.75,319.67,478014
2021-06-13,317.07,320.01,317.07,320.05,769250
2021-06-14,320.22,319.73,319.06,322.31,549125
2021-06-15,321.16,317.29,314.8,323.05,642273
2021-06-16,315.82,321.88,314.56,322.17,723937
2021-06-17,320.1,318.44,317.23,321.9,982267
2021-06-20,320.11,321.12,316.27,321.45,520110
2021-06-21,320.41,321.03,318.41,322.17,391421
2021-06-22,321.02,317.22,316.8,321.02,508713
2021-06-23,319.35,315.73,315.31,319.64,570203
2021-06-24,315.27,319.1,314.98,319.46,2049613.0
2021-06-27,320.14,322.84,318.32,323.59,607659
2021-06-28,321.35,322.01,320.01,323.3,396539
2021-06-29,322.24,318.7,318.05,323.98,614378
2021-06-30,318.55,320.04,316.36,322.075,612597
2021-07-01,320.9,322.84,320.84,323.66,389419
2021-07-05,322.18,326.2,320.93,327.03,436572
2021-07-06,326.89,330.8,324.11,332.595,722785
2021-07-07,329.91,328.91,327.5501,332.66,669778
2021-07-08,328.91,329.33,326.12,330.07,421096
2021-07-11,329.37,330.6,327.54,331.53,401141
2021-07-12,330.49,329.15,328.59,332.125,424314
2021-07-13,329.4,331.78,327.57,332.69,356828
2021-07-14,332.59,332.32,329.9,333.395,373961
2021-07-15,331.69,334.11,331.69,335.89,246988
2021-07-18,333.22,334.53,330.44,336.67,550429
2021-07-19,335.53,335.3,333.34,337.98,545029
2021-07-20,335.3,331.96,330.75,335.3,349546
2021-07-21,330.78,334.1,327.56,334.5,508618
2021-07-22,334.81,337.04,332.18,337.35,290465
2021-07-25,336.57,338.19,333.14,338.58,464944
2021-07-26,338.16,340.79,335.76,341.2,389238
2021-07-27,340.02,340.32,338.89,342.86,449224
2021-07-28,339.81,338.44,337.17,343.46,425844
2021-07-29,338.9,340.99,338.9,346.51,851912
2021-08-01,340.99,342.36,339.45,344.87,493296
2021-08-02,350,346.02,332.5,350.63,540724
2021-08-03,344.75,349.07,341.83,350.07,583656
2021-08-04,350.91,346.93,343.3,350.91,511452
2021-08-05,346.22,347.01,344.97,348.515,364788
2021-08-08,346,346.59,345.25,348.16,290020
2021-08-09,346.5,341.3,341.06,347.72,282875
2021-08-10,341.76,346.49,341.33,349.38,406345
2021-08-11,346.31,350.22,345.46,350.595,368973
2021-08-12,350.98,353.81,349.705,354.29,507716
2021-08-15,353.86,352.45,351.63,355.53,672413
2021-08-16,352.89,359.7,351.85,359.96,482901
2021-08-17,358.56,353.65,351.46,359.38,664295
2021-08-18,354.81,359.86,351.88,361.06,504323
2021-08-19,360.17,362.16,358.55,364.22,489466
2021-08-22,360.95,358.09,357.82,360.95,293560
2021-08-23,358.94,352.64,351.81,358.94,540880
2021-08-24,352.67,349.58,348.36,352.67,547755
2021-08-25,350.61,350.48,348.09,352.04,632214
2021-08-26,350.26,352.83,348.91,353.945,806296
2021-08-29,353.38,358.64,352.7,359.185,405287
2021-08-30,356.88,358.97,354.345,359.51,646738
2021-08-31,359.82,366.38,357.43,367.4,469817
2021-09-01,366.75,366.71,361.94,368.905,527979
2021-09-02,366.78,366.48,362.935,368.18,749539
2021-09-06,365.74,365.16,359.02,366.78,446268
2021-09-07,366.08,368.58,363.29,369.56,402389
2021-09-08,368.88,359.65,359.56,368.88,692611
2021-09-09,361.03,352.82,351.5,361.125,749371
2021-09-12,356.84,352.66,351.2,357.92,501329
2021-09-13,355.05,356.57,352.75,359.84,548074
2021-09-14,355.59,355.46,352.5,357.14,391091
2021-09-15,356.09,355.43,352.5,356.98,325610
2021-09-16,352.45,352.7,350.03,355.67,825798
2021-09-19,351.31,353.43,349.68,356.66,521548
2021-09-20,354.1,354.35,352.84,359.02,357989
2021-09-21,355.77,358.48,352.71,360.8,355375
2021-09-22,357.69,353.65,350.69,358.43,402492
2021-09-23,351.92,344.93,343.63,353.58,683695
2021-09-26,344.62,336,335.85,344.62,583974
2021-09-27,333.22,331.6,329.57,335.3,623743
2021-09-28,333.56,332.78,331.67,335.54,442305
2021-09-29,334.26,330.57,330.535,335.44,477085
2021-09-30,331.18,333.57,328.78,336.2,429333
2021-10-03,332.35,334.16,329.69,335.26,458239
