date,open_price,close_price,lowest_price,highest_price,volume
2021-01-03,247.39,250.15,244.77,252.14,368699
2021-01-04,250,255.43,248.36,256.67,338227
2021-01-05,254.22,262.47,253.95,263.225,485658
2021-01-06,258.54,260.79,257.745,263.89,358645
2021-01-07,261.42,261.82,260.39,267.285,372593
2021-01-10,261.51,266.05,261.37,267.695,366634
2021-01-11,265.45,266.51,263.95,269.4,399509
2021-01-12,268.21,264.8,263.47,268.25,321443
2021-01-13,265.36,262.9,262.05,267.02,279399
2021-01-14,262.38,268.33,261.18,269.2,401226
2021-01-18,271.04,271.82,269.95,273.955,371010
2021-01-19,271.11,271.13,269.77,272.97,243540
2021-01-20,272.27,271.26,267.065,272.84,319372
2021-01-21,270.33,273.62,268.78,274.59,362734
2021-01-24,274.23,273.35,271.62,276.76,248494
2021-01-25,273.42,270.53,265.34,273.42,311567
2021-01-26,267.84,265.96,263.37,270.29,512851
2021-01-27,268.56,266.56,264.76,271.99,428884
2021-01-28,266.44,264.67,262.67,267.12,330708
2021-01-31,266.55,268.81,266.35,270.06,540150
2021-02-01,284.2,291.31,281.47,299.06,1033822.0
2021-02-02,289.66,281.27,280.03,291.15,616521
2021-02-03,281.05,286.45,280.55,287.9,552278
2021-02-04,286.31,283.48,282.42,287.65,378267
2021-02-07,284.49,284.5,280.86,285.31,343810
2021-02-08,283.83,282.71,281.37,284.28,279205
2021-02-09,286.01,284.02,283.33,289.47,272038
2021-02-10,284.49,282.83,281.62,285.42,303418
2021-02-11,281.28,283.95,281.28,285.8,348592
2021-02-15,285.21,282.51,280.88,285.61,273722
2021-02-16,280.72,282.58,279.72,283.71,302031
2021-02-17,279.94,280.8,279.405,283.63,229934
2021-02-18,281.55,281.72,280.71,283.33,427278
2021-02-21,280.6,279.81,276.71,282.4085,279377
2021-02-22,280.38,278.88,274.14,281.41,285529
2021-02-23,279.89,279.9,278.22,282.57,210987
2021-02-24,280.51,278.23,276.7,283,328278
2021-02-25,278.03,273.88,272.13,279.5,498581
2021-02-28,275.83,277.04,275.83,279.98,293610
2021-03-01,276.16,274.03,272.7,277.68,293668
2021-03-02,273.22,265.78,265.6,273.27,346900
2021-03-03,264.82,261.63,259.5,268.25,412898
2021-03-04,262.46,266.44,258.91,267.135,341479
2021-03-07,266.88,264.67,263.97,271.03,268835
2021-03-08,266.4,272.68,264.67,275.525,426325
2021-03-09,274.96,272.45,272.34,277.59,387085
2021-03-10,274.11,273.08,271.74,275.7,354754
2021-03-11,272.03,268.83,267.45,272.03,351171
2021-03-14,267.34,272.63,266.23,272.63,301226
2021-03-15,274.43,269.77,268.75,276.57,235000
2021-03-16,269.65,268.13,267.42,270.2,239864
2021-03-17,268.02,268.76,265.91,269.97,303634
2021-03-18,267.67,268.7,265.26,270.23,736849
2021-03-21,268.73,271.63,264.88,272.39,397884
2021-03-22,270.99,270.69,268.04,272.2,351826
2021-03-23,271.17,269.05,267.6,274.19,284495
2021-03-24,270.11,273,267.49,273.04,478645
2021-03-25,274.5,281.22,271.28,281.52,350587
2021-03-28,278.92,284.02,278.29,284.8,327734
2021-03-29,284.14,282.51,281.3575,285.43,380554
2021-03-30,282.97,284.17,281.3,287.65,483276
