epoch,accuracy,num_predictions
0,55.78,11632
1,52.0,45941
2,55.44,37291
3,54.52,55443
4,55.36,58842
5,54.82,69175
6,56.9,53540
7,56.39,62196
8,56.98,62486
9,57.65,60440
10,58.42,60491
11,58.32,64994
12,58.56,67081
13,58.54,70487
14,59.84,65909
15,60.71,62978
16,60.34,68631
17,60.2,72955
18,60.03,77047
19,59.61,82121
20,60.84,76292
21,60.51,79999
22,61.1,77756
23,60.75,80920
24,62.04,75186
25,61.79,77933
26,62.34,75630
27,63.38,70953
28,64.15,66851
29,64.7,65529
30,65.19,64984
31,63.61,73966
32,63.93,72734
33,64.12,72700
34,64.22,73620
35,64.03,74857
36,64.18,74752
37,64.9,71782
38,65.21,71041
39,65.43,70091
40,65.38,70895
41,65.33,71781
42,65.4,71262
43,65.99,68768
44,65.66,70535
45,64.82,74928
46,65.23,72809
47,65.53,72454
48,65.79,72897
49,65.86,72972
