epoch,accuracy,num_predictions
0,55.17,203
1,33.33,6
2,56.0,25
3,43.75,32
4,52.38,42
5,51.16,43
6,53.33,45
7,53.33,45
8,53.66,41
9,53.66,41
10,50.0,36
11,52.94,34
12,56.25,32
13,62.07,29
14,61.54,26
15,64.0,25
16,62.5,16
17,61.54,13
18,54.55,11
19,60.0,10
20,60.0,10
21,60.0,10
22,60.0,10
23,66.67,9
24,75.0,8
25,80.0,5
26,80.0,5
27,66.67,3
28,66.67,3
29,100.0,2
30,100.0,2
31,0.0,0.0
32,0.0,0.0
33,0.0,0.0
34,0.0,0.0
35,0.0,0.0
36,0.0,0.0
37,0.0,0.0
38,0.0,0.0
39,0.0,0.0
40,0.0,0.0
41,0.0,0.0
42,0.0,0.0
43,0.0,0.0
44,0.0,0.0
